td,time,"flex sensor"
1.00, 16806368.00, -7.29
1.00, 16807848.00, -5.04
1.00, 16809330.00, -5.04
1.00, 16810812.00, -5.04
1.00, 16812292.00, -5.04
1.00, 16813776.00, -5.04
1.00, 16815256.00, -5.58
1.00, 16816738.00, -6.19
1.00, 16818218.00, -6.19
1.00, 16819700.00, -6.19
1.00, 16821584.00, -6.19
1.00, 16823064.00, -6.19
1.00, 16824546.00, -6.19
1.00, 16826016.00, -7.17
1.00, 16827500.00, -8.58
1.00, 16828980.00, -9.58
1.00, 16830464.00, -9.58
1.00, 16831944.00, -9.58
1.00, 16833426.00, -9.58
1.00, 16834908.00, -9.58
1.00, 16836372.00, -8.63
1.00, 16838290.00, -6.68
1.00, 16839772.00, -5.30
1.00, 16841256.00, -5.30
1.00, 16842736.00, -5.30
1.00, 16844220.00, -5.30
1.00, 16845700.00, -5.89
1.00, 16847182.00, -6.80
1.00, 16848664.00, -7.45
1.00, 16850146.00, -7.45
1.00, 16851628.00, -7.45
1.00, 16853110.00, -7.45
1.00, 16854984.00, -7.45
1.00, 16856466.00, -7.45
1.00, 16857948.00, -7.45
1.00, 16859428.00, -6.77
1.00, 16860910.00, -6.77
1.00, 16862392.00, -6.77
1.00, 16863872.00, -6.77
1.00, 16865354.00, -6.77
1.00, 16866818.00, -6.77
1.00, 16868300.00, -5.80
1.00, 16869782.00, -5.80
1.00, 16871688.00, -5.25
1.00, 16873168.00, -5.25
1.00, 16874650.00, -5.25
1.00, 16876132.00, -6.17
1.00, 16877614.00, -8.06
1.00, 16879096.00, -9.40
1.00, 16880578.00, -9.40
1.00, 16882060.00, -9.40
1.00, 16883542.00, -9.40
1.00, 16885024.00, -9.40
1.00, 16886504.00, -9.98
1.00, 16888378.00, -11.75
1.00, 16889860.00, -13.00
1.00, 16891340.00, -13.00
1.00, 16892824.00, -13.00
1.00, 16894304.00, -13.00
1.00, 16895784.00, -13.00
1.00, 16897248.00, -11.29
1.00, 16898730.00, -7.64
1.00, 16900212.00, -5.04
1.00, 16901692.00, -5.04
1.00, 16903174.00, -5.04
1.00, 16905064.00, -5.04
1.00, 16906546.00, -6.78
1.00, 16908028.00, -9.99
1.00, 16909510.00, -12.28
1.00, 16910992.00, -12.28
1.00, 16912472.00, -12.28
1.00, 16913954.00, -12.28
1.00, 16915436.00, -12.28
1.00, 16916916.00, -12.28
1.00, 16918398.00, -11.45
1.00, 16919880.00, -11.45
1.00, 16921762.00, -11.45
1.00, 16923244.00, -11.45
1.00, 16924724.00, -11.45
1.00, 16926204.00, -10.38
1.00, 16927678.00, -8.10
1.00, 16929160.00, -5.96
1.00, 16930642.00, -5.30
1.00, 16932120.00, -5.30
1.00, 16933600.00, -5.30
1.00, 16935084.00, -5.30
1.00, 16936564.00, -5.30
1.00, 16938472.00, -5.30
1.00, 16939952.00, -5.30
1.00, 16941434.00, -5.30
1.00, 16942914.00, -5.30
1.00, 16944396.00, -5.30
1.00, 16945876.00, -5.30
1.00, 16947352.00, -7.34
1.00, 16948834.00, -11.13
1.00, 16950316.00, -13.82
1.00, 16951796.00, -13.82
1.00, 16953280.00, -13.82
1.00, 16955184.00, -13.82
1.00, 16956666.00, -11.79
1.00, 16958140.00, -7.93
1.00, 16959622.00, -5.18
1.00, 16961102.00, -5.18
1.00, 16962576.00, -5.18
1.00, 16964058.00, -5.18
1.00, 16965540.00, -5.18
1.00, 16967024.00, -5.83
1.00, 16968504.00, -6.54
1.00, 16969988.00, -7.06
1.00, 16971896.00, -7.06
1.00, 16973380.00, -7.06
1.00, 16974860.00, -7.06
1.00, 16976340.00, -7.06
1.00, 16977812.00, -7.06
1.00, 16979292.00, -7.06
1.00, 16980772.00, -7.06
