time,flex sensor,"actuator position, command","actuator position, measured",force,"""Trial Number""","""Target Angle"""
40.405,180.0,4.0,3.872340425531913,-0.7,0,0
40.858,180.0,4.0,3.8936170212765973,-0.7,0,0
41.31,180.0,4.0,3.829787234042552,-0.7,0,0
41.763,180.0,4.0,3.872340425531913,-0.7,0,0
42.215,180.0,4.0,3.829787234042552,-0.7,0,0
42.668,180.0,4.0,3.914893617021278,-0.7,0,0
43.12,180.0,4.0,3.914893617021278,-0.7,0,0
43.573,180.0,4.0,3.8936170212765973,-0.7,0,0
44.025,180.0,4.0,3.872340425531913,-0.7,0,0
44.479,180.0,4.0,3.872340425531913,-0.7,0,0
44.931,180.0,4.0,3.8936170212765973,-0.7,0,0
45.384,180.0,4.0,3.914893617021278,-0.7,0,0
45.836,180.0,4.0,3.8936170212765973,-0.7,0,0
46.29,179.0,4.213333333333333,3.914893617021278,-0.7,0,0
46.743,175.0,4.64,4.0,-0.7,0,0
47.195,175.0,4.64,4.51063829787234,-0.7,0,0
47.648,169.0,5.28,4.638297872340425,-0.7,0,0
48.1,167.0,5.493333333333333,5.276595744680851,-0.7,0,0
48.553,163.0,5.92,5.638297872340425,-0.7,0,0
49.005,164.0,5.92,5.617021276595745,-0.7,0,0
49.458,164.0,5.92,5.702127659574469,-0.7,0,0
49.91,164.0,5.92,5.723404255319149,-0.7,0,0
50.363,164.0,5.92,5.76595744680851,-0.7,0,0
50.816,164.0,5.92,5.702127659574469,-0.7,0,0
51.268,164.0,5.92,5.659574468085106,-0.7,0,0
51.721,164.0,5.92,5.702127659574469,-0.7,0,0
52.173,164.0,5.92,5.702127659574469,-0.7,0,0
52.626,164.0,5.92,5.76595744680851,-0.7,0,0
