command,force
64,0.44
65,0.35
66,0.44
67,0.70
68,0.62
69,0.97
70,0.97
71,1.23
72,1.23
73,1.49
74,1.76
75,2.02
76,2.29
77,2.55
78,2.81
79,2.90
80,3.34
81,3.43
82,3.87
83,3.87
84,4.04
85,4.31
86,4.83
87,5.01
88,5.36
89,5.80
90,6.15
91,6.68
92,6.94
93,7.47
94,7.73
95,7.73
96,8.26
97,8.44
98,8.44
99,8.17
64,0.26
65,0.09
66,0.18
67,0.35
68,0.44
69,0.70
70,0.70
71,0.97
72,1.05
73,1.23
74,1.58
75,1.76
76,1.85
77,2.29
78,2.55
79,2.55
80,2.81
81,3.34
82,3.60
83,3.87
84,4.31
85,4.31
86,4.48
87,4.83
88,5.19
89,5.36
90,5.89
91,6.15
92,6.42
93,6.68
94,6.94
95,7.29
96,7.73
97,8.00
98,7.65
99,-13.54
100,-22.32
101,-22.41
102,-22.41
103,-22.41
104,-18.98
105,-19.60
106,-21.97
107,-22.41
108,-22.41
109,-14.24
