time,flex sensor,"actuator position, command","actuator position, measured",force,"""Trial Number""","""Target Angle"""
114.957,180.0,4.0,3.8936170212765973,0.0,0,180
115.409,180.0,4.0,3.872340425531913,0.0,0,180
115.862,180.0,4.0,3.872340425531913,0.09,0,180
116.315,180.0,4.0,3.9787234042553195,0.09,0,180
116.768,180.0,4.0,3.8510638297872326,0.09,0,180
117.22,180.0,4.0,3.872340425531913,0.26,0,180
117.673,180.0,4.0,3.914893617021278,0.09,0,180
118.126,180.0,4.0,3.872340425531913,0.09,0,180
118.579,180.0,4.0,3.8510638297872326,0.09,0,180
119.031,180.0,4.0,3.8085106382978715,0.09,0,180
119.484,180.0,4.0,3.872340425531913,0.09,0,180
119.937,180.0,4.0,3.957446808510639,0.09,0,180
120.39,180.0,4.0,3.829787234042552,0.26,0,180
120.842,180.0,4.0,3.8510638297872326,0.26,0,180
121.295,180.0,4.0,3.8936170212765973,0.09,0,180
121.748,180.0,4.0,3.8085106382978715,0.26,0,180
122.201,180.0,4.0,3.829787234042552,0.26,0,180
122.653,180.0,4.0,3.9361702127659584,0.09,0,180
123.106,180.0,4.0,3.8936170212765973,0.09,0,180
123.559,180.0,4.0,3.787234042553191,0.09,0,180
124.012,180.0,4.0,3.914893617021278,-0.09,0,180
124.464,180.0,4.0,3.872340425531913,0.0,0,180
124.917,180.0,4.0,3.829787234042552,0.0,0,180
125.371,180.0,4.0,3.7659574468085104,0.0,0,180
125.823,180.0,4.0,3.8936170212765973,0.0,0,180
126.276,180.0,4.0,3.829787234042552,0.0,0,180
126.729,180.0,4.0,3.8085106382978715,0.0,0,180
127.182,180.0,4.0,3.8936170212765973,-0.09,0,180
127.634,180.0,4.0,3.829787234042552,-0.18,0,180
128.087,180.0,4.0,3.9361702127659584,0.0,0,180
128.54,180.0,4.0,3.9361702127659584,0.0,0,180
128.993,180.0,4.0,3.914893617021278,0.0,0,180
129.446,180.0,4.0,3.8936170212765973,0.0,0,180
129.898,180.0,4.0,3.829787234042552,-0.09,0,180
130.351,180.0,4.0,3.8936170212765973,0.0,0,180
130.804,180.0,4.0,3.8936170212765973,-0.09,0,180
131.257,180.0,4.0,3.957446808510639,0.0,0,180
131.709,180.0,4.0,3.872340425531913,-0.18,0,180
132.162,180.0,4.0,3.8510638297872326,0.0,0,180
132.616,180.0,4.0,3.829787234042552,0.0,0,180
133.068,180.0,4.0,3.8510638297872326,0.0,0,180
133.521,180.0,4.0,3.9361702127659584,0.0,0,180
133.974,180.0,4.0,3.8936170212765973,-0.18,0,180
134.427,180.0,4.0,3.829787234042552,-0.18,0,180
134.879,180.0,4.0,3.8936170212765973,-0.18,0,180
135.332,180.0,4.0,3.914893617021278,-0.18,0,180
135.785,180.0,4.0,3.914893617021278,-0.18,0,180
136.238,180.0,4.0,3.957446808510639,-0.18,0,180
136.69,180.0,4.0,3.9361702127659584,-0.26,0,180
137.143,180.0,4.0,3.8936170212765973,-0.26,0,180
137.596,180.0,4.0,4.0,-0.26,0,180
