time,flex sensor,"actuator position, command","actuator position, measured",force,'Trial Number','Target Angle','Bookmark'
581.824,180.0,4.130434782608695,0.0,-0.35,0,0,1
582.277,180.0,4.130434782608695,0.10764262648008582,-0.26,0,0,1
582.729,180.0,4.130434782608695,0.08611410118406937,-0.35,0,0,1
583.181,180.0,4.130434782608695,0.06458557588805292,-0.35,0,0,1
583.633,180.0,4.130434782608695,0.12917115177610228,-0.26,0,0,1
584.085,180.0,4.130434782608695,-0.021528525296016454,-0.35,0,0,1
584.538,180.0,4.130434782608695,0.08611410118406937,-0.26,0,0,1
584.99,180.0,4.130434782608695,0.08611410118406937,-0.18,0,0,1
585.442,180.0,4.130434782608695,0.08611410118406937,-0.18,0,0,1
585.894,180.0,4.130434782608695,-0.06458557588805292,-0.53,0,0,1
586.346,180.0,4.130434782608695,0.021528525296016454,-0.26,0,0,1
586.799,180.0,4.130434782608695,0.10764262648008582,-0.18,0,0,1
587.251,180.0,4.130434782608695,-0.021528525296016454,-0.26,0,0,1
587.703,180.0,4.130434782608695,0.15069967707212228,-0.26,0,0,1
588.155,180.0,4.130434782608695,0.06458557588805292,-0.18,0,0,1
588.607,180.0,4.130434782608695,0.06458557588805292,-0.35,0,0,1
589.06,180.0,4.130434782608695,0.15069967707212228,-0.44,0,0,1
589.512,180.0,4.130434782608695,0.08611410118406937,-0.44,0,0,1
589.966,180.0,4.130434782608695,0.12917115177610228,-0.53,0,0,1
590.418,180.0,4.130434782608695,0.15069967707212228,-0.35,0,0,1
590.871,180.0,4.130434782608695,0.06458557588805292,-0.35,0,0,1
591.323,180.0,4.130434782608695,0.021528525296016454,-0.26,0,0,1
591.775,180.0,4.130434782608695,0.0,-0.18,0,0,1
592.227,180.0,4.130434782608695,0.021528525296016454,-0.35,0,0,1
592.679,180.0,4.130434782608695,0.10764262648008582,-0.26,0,0,1
593.132,180.0,4.130434782608695,0.12917115177610228,-0.26,0,0,1
593.584,180.0,4.130434782608695,0.04305705059203291,-0.18,0,0,1
594.036,180.0,4.130434782608695,0.06458557588805292,-0.09,0,0,1
594.488,180.0,4.130434782608695,0.0,-0.09,0,0,1
594.941,180.0,4.130434782608695,0.021528525296016454,-0.18,0,0,1
595.393,180.0,4.130434782608695,0.12917115177610228,-0.09,0,0,1
595.847,180.0,4.130434782608695,-0.021528525296016454,-0.26,0,0,1
596.299,180.0,4.130434782608695,0.04305705059203291,-0.09,0,0,1
596.751,180.0,4.130434782608695,0.0,-0.26,0,0,1
597.203,180.0,4.130434782608695,0.06458557588805292,-0.18,0,0,1
597.656,180.0,4.130434782608695,0.021528525296016454,-0.18,0,0,1
598.109,180.0,4.130434782608695,0.06458557588805292,-0.35,0,0,1
598.561,180.0,4.130434782608695,-0.08611410118406937,-0.09,0,0,1
599.014,180.0,4.130434782608695,0.021528525296016454,-0.09,0,0,1
599.466,180.0,4.130434782608695,-0.021528525296016454,-0.35,0,0,1
599.918,180.0,4.130434782608695,0.17222820236813874,-0.09,0,0,1
600.371,180.0,4.130434782608695,0.021528525296016454,-0.09,0,0,1
600.823,180.0,4.130434782608695,0.08611410118406937,-0.09,0,0,1
