time,flex sensor,"actuator position, command","actuator position, measured",force
0.001,654.0,30.66,2.311557788944725,-0.26418786692759294
0.014,655.0,30.66,0.0335008375209398,-0.3522504892367906
0.026,657.0,30.88,-0.7370184254606365,-0.3522504892367906
0.038,654.0,30.66,-1.4070351758793969,-0.3522504892367906
0.051,640.0,28.900000000000002,-1.3400335008375208,-0.1761252446183953
0.063,663.0,31.76,-1.3735343383584606,-0.08806262230919765
0.076,653.0,30.44,-1.3065326633165846,-0.08806262230919765
0.089,653.0,30.44,-1.3735343383584606,-0.26418786692759294
0.102,654.0,30.66,-1.3735343383584606,-0.26418786692759294
0.114,640.0,28.900000000000002,-1.3400335008375208,-0.3522504892367906
0.126,654.0,30.66,-1.3400335008375208,-0.1761252446183953
0.14,650.0,30.220000000000002,-1.4070351758793969,-0.26418786692759294
0.153,654.0,30.66,-1.541038525963149,-0.3522504892367906
0.165,649.0,30.000000000000004,-1.474036850921273,-0.3522504892367906
0.179,651.0,30.220000000000002,-1.3735343383584606,-0.3522504892367906
0.191,655.0,30.66,-1.474036850921273,-0.3522504892367906
0.203,654.0,30.66,-1.4070351758793969,-0.1761252446183953
0.217,635.0,28.24,-1.0385259631490804,-0.1761252446183953
0.229,647.0,29.779999999999998,-1.1725293132328325,-0.08806262230919765
0.242,643.0,29.34,4.187604690117253,-0.08806262230919765
0.254,394.0,-1.2399999999999984,6.130653266331658,-0.26418786692759294
0.267,392.0,-1.459999999999999,6.901172529313232,-0.1761252446183953
0.28,398.0,-0.7999999999999989,6.901172529313232,-0.1761252446183953
0.292,446.0,4.92,7.671691792294807,-0.08806262230919765
0.305,432.0,3.16,6.130653266331658,-0.08806262230919765
0.317,430.0,2.9400000000000013,5.92964824120603,0.0
0.331,435.0,3.6000000000000014,5.896147403685092,0.08806262230919765
0.344,436.0,3.8200000000000003,5.829145728643216,0.08806262230919765
0.356,437.0,3.8200000000000003,6.164154103852596,0.26418786692759294
0.368,440.0,4.260000000000002,5.996649916247906,0.3522504892367906
0.381,442.0,4.48,5.7286432160804015,0.26418786692759294
0.394,443.0,4.700000000000001,5.7956448911222775,0.26418786692759294
0.407,447.0,5.140000000000001,6.298157453936348,0.3522504892367906
0.419,431.0,3.16,5.7621440536013395,0.3522504892367906
0.432,456.0,6.240000000000002,5.393634840871021,0.3522504892367906
0.444,444.0,4.700000000000001,5.92964824120603,0.3522504892367906
0.457,449.0,5.359999999999999,5.594639865996649,0.3522504892367906
0.47,445.0,4.92,5.6616415410385255,0.26418786692759294
0.482,457.0,6.240000000000002,5.259631490787269,0.3522504892367906
0.494,479.0,9.100000000000001,5.226130653266331,0.3522504892367906
0.508,449.0,5.359999999999999,5.594639865996649,0.26418786692759294
0.521,436.0,3.8200000000000003,5.259631490787269,0.26418786692759294
0.533,457.0,6.240000000000002,4.824120603015075,0.1761252446183953
0.546,461.0,6.900000000000002,4.924623115577889,0.1761252446183953
0.559,473.0,8.220000000000002,5.192629815745393,0.26418786692759294
0.572,454.0,6.02,5.125628140703517,0.26418786692759294
0.584,437.0,3.8200000000000003,5.192629815745393,0.3522504892367906
0.596,464.0,7.120000000000001,5.259631490787269,0.26418786692759294
0.609,450.0,5.580000000000002,5.427135678391959,0.08806262230919765
0.622,465.0,7.34,5.125628140703517,0.0
0.634,459.0,6.68,5.125628140703517,0.0
0.647,479.0,9.100000000000001,5.125628140703517,0.0
0.659,460.0,6.68,5.025125628140703,0.0
0.672,426.0,2.5,5.159128978224455,-0.1761252446183953
0.686,454.0,6.02,5.226130653266331,-0.26418786692759294
0.698,430.0,2.9400000000000013,5.326633165829145,-0.26418786692759294
0.71,435.0,3.6000000000000014,5.494137353433835,-0.3522504892367906
0.723,455.0,6.02,5.360134003350083,-0.3522504892367906
0.736,444.0,4.700000000000001,5.963149078726968,-0.3522504892367906
0.749,454.0,6.02,5.527638190954773,-0.3522504892367906
0.762,433.0,3.380000000000001,5.628140703517587,-0.3522504892367906
0.775,442.0,4.48,5.460636515912897,-0.3522504892367906
0.787,444.0,4.700000000000001,5.561139028475711,-0.3522504892367906
0.799,432.0,3.16,5.862646566164154,-0.3522504892367906
0.813,455.0,6.02,5.460636515912897,-0.3522504892367906
0.825,444.0,4.700000000000001,5.259631490787269,-0.3522504892367906
0.838,447.0,5.140000000000001,5.561139028475711,-0.5283757338551859
0.85,440.0,4.260000000000002,6.063651591289782,-0.44031311154598823
0.863,457.0,6.240000000000002,5.6616415410385255,-0.44031311154598823
0.875,428.0,2.7200000000000006,5.527638190954773,-0.44031311154598823
0.888,441.0,4.260000000000002,5.594639865996649,-0.44031311154598823
0.901,440.0,4.260000000000002,4.757118927973199,-0.6164383561643836
0.913,429.0,2.9400000000000013,5.025125628140703,-0.7045009784735812
0.927,466.0,7.34,5.192629815745393,-0.7045009784735812
0.94,458.0,6.460000000000001,5.058626465661641,-0.7045009784735812
0.952,456.0,6.240000000000002,5.326633165829145,-0.5283757338551859
0.964,433.0,3.380000000000001,5.460636515912897,-0.44031311154598823
0.977,465.0,7.34,5.427135678391959,-0.26418786692759294
0.991,458.0,6.460000000000001,5.326633165829145,-0.26418786692759294
1.003,441.0,4.260000000000002,5.494137353433835,-0.1761252446183953
1.015,417.0,1.4000000000000004,5.594639865996649,0.0
1.028,437.0,3.8200000000000003,6.030150753768844,0.08806262230919765
1.041,433.0,3.380000000000001,6.063651591289782,0.0
1.053,457.0,6.240000000000002,5.996649916247906,0.0
1.065,457.0,6.240000000000002,5.963149078726968,0.0
1.078,450.0,5.580000000000002,5.6616415410385255,0.08806262230919765
1.091,434.0,3.6000000000000014,5.829145728643216,0.0
1.104,414.0,0.9600000000000009,6.164154103852596,0.0
