t1,t2,command,measured
24630191,24630191,52,974
24637653,24637653,52,973
24645117,24645118,52,973
24652579,24652579,52,972
24660039,24660040,52,973
24667503,24667504,52,974
24674966,24674966,52,976
24682425,24682426,52,972
24689892,24689893,52,973
24697353,24697353,52,975
24704819,24704819,52,972
24712278,24712279,52,971
24719740,24719741,52,973
24727204,24727205,52,972
24734667,24734668,52,973
24742126,24742127,52,971
24749593,24749593,52,972
24757052,24757053,52,974
24764514,24764514,52,974
24771978,24771978,52,973
24779437,24779438,52,973
24786904,24786905,52,972
24794364,24794364,52,973
24801826,24801827,52,973
24809289,24809290,52,974
24816752,24816752,52,971
24824213,24824214,52,972
24831677,24831678,52,975
24839137,24839138,52,972
24846604,24846605,52,973
24854064,24854064,52,973
24861525,24861525,52,973
24868990,24868991,52,973
24876451,24876451,52,973
24883914,24883914,52,973
24891377,24891377,52,972
24898837,24898838,52,974
24906302,24906303,52,974
24913764,24913764,52,974
24921225,24921226,52,973
24928690,24928690,52,973
24936151,24936151,52,973
24943614,24943614,52,973
24951077,24951077,52,972
24958536,24958538,52,973
24966002,24966003,52,974
24973462,24973462,52,973
24980924,24980925,52,972
24988388,24988388,52,973
24995850,24995850,52,972
25003310,25003310,52,976
25010776,25010777,52,974
25018236,25018236,52,973
25025702,25025702,52,973
25033161,25033161,52,973
25040624,25040624,52,972
25048087,25048088,52,971
25055549,25055549,52,972
25063009,25063009,52,972
25070473,25070473,52,974
25077933,25077934,52,975
25085398,25085399,52,974
25092859,25092860,52,973
25100320,25100321,52,973
25107786,25107786,52,973
25115247,25115248,52,973
25122708,25122708,52,972
25130173,25130173,52,972
25137634,25137634,52,973
25145099,25145099,52,973
25152560,25152560,52,972
25160020,25160021,52,972
25167484,25167485,52,973
25174946,25174947,52,974
25182406,25182407,52,972
25189873,25189873,52,973
25197332,25197333,52,973
25204799,25204799,52,972
25212258,25212259,52,972
25219721,25219721,52,973
25227184,25227185,52,973
25234646,25234647,52,972
25242106,25242106,52,974
25249572,25249573,52,973
25257032,25257032,52,973
25264493,25264493,52,972
25271957,25271957,52,972
25279417,25279417,52,973
25286883,25286884,52,973
25294343,25294345,53,972
25301807,25301807,53,973
25309270,25309270,53,972
25316733,25316733,53,971
25324195,25324195,53,972
25331659,25331659,53,974
25339118,25339119,53,974
25346584,25346584,53,973
25354044,25354044,53,973
25361504,25361505,53,972
25368970,25368970,53,973
25376431,25376431,53,973
25383895,25383895,53,973
25391357,25391358,53,974
25398819,25398820,53,974
25406284,25406284,53,974
25413745,25413746,53,972
25421206,25421207,53,973
25428671,25428672,53,973
25436132,25436133,53,973
25443595,25443596,53,971
25451058,25451059,53,973
25458518,25458518,53,973
25465984,25465984,53,972
25473443,25473444,53,974
25480906,25480906,53,972
25488369,25488370,53,974
25495832,25495832,53,972
25503291,25503292,53,974
25510758,25510759,53,973
25518218,25518219,53,974
25525685,25525686,53,973
25533144,25533145,53,975
25540606,25540606,53,972
25548070,25548070,53,971
25555532,25555532,53,971
25562991,25562992,53,969
25570456,25570457,53,970
25577917,25577917,53,966
25585382,25585383,53,967
25592843,25592844,53,967
25600304,25600305,53,966
25607769,25607770,53,969
25615231,25615231,53,966
25622691,25622692,53,965
25630156,25630157,53,966
25637617,25637618,53,966
25645082,25645083,53,967
25652544,25652544,53,966
25660004,25660005,53,967
25667468,25667468,53,966
25674930,25674931,53,967
25682390,25682390,53,970
25689856,25689857,53,968
25697316,25697316,53,967
25704782,25704782,53,966
25712241,25712242,53,966
25719704,25719705,53,966
25727168,25727168,53,967
25734630,25734631,53,966
25742090,25742090,53,964
25749557,25749557,53,966
25757016,25757017,53,966
25764478,25764478,53,966
25771942,25771942,53,966
25779401,25779402,53,967
25786868,25786868,53,967
25794327,25794327,53,966
25801789,25801790,53,967
25809253,25809254,53,967
25816715,25816716,53,966
25824177,25824178,53,965
25831642,25831642,53,970
25839101,25839102,53,962
25846568,25846568,53,966
25854028,25854028,53,966
25861488,25861488,53,966
25868953,25868953,53,966
25876413,25876414,53,967
25883876,25883876,53,966
25891339,25891339,53,966
25898800,25898800,53,967
25906265,25906265,53,967
25913726,25913727,53,969
25921188,25921188,53,966
25928653,25928653,53,966
25936114,25936114,53,966
25943577,25943578,53,965
25951040,25951041,53,966
25958499,25958500,53,966
25965965,25965966,53,966
25973425,25973426,53,967
25980888,25980888,53,966
25988351,25988352,53,966
25995814,25995814,53,967
26003274,26003274,53,966
26010740,26010740,53,967
26018199,26018199,53,967
26025666,26025666,53,966
26033125,26033126,53,965
26040589,26040589,53,965
26048052,26048053,53,966
26055513,26055514,53,966
26062973,26062973,53,966
26070437,26070438,53,969
26077899,26077899,53,967
26085363,26085364,53,966
26092825,26092826,53,966
26100286,26100287,53,965
26107750,26107751,53,968
26115211,26115212,53,966
26122672,26122672,53,967
26130137,26130137,53,967
26137598,26137598,53,965
26145062,26145063,53,967
26152523,26152524,53,966
26159984,26159985,53,966
26167448,26167448,53,966
26174910,26174911,53,966
26182369,26182370,53,966
26189836,26189837,53,966
26197295,26197296,53,966
26204762,26204762,53,966
26212221,26212222,53,967
26219684,26219685,53,965
26227148,26227148,53,966
26234610,26234611,53,966
26242069,26242070,53,967
26249534,26249535,53,965
26256995,26256995,53,967
26264456,26264456,53,966
26271920,26271920,53,967
26279379,26279380,53,965
26286846,26286847,53,967
26294306,26294307,53,965
26301768,26301769,53,967
26309232,26309232,53,966
26316694,26316695,53,965
26324156,26324157,53,967
26331620,26331621,53,966
26339080,26339080,53,966
26346546,26346547,53,966
26354006,26354007,53,965
26361467,26361467,53,966
26368932,26368932,53,966
26376393,26376393,53,966
26383855,26383856,53,966
26391318,26391318,53,967
26398779,26398780,53,967
26406245,26406245,53,966
26413706,26413706,53,965
26421167,26421167,53,966
26428632,26428632,53,967
26436092,26436093,53,964
26443555,26443556,53,966
26451018,26451019,53,965
26458478,26458478,53,966
26465944,26465945,53,965
26473403,26473404,53,965
26480866,26480867,53,965
26488330,26488330,53,966
26495791,26495792,53,966
26503251,26503252,53,968
26510718,26510718,53,965
26518177,26518178,53,968
26525643,26525644,53,967
26533103,26533103,53,965
26540565,26540566,53,966
26548029,26548029,53,967
26555489,26555490,53,965
26562951,26562951,53,967
26570416,26570416,53,966
26577877,26577878,53,966
26585343,26585343,53,966
26592804,26592804,53,966
26600265,26600266,53,967
26607730,26607731,53,968
26615191,26615192,53,966
26622652,26622653,53,965
26630118,26630118,53,966
26637579,26637579,53,966
26645044,26645044,53,966
26652503,26652504,53,966
26659963,26659964,53,966
26667427,26667427,53,966
26674889,26674890,53,967
26682349,26682350,53,966
26689816,26689816,53,969
26697275,26697276,53,966
26704742,26704742,53,966
26712202,26712202,53,966
26719664,26719665,53,967
26727128,26727128,53,966
26734590,26734591,53,966
26742050,26742051,53,968
26749516,26749516,53,965
26756976,26756977,53,968
26764438,26764439,53,966
26771903,26771903,53,966
26779362,26779363,53,966
26786829,26786830,54,966
26794289,26794290,54,967
26801752,26801752,54,967
26809216,26809217,54,968
26816678,26816679,54,966
26824140,26824141,54,966
26831605,26831605,54,967
26839064,26839065,54,968
26846531,26846531,54,963
26853990,26853990,54,966
26861451,26861451,54,967
26868916,26868916,54,966
26876377,26876377,54,966
26883839,26883840,54,965
26891302,26891303,54,967
26898764,26898764,54,966
26906229,26906229,54,966
26913690,26913690,54,966
26921151,26921151,54,967
26928616,26928616,54,965
26936077,26936077,54,967
26943541,26943541,54,966
26951003,26951004,54,965
26958463,26958463,54,966
26965929,26965929,54,967
26973389,26973389,54,965
26980852,26980852,54,964
26988315,26988316,54,966
26995778,26995779,54,966
27003238,27003239,54,963
27010705,27010705,54,960
27018164,27018165,54,957
27025631,27025631,54,955
27033091,27033091,54,954
27040553,27040554,54,953
27048017,27048018,54,951
27055477,27055478,54,951
27062938,27062939,54,951
27070403,27070404,54,950
27077864,27077865,54,951
27085329,27085330,54,951
27092790,27092790,54,951
27100251,27100252,54,951
27107716,27107716,54,951
27115176,27115177,54,952
