t1,t2,command,measured,position
78522589,78522589,57,308,927
78532276,78532277,57,308,927
78542255,78542255,57,308,926
78551926,78551926,57,308,927
78561600,78561601,57,308,925
78571275,78571276,57,308,926
78580950,78580951,57,308,925
78590620,78590621,57,308,926
78600296,78600296,57,308,926
78609967,78609968,57,308,926
78620352,78620353,57,308,926
78630021,78630022,57,307,926
78639695,78639695,57,307,925
78649368,78649368,57,307,926
78659041,78659041,57,307,926
78669768,78669769,57,307,926
78679443,78679444,57,307,926
78689110,78689111,57,307,926
78698780,78698781,57,307,926
78708452,78708453,57,307,926
78718521,78718522,57,307,926
78728193,78728193,57,307,928
78737867,78737867,57,307,924
78747535,78747536,57,307,926
78757214,78757214,57,307,927
78766882,78766883,57,307,926
78776556,78776557,57,308,926
78786226,78786226,57,308,926
78796689,78796690,57,307,925
78806364,78806364,57,307,925
78816038,78816038,57,307,927
78825708,78825708,57,308,926
78835382,78835382,57,308,926
78846084,78846085,57,308,924
78855759,78855759,57,308,925
78865429,78865430,57,308,926
78875101,78875101,57,307,927
78884772,78884773,57,307,927
78894881,78894881,57,307,928
78904550,78904550,57,308,926
78914220,78914220,57,308,926
78923888,78923889,57,308,927
78933556,78933557,57,308,926
78943225,78943225,57,308,926
78952892,78952892,57,308,927
78962562,78962563,57,308,924
78972906,78972907,57,308,926
78982578,78982578,57,308,925
78992248,78992249,57,308,927
79001918,79001919,57,308,923
79011586,79011587,57,307,926
79022301,79022302,57,307,925
79031969,79031969,57,307,928
79041643,79041644,57,307,926
79051313,79051313,57,308,925
79060986,79060986,57,307,927
79071095,79071096,57,307,925
79080769,79080769,57,307,926
79090438,79090439,57,307,925
79100111,79100112,57,307,925
79109783,79109783,57,307,926
79119455,79119456,57,307,926
79129123,79129124,57,307,925
79138793,79138793,57,307,927
79149232,79149233,57,307,928
79158904,79158905,57,307,926
79168572,79168572,57,307,926
79178245,79178245,57,307,927
79187916,79187916,57,307,926
79198650,79198651,57,307,925
79208317,79208318,57,308,926
79217987,79217987,57,308,928
79227657,79227657,57,307,924
79237361,79237362,57,308,925
79247549,79247549,57,308,927
79257227,79257227,57,308,927
79266892,79266892,57,308,924
79276562,79276562,57,308,926
79286231,79286231,57,308,924
79295901,79295902,57,308,928
79305568,79305568,57,308,926
79315238,79315238,57,308,926
79325675,79325676,57,308,927
79335348,79335348,57,308,929
79345017,79345017,57,308,926
79354689,79354689,57,308,925
79364359,79364359,57,308,924
79374982,79374982,57,308,926
79384652,79384652,57,308,927
79394320,79394321,57,308,926
79403988,79403989,57,308,926
79413655,79413656,57,308,926
79423925,79423926,57,308,926
79433590,79433591,57,307,925
79443259,79443259,57,307,925
79452929,79452929,57,307,926
79462598,79462599,57,307,927
79472266,79472267,57,307,927
79481939,79481939,57,307,926
79491606,79491606,57,307,925
79502004,79502005,57,307,925
79511675,79511675,57,307,927
79521350,79521351,57,307,927
79531016,79531017,57,307,926
79540689,79540690,57,307,926
79551470,79551471,57,307,926
79561148,79561148,57,307,926
79570820,79570820,57,307,926
79580496,79580497,57,307,926
79590166,79590168,58,307,926
79600291,79600291,58,307,926
79609961,79609961,58,307,927
79619635,79619635,58,307,927
79629308,79629308,58,307,925
79638982,79638983,58,308,926
79648651,79648652,58,308,927
79658326,79658326,58,308,925
79667992,79667992,58,308,927
79678474,79678474,58,307,926
79688144,79688145,58,308,926
79697815,79697816,58,308,928
79707483,79707484,58,308,926
79717161,79717162,58,308,927
79727897,79727898,58,308,926
79737572,79737573,58,308,927
79747242,79747243,58,308,927
79756914,79756915,58,308,926
79766585,79766586,58,308,926
79776670,79776671,58,308,928
79786343,79786344,58,308,927
79796017,79796018,58,308,926
79805688,79805688,58,308,927
79815364,79815364,58,308,926
79825034,79825034,58,308,925
79834706,79834707,58,307,926
79844376,79844376,58,307,927
79854723,79854724,58,308,926
79864396,79864397,58,308,925
79874063,79874064,58,308,926
79883734,79883734,58,308,926
79893400,79893401,58,308,926
79904145,79904145,58,308,925
79913813,79913814,58,307,926
79923482,79923482,58,307,924
79933151,79933151,58,307,923
79942821,79942822,58,308,923
79952880,79952881,58,308,923
79962549,79962550,58,308,921
79972221,79972222,58,308,919
79981892,79981893,58,308,917
79991561,79991561,58,308,918
80001237,80001238,58,308,917
80010909,80010909,58,308,918
80020578,80020578,58,308,918
80031039,80031039,58,308,915
80040710,80040711,58,308,917
80050379,80050380,58,308,918
80060049,80060049,58,310,917
80069717,80069718,58,311,919
80080347,80080347,58,311,916
80090017,80090018,58,310,917
80099688,80099688,58,310,917
80109355,80109355,58,309,916
80119026,80119027,58,310,918
80129334,80129335,58,310,916
80139004,80139005,58,311,917
80148671,80148671,58,311,917
80158346,80158346,58,311,918
80168014,80168015,58,311,917
80177688,80177689,58,311,918
80187358,80187358,58,311,918
80197029,80197030,58,311,918
80207424,80207425,58,311,918
80217100,80217101,58,311,917
80226767,80226767,58,311,919
80236439,80236440,58,311,917
80246110,80246111,58,311,918
80256739,80256739,58,311,917
80266408,80266409,58,311,919
80276083,80276083,58,311,918
80285748,80285749,58,310,917
80295459,80295460,58,311,918
80305651,80305652,58,311,917
80315321,80315321,58,310,917
80324989,80324989,58,310,916
80334657,80334657,58,309,917
80344324,80344324,58,309,918
80353987,80353988,58,309,918
80363652,80363653,58,309,918
80373322,80373323,58,309,918
80383675,80383675,58,309,917
80393343,80393344,58,309,917
80403009,80403009,58,309,917
80412676,80412676,58,309,916
80422345,80422345,58,309,918
80432667,80432667,58,309,917
80442337,80442337,58,309,919
80452005,80452005,58,309,917
80461681,80461681,58,309,917
80471347,80471348,58,309,919
80481673,80481674,58,309,919
80491342,80491342,58,309,917
80501013,80501014,58,309,917
80510677,80510678,58,309,917
80520347,80520347,58,309,916
80530671,80530671,58,309,917
80540344,80540344,58,309,917
80550008,80550009,58,309,917
80559676,80559677,58,309,916
80569345,80569346,58,309,917
80579669,80579670,58,310,917
80589336,80589337,58,309,918
80599005,80599006,58,309,916
80608669,80608669,58,309,919
80618341,80618342,58,309,917
80628680,80628680,58,310,917
80638350,80638350,58,311,917
80648018,80648018,58,311,917
