t1,t2,command,measured,position
41224549,41224549,48,256,988
41234227,41234227,48,256,987
41244684,41244684,48,256,987
41254352,41254353,48,256,987
41264020,41264020,48,256,989
41273692,41273693,48,257,987
41283359,41283359,48,257,987
41294092,41294093,48,257,987
41303765,41303765,48,257,988
41313439,41313439,48,257,987
41323113,41323114,48,256,987
41332789,41332789,48,257,988
41342912,41342913,48,257,986
41352584,41352585,48,256,986
41362262,41362262,48,256,985
41371938,41371938,48,257,987
41381615,41381615,48,256,988
41391288,41391289,48,256,986
41400967,41400967,48,256,987
41410641,41410641,48,256,986
41420989,41420989,48,256,987
41430663,41430663,48,256,987
41440335,41440336,48,256,986
41450003,41450004,48,256,986
41459680,41459680,48,256,985
41470357,41470357,48,256,986
41480031,41480031,48,256,986
41489701,41489702,48,256,986
41499376,41499376,48,256,987
41509045,41509046,48,256,986
41519044,41519045,48,256,987
41528719,41528720,48,256,986
41538397,41538397,48,256,986
41548858,41548859,48,256,987
41558535,41558535,48,254,987
41568209,41568209,48,254,986
41577887,41577888,48,255,987
41587562,41587562,48,255,987
41598241,41598242,48,255,986
41607915,41607915,48,255,987
41617593,41617594,48,255,985
41627265,41627265,48,255,987
41636964,41636964,48,256,986
41646953,41646954,48,256,987
41656632,41656632,48,256,987
41666306,41666306,48,256,986
41676776,41676777,48,256,987
41686446,41686446,48,256,987
41696122,41696122,48,256,986
41705795,41705795,48,257,982
41715470,41715471,48,257,986
41725835,41725835,48,257,987
41735513,41735513,48,257,987
41745187,41745187,48,257,986
41754865,41754865,48,257,986
41764536,41764536,48,257,986
41775230,41775231,48,257,988
41784906,41784907,48,256,986
41794580,41794581,48,256,987
41804253,41804254,48,256,986
41813930,41813931,48,256,988
41824011,41824012,48,256,987
41833685,41833685,48,254,986
41843358,41843358,48,254,988
41853027,41853027,48,255,986
41862704,41862704,48,255,985
41872381,41872381,48,255,987
41882054,41882054,48,255,987
41891729,41891729,48,255,986
41902078,41902079,48,255,984
41911754,41911755,48,255,988
41921433,41921434,48,255,986
41931106,41931107,48,255,986
41940786,41940787,48,255,987
41951633,41951633,48,255,988
41961311,41961312,48,255,987
41970985,41970986,48,255,986
41980662,41980663,48,255,987
41990331,41990332,48,255,987
42000301,42000301,48,255,985
42009974,42009974,48,255,987
42019652,42019652,48,255,986
42029989,42029990,48,255,987
42039666,42039666,48,255,986
42049337,42049338,48,255,987
42059011,42059012,48,255,988
42068684,42068685,48,255,987
42079367,42079367,48,255,987
42089037,42089037,48,255,986
42098714,42098715,48,255,987
42108387,42108388,48,255,987
42118062,42118063,48,255,987
42128185,42128186,48,255,989
42137862,42137863,48,255,986
42147535,42147536,48,255,987
42157884,42157885,48,256,986
42167556,42167557,48,257,988
42177235,42177235,48,257,988
42186907,42186907,48,257,986
42196587,42196587,48,257,987
42207329,42207330,48,257,986
42217009,42217010,48,256,985
42226683,42226684,48,256,981
42236360,42236360,48,256,987
42246032,42246033,48,257,987
42256094,42256095,48,257,987
42265764,42265765,48,257,987
42275437,42275438,48,257,988
42285110,42285110,48,257,988
42294782,42294782,48,256,988
42304454,42304455,48,256,987
42314127,42314128,48,256,987
42323802,42323803,48,256,987
42334256,42334256,48,257,988
42343928,42343928,48,257,987
42353602,42353602,48,257,985
42363273,42363273,48,257,987
42372945,42372946,48,256,983
42383624,42383625,48,256,985
42393297,42393297,48,256,987
42402970,42402971,48,256,987
42412642,42412643,48,256,986
42422318,42422318,48,256,986
42432417,42432418,48,256,986
42442094,42442095,48,257,988
42451768,42451769,48,257,986
42462265,42462265,48,257,985
42471942,42471943,48,257,987
42481622,42481622,48,257,985
42491297,42491298,48,257,986
42500974,42500975,48,257,986
42511822,42511822,48,257,987
42521498,42521498,48,257,987
42531171,42531172,48,257,987
42540853,42540853,48,257,987
42550567,42550568,48,257,986
42560379,42560379,48,257,988
42570050,42570050,48,257,987
42579727,42579728,48,257,986
42590081,42590082,48,257,986
42599762,42599762,48,257,988
42609436,42609437,48,257,988
42619118,42619119,49,257,987
42628795,42628795,49,257,988
42639655,42639656,49,257,987
42649327,42649328,49,257,987
42659007,42659007,49,257,987
42668681,42668682,49,257,986
42678359,42678360,49,257,986
42688252,42688252,49,257,987
42697932,42697933,49,256,987
42707610,42707610,49,256,986
42718066,42718067,49,256,987
42727746,42727746,49,257,987
42737424,42737425,49,257,987
42747098,42747099,49,256,986
42756779,42756779,49,256,987
42767622,42767623,49,256,986
42777301,42777301,49,256,986
42786975,42786976,49,256,987
42796654,42796654,49,256,986
42806330,42806330,49,256,987
42816326,42816327,49,256,987
42826000,42826001,49,257,987
42835683,42835684,49,257,987
42846123,42846124,49,256,987
42855804,42855805,49,257,987
42865479,42865479,49,257,987
42875154,42875155,49,257,987
42884827,42884827,49,257,984
42895658,42895658,49,257,986
42905333,42905334,49,257,986
42915005,42915006,49,257,987
42924679,42924679,49,257,986
42934351,42934352,49,257,988
42944237,42944238,49,257,988
42953910,42953911,49,257,987
42963584,42963585,49,257,987
42973931,42973931,49,256,986
42983607,42983608,49,257,987
42993282,42993282,49,257,987
43002956,43002956,49,257,988
43012634,43012634,49,257,988
43023328,43023329,49,257,987
43033002,43033002,49,257,987
43042680,43042681,49,257,988
43052358,43052358,49,257,987
43062034,43062035,49,257,987
43072163,43072163,49,257,987
43081842,43081842,49,257,988
43091517,43091518,49,257,987
43101970,43101971,49,257,987
43111649,43111650,49,257,986
43121331,43121332,49,257,985
43131010,43131011,49,256,985
43140690,43140691,49,256,987
43151498,43151498,49,256,988
43161177,43161178,49,256,987
43170856,43170856,49,256,989
43180536,43180537,49,256,986
43190210,43190210,49,257,986
43200146,43200147,49,257,986
43209824,43209824,49,256,987
43219503,43219503,49,256,986
43229967,43229968,49,256,985
43239645,43239646,49,256,987
43249316,43249316,49,256,986
43258996,43258997,49,256,987
43268669,43268670,49,257,987
43279343,43279343,49,257,987
43289014,43289015,49,257,985
43298691,43298691,49,257,989
43308360,43308361,49,257,988
43318038,43318038,49,257,986
43328163,43328163,49,257,989
43337843,43337843,49,257,987
43347516,43347516,49,257,986
43358028,43358029,49,257,987
43367704,43367704,49,257,986
43377385,43377385,49,257,987
43387060,43387060,49,257,988
43396740,43396741,49,257,987
43407106,43407106,49,257,987
43416787,43416787,49,257,987
43426460,43426461,49,257,987
43436139,43436139,49,257,988
43445814,43445815,49,257,987
43456660,43456660,49,257,987
43466331,43466331,49,257,988
43476011,43476011,49,257,986
43485688,43485688,49,257,986
43495402,43495403,49,257,987
43505397,43505397,49,257,987
43515072,43515072,49,257,984
43524747,43524747,49,257,987
43535182,43535182,49,256,987
43544859,43544859,49,256,987
43554534,43554534,49,256,988
43564208,43564209,49,256,987
43573884,43573885,49,256,986
43584726,43584726,49,256,988
43594398,43594399,49,256,988
43604074,43604074,49,256,988
43613750,43613751,49,256,987
43623422,43623422,49,257,987
43633344,43633345,49,257,985
43643016,43643016,49,256,989
43652689,43652690,49,256,986
43663166,43663167,49,256,987
43672841,43672841,49,257,987
43682516,43682517,49,257,985
43692190,43692191,49,257,987
43701868,43701868,49,257,987
43712698,43712698,49,257,987
43722374,43722374,49,257,988
43732051,43732051,49,257,988
43741731,43741732,49,257,987
43751407,43751408,49,257,986
43761329,43761330,49,257,987
43771004,43771005,49,257,989
43780686,43780686,49,257,986
43791181,43791181,49,257,987
43800857,43800858,49,257,988
43810531,43810531,49,257,988
43820206,43820206,49,257,987
43829881,43829881,49,257,987
43840212,43840213,49,257,986
43849884,43849884,49,257,987
43859561,43859562,49,257,987
43869232,43869233,49,257,988
43878905,43878906,49,257,987
43889636,43889637,49,257,987
43899311,43899312,49,257,988
43908979,43908980,49,257,987
43918654,43918655,49,256,989
43928325,43928325,49,256,988
43938436,43938436,49,256,987
43948109,43948109,49,257,988
43957790,43957790,49,257,988
43967460,43967460,49,256,987
43977137,43977138,49,256,986
43986810,43986811,49,256,987
43996488,43996488,49,256,987
44006159,44006160,49,256,987
44016567,44016567,49,256,987
44026239,44026240,49,256,987
44035919,44035920,49,256,986
44045592,44045593,49,256,986
44055268,44055269,49,256,988
44066098,44066099,49,256,987
44075777,44075778,49,256,987
44085445,44085446,49,256,986
44095115,44095116,49,256,988
44104789,44104789,49,256,986
44114692,44114693,49,256,987
44124363,44124363,49,256,986
44134037,44134037,49,256,987
44144379,44144380,49,257,988
44154055,44154056,49,257,988
44163729,44163730,49,257,988
44173399,44173399,49,257,988
44183073,44183074,49,257,987
44193744,44193745,49,257,987
44203418,44203419,49,257,987
44213091,44213092,49,257,988
44222770,44222770,49,257,988
44232445,44232445,49,257,988
44242419,44242419,49,257,988
44252092,44252093,49,256,986
44261772,44261772,49,256,988
44271444,44271445,49,256,987
44281120,44281121,49,256,986
44290793,44290794,49,256,985
44300464,44300465,49,256,987
44310138,44310139,49,256,988
44320523,44320524,49,256,986
44330193,44330193,49,257,989
44339870,44339870,49,257,986
44349546,44349546,49,256,987
44359223,44359223,49,256,988
44369894,44369895,49,256,988
44379574,44379575,49,256,986
44389248,44389249,49,256,987
44398926,44398927,49,256,987
44408599,44408600,49,256,987
44418727,44418727,49,256,987
44428399,44428399,49,256,984
44438075,44438075,49,256,988
44448426,44448427,49,256,986
44458103,44458104,49,256,987
44467772,44467773,49,256,986
44477447,44477448,49,256,986
44487119,44487119,49,256,986
44497963,44497963,49,256,986
44507636,44507636,49,256,986
44517310,44517310,49,256,987
44526981,44526981,49,256,986
44536661,44536662,49,256,987
44546633,44546633,49,256,987
44556312,44556313,49,257,988
44565985,44565986,49,257,987
44576353,44576353,49,256,989
44586026,44586028,50,256,988
44595709,44595709,50,256,988
44605380,44605381,50,257,986
44615055,44615056,50,256,988
44625905,44625906,50,256,987
44635585,44635586,50,257,988
44645260,44645261,50,257,987
44654936,44654936,50,257,987
44664616,44664617,50,257,986
44674611,44674612,50,257,987
44684282,44684282,50,257,986
44693951,44693951,50,257,987
44704292,44704292,50,257,988
44713962,44713963,50,256,987
44723634,44723635,50,256,986
44733305,44733305,50,257,985
44742975,44742976,50,257,987
44753647,44753647,50,257,987
44763319,44763320,50,256,987
44772992,44772993,50,256,987
44782670,44782670,50,256,986
44792344,44792344,50,256,987
44802475,44802475,50,256,986
44812145,44812145,50,256,986
44821821,44821822,50,256,986
44832165,44832165,50,256,986
44841843,44841844,50,256,987
44851514,44851514,50,256,986
44861187,44861188,50,256,987
44870858,44870859,50,256,987
44881222,44881223,50,256,987
44890895,44890895,50,256,987
44900573,44900574,50,256,988
44910241,44910242,50,256,988
44919919,44919919,50,256,988
44930751,44930752,50,256,987
44940425,44940426,50,256,988
44950099,44950099,50,256,987
44959777,44959778,50,257,987
44969450,44969451,50,257,988
44979399,44979399,50,257,988
44989072,44989072,50,257,985
44998747,44998748,50,257,987
45009155,45009155,50,257,985
45018831,45018832,50,257,987
45028503,45028503,50,257,987
45038179,45038180,50,257,987
45047854,45047854,50,257,988
45058543,45058544,50,257,987
45068216,45068216,50,257,985
45077889,45077890,50,257,985
45087562,45087563,50,257,987
45097279,45097280,50,257,987
45107277,45107278,50,257,987
45116953,45116953,50,257,987
45126625,45126625,50,257,987
45136301,45136302,50,257,987
45145973,45145973,50,257,987
45155652,45155653,50,257,986
45165327,45165328,50,257,987
45175002,45175002,50,257,987
45185345,45185345,50,257,987
45195016,45195016,50,257,986
45204688,45204688,50,257,987
45214356,45214356,50,256,986
45224025,45224026,50,256,987
45234385,45234385,50,256,990
45244056,45244057,50,257,988
45253725,45253726,50,257,987
45263393,45263394,50,256,988
45273062,45273062,50,256,988
45283803,45283803,50,256,986
45293469,45293470,50,256,988
45303139,45303139,50,256,987
45312810,45312811,50,257,987
45322482,45322482,50,256,986
45332568,45332569,50,256,987
45342239,45342240,50,256,986
45351912,45351912,50,256,987
45361591,45361591,50,256,986
45371262,45371263,50,256,986
45380938,45380939,50,256,988
45390614,45390614,50,256,987
45400287,45400287,50,256,987
45410725,45410726,50,257,987
45420399,45420400,50,257,987
45430073,45430073,50,257,987
45439749,45439750,50,257,988
45449417,45449418,50,257,987
45460157,45460157,50,257,985
45469828,45469829,50,257,988
45479499,45479499,50,257,986
45489169,45489169,50,257,987
45498843,45498844,50,257,987
45508924,45508925,50,257,986
45518596,45518596,50,257,987
45528267,45528267,50,257,988
45537941,45537941,50,257,987
45547616,45547617,50,257,986
45557295,45557295,50,257,987
45566968,45566969,50,257,989
45576644,45576644,50,257,985
45587112,45587112,50,257,989
45596790,45596790,50,257,987
45606462,45606463,50,257,986
45616135,45616135,50,257,987
45625808,45625808,50,257,987
45636549,45636550,50,257,985
45646220,45646220,50,257,988
45655895,45655895,50,257,988
45665567,45665568,50,257,987
45675237,45675238,50,257,986
45685361,45685361,50,257,987
45695032,45695033,50,257,987
45704703,45704704,50,257,988
45715055,45715056,50,256,987
45724729,45724730,50,256,988
45734399,45734400,50,256,985
45744073,45744074,50,256,988
45753746,45753746,50,256,987
45764111,45764112,50,256,987
45773785,45773786,50,256,986
45783454,45783454,50,256,987
45793123,45793124,50,256,987
45802801,45802801,50,256,987
45813474,45813475,50,256,986
45823148,45823148,50,257,987
45832821,45832821,50,257,987
45842497,45842497,50,256,987
45852169,45852169,50,256,986
45862230,45862230,50,256,988
45871903,45871903,50,257,986
45881581,45881582,50,257,986
45892043,45892043,50,257,987
45901720,45901720,50,257,987
45911392,45911392,50,257,986
45921067,45921068,50,256,987
45930740,45930741,50,257,987
45941575,45941576,50,257,987
45951249,45951250,50,257,988
45960925,45960926,50,257,986
45970599,45970600,50,257,988
45980269,45980270,50,257,987
45990217,45990218,50,257,986
45999893,45999893,50,257,987
46009563,46009564,50,257,984
46020034,46020034,50,257,987
46029704,46029705,50,257,990
46039379,46039379,50,257,987
46049050,46049050,50,257,988
46058725,46058726,50,257,986
46069459,46069459,50,257,987
46079131,46079131,50,257,988
46088801,46088801,50,257,987
46098474,46098475,50,256,986
46108142,46108143,50,257,988
46118204,46118204,50,257,988
46127876,46127877,50,256,987
46137552,46137553,50,256,987
46147223,46147224,50,257,987
46156924,46156924,50,256,988
46166598,46166598,50,256,987
46176276,46176277,50,256,987
46185950,46185951,50,256,986
46196351,46196351,50,256,989
46206027,46206027,50,256,986
46215703,46215703,50,256,986
46225377,46225377,50,257,986
46235051,46235051,50,257,987
46245765,46245766,50,257,989
46255437,46255437,50,257,987
46265108,46265109,50,257,983
46274786,46274786,50,257,985
46284456,46284456,50,257,987
46294519,46294519,50,257,985
46304190,46304191,50,257,986
46313864,46313865,50,257,988
46324371,46324372,50,257,986
46334042,46334043,50,257,985
46343714,46343715,50,257,987
46353387,46353387,50,257,988
46363059,46363059,50,257,986
46373761,46373761,50,257,987
46383430,46383430,50,257,987
46393102,46393102,50,257,989
46402779,46402779,50,257,987
46412480,46412481,50,257,988
46422489,46422490,50,257,986
46432163,46432164,50,257,986
46441840,46441841,50,257,987
46451517,46451518,50,257,987
46461193,46461194,50,257,987
46470869,46470869,50,257,987
46480547,46480548,50,257,987
46490221,46490221,50,257,986
46500663,46500664,50,256,985
46510334,46510334,50,257,987
46520009,46520010,50,257,987
46529682,46529683,50,257,987
46539355,46539356,50,257,988
46549717,46549719,51,256,987
46559394,46559395,51,256,988
46569068,46569069,51,256,986
46578748,46578748,51,256,987
46588419,46588420,51,257,987
46599265,46599265,51,257,984
46608935,46608935,51,257,987
