t1,t2,command,measured, zero
194822957,194822958,134,271,0
194832902,194832903,134,271,0
194842830,194842831,134,271,0
194852764,194852764,134,271,0
194863180,194863181,134,271,0
194873116,194873116,134,270,0
194883046,194883047,134,270,0
194893671,194893672,134,271,0
194903600,194903600,134,271,0
194913531,194913531,134,271,0
194923456,194923457,134,271,0
194933385,194933386,134,271,0
194943912,194943913,134,271,0
194953844,194953844,134,271,0
194963771,194963771,134,271,0
194974387,194974387,134,271,0
194984312,194984312,134,271,0
194994243,194994245,133,271,0
195004172,195004173,133,271,0
195014105,195014106,133,271,0
195024604,195024604,133,271,0
195034534,195034535,133,271,0
195044462,195044462,133,271,0
195055204,195055205,133,271,0
195065132,195065132,133,271,0
195075063,195075064,133,271,0
195084990,195084990,133,271,0
195094920,195094920,133,271,0
195105464,195105465,133,271,0
195115392,195115392,133,271,0
195125317,195125317,133,271,0
195135995,195135996,133,271,0
195145919,195145920,133,271,0
195155847,195155847,133,271,0
195165772,195165772,133,271,0
195175702,195175703,133,271,0
195186248,195186248,133,271,0
195196179,195196179,133,271,0
195206105,195206105,133,271,0
195216773,195216774,133,271,0
195226702,195226703,133,271,0
195236636,195236637,133,271,0
195246566,195246566,133,271,0
195256493,195256493,133,270,0
195267045,195267046,133,270,0
195276976,195276976,133,271,0
195286906,195286906,133,271,0
195297661,195297662,133,271,0
195307587,195307588,133,271,0
195317516,195317516,133,271,0
195327442,195327443,133,271,0
195337370,195337371,133,271,0
195347927,195347927,133,271,0
195357859,195357860,133,271,0
195367790,195367790,133,271,0
195378406,195378406,133,271,0
195388332,195388332,133,270,0
195398260,195398260,133,270,0
195408189,195408190,133,271,0
195418119,195418119,133,270,0
195428625,195428626,133,270,0
195438550,195438550,133,271,0
195448477,195448477,133,271,0
195459116,195459116,133,271,0
195469042,195469043,133,271,0
195478970,195478970,133,271,0
195488897,195488897,133,271,0
195498823,195498823,133,271,0
195509331,195509332,133,271,0
195519255,195519256,133,271,0
195529183,195529184,133,271,0
195539784,195539784,133,271,0
195549709,195549709,133,271,0
195559638,195559638,133,271,0
195569563,195569564,133,271,0
195579490,195579491,133,271,0
195590038,195590038,133,271,0
195599970,195599970,133,271,0
195609900,195609901,133,271,0
195620518,195620519,133,270,0
195630442,195630443,133,271,0
195640368,195640369,133,271,0
195650296,195650297,133,271,0
195660222,195660223,133,271,0
195670769,195670770,133,271,0
195680696,195680697,133,271,0
195690624,195690625,133,271,0
195701269,195701270,133,271,0
195711199,195711200,133,271,0
195721128,195721129,133,271,0
195731058,195731059,133,271,0
195740984,195740985,133,271,0
195751480,195751481,133,271,0
195761403,195761403,133,270,0
195771328,195771328,133,270,0
195781926,195781926,133,271,0
195791853,195791853,133,271,0
195801781,195801781,133,271,0
195811713,195811713,133,271,0
195821639,195821640,133,271,0
195832139,195832140,133,271,0
195842068,195842068,133,271,0
195851997,195851998,133,271,0
195862758,195862759,133,271,0
195872691,195872691,133,271,0
195882621,195882622,133,271,0
195892554,195892554,133,271,0
195902481,195902481,133,271,0
195912988,195912989,133,271,0
195922917,195922917,133,271,0
195932849,195932849,133,271,0
195943540,195943540,133,271,0
195953470,195953470,133,271,0
195963396,195963397,133,271,0
195973329,195973329,133,271,0
195983254,195983255,133,271,0
195993650,195993650,133,271,0
196003578,196003579,133,271,0
196013510,196013510,133,271,0
196024223,196024223,133,270,0
196034158,196034159,133,271,0
196044091,196044091,133,271,0
196054029,196054029,133,271,0
196063958,196063959,133,271,0
196074461,196074461,133,271,0
196084391,196084391,133,271,0
196094324,196094324,133,271,0
196104928,196104928,133,271,0
196114860,196114861,133,271,0
196124792,196124793,133,271,0
196134724,196134724,133,272,0
196144652,196144652,133,274,0
196155191,196155192,133,274,0
196165119,196165120,133,274,0
196175050,196175050,133,274,0
196185653,196185653,133,274,0
196195581,196195582,133,274,0
196205505,196205506,133,274,0
196215434,196215435,133,274,0
196225361,196225361,133,274,0
196235890,196235890,133,274,0
196245818,196245818,133,274,0
196255748,196255749,133,274,0
196266353,196266354,133,274,0
196276281,196276282,133,274,0
196286206,196286207,133,274,0
196296136,196296136,133,274,0
196306060,196306060,133,274,0
196316586,196316587,133,274,0
196326512,196326513,133,274,0
196336438,196336439,133,274,0
196347039,196347039,133,274,0
196356971,196356972,133,274,0
196366897,196366897,133,274,0
196376826,196376826,133,274,0
196386754,196386754,133,274,0
196397275,196397275,133,274,0
196407201,196407202,133,275,0
196417131,196417132,133,275,0
196427840,196427841,133,274,0
196437771,196437771,133,274,0
196447701,196447701,133,274,0
196457631,196457631,133,274,0
196467556,196467557,133,275,0
196478128,196478128,133,275,0
196488057,196488057,133,274,0
196497989,196497989,133,274,0
196508584,196508585,133,275,0
196518511,196518511,133,274,0
196528433,196528433,133,274,0
196538357,196538358,133,274,0
196548279,196548279,133,274,0
196558908,196558908,133,274,0
196568834,196568834,133,274,0
196578762,196578763,133,274,0
196589367,196589367,133,274,0
196599295,196599296,133,274,0
196609222,196609223,133,274,0
196619153,196619154,133,275,0
196629083,196629084,133,274,0
196639590,196639590,133,274,0
196649518,196649518,133,274,0
196659444,196659445,133,274,0
196670053,196670054,133,274,0
196679983,196679983,133,274,0
196689913,196689913,133,274,0
196699841,196699842,133,274,0
196709770,196709771,133,274,0
196720355,196720356,133,274,0
196730281,196730281,133,274,0
196740207,196740207,133,274,0
196750809,196750809,133,274,0
196760734,196760734,133,274,0
196770659,196770660,133,274,0
196780585,196780585,133,274,0
196790511,196790512,133,274,0
196801038,196801039,133,274,0
196810968,196810968,133,274,0
196820895,196820896,133,274,0
196831498,196831499,133,274,0
196841424,196841425,133,274,0
196851355,196851355,133,274,0
196861282,196861282,133,274,0
196871211,196871211,133,274,0
196881747,196881748,133,274,0
196891679,196891679,133,274,0
196901606,196901606,133,274,0
196912209,196912209,133,274,0
196922135,196922135,133,274,0
196932063,196932063,133,274,0
196941987,196941988,133,274,0
196951914,196951914,133,274,0
196962457,196962458,133,274,0
196972383,196972383,133,274,0
196982307,196982308,133,274,0
196992948,196992948,133,274,0
197002877,197002877,133,274,0
197012807,197012809,132,274,0
197022736,197022736,132,274,0
197032665,197032666,132,274,0
197043185,197043185,132,274,0
197053118,197053118,132,274,0
197063046,197063047,132,274,0
197073747,197073748,132,274,0
197083676,197083677,132,274,0
197093606,197093606,132,274,0
197103533,197103534,132,274,0
197113464,197113465,132,274,0
197124037,197124038,132,274,0
197133968,197133968,132,274,0
197143894,197143894,132,274,0
197154506,197154506,132,274,0
197164430,197164430,132,274,0
197174355,197174356,132,274,0
197184280,197184281,132,274,0
197194212,197194213,132,274,0
197204776,197204777,132,274,0
197214711,197214712,132,274,0
197224640,197224641,132,274,0
197235304,197235304,132,274,0
197245229,197245230,132,274,0
197255159,197255160,132,274,0
197265087,197265088,132,274,0
197275019,197275019,132,274,0
197285545,197285545,132,274,0
197295470,197295470,132,274,0
197305390,197305391,132,274,0
197316083,197316083,132,274,0
197326008,197326008,132,274,0
197335939,197335939,132,274,0
197345867,197345868,132,274,0
197355800,197355800,132,274,0
197366426,197366427,132,274,0
197376351,197376352,132,274,0
197386273,197386273,132,274,0
197396983,197396983,132,274,0
197406912,197406913,132,274,0
197416843,197416844,132,274,0
197426771,197426771,132,274,0
197436704,197436705,132,273,0
197447213,197447214,132,273,0
197457145,197457145,132,273,0
197467073,197467074,132,273,0
197477680,197477681,132,273,0
197487610,197487611,132,273,0
197497542,197497543,132,273,0
197507467,197507467,132,273,0
197517398,197517398,132,273,0
197527892,197527893,132,273,0
197537824,197537824,132,273,0
197547754,197547754,132,273,0
197558357,197558357,132,273,0
197568284,197568284,132,275,0
197578211,197578212,132,275,0
197588137,197588138,132,274,0
197598068,197598068,132,274,0
197608624,197608624,132,274,0
197618552,197618552,132,274,0
197628481,197628481,132,274,0
197639094,197639095,132,274,0
197649022,197649023,132,274,0
197658954,197658954,132,274,0
197668881,197668882,132,274,0
197678813,197678813,132,274,0
197689392,197689393,132,274,0
197699320,197699320,132,274,0
197709250,197709251,132,274,0
197719856,197719856,132,274,0
197729782,197729782,132,274,0
197739708,197739708,132,274,0
197749636,197749637,132,274,0
197759565,197759566,132,274,0
197770074,197770075,132,274,0
197780003,197780004,132,274,0
197789931,197789932,132,274,0
197800620,197800621,132,274,0
197810548,197810549,132,274,0
197820474,197820475,132,274,0
197830399,197830400,132,274,0
197840325,197840325,132,274,0
197850878,197850878,132,274,0
197860803,197860803,132,274,0
197870731,197870732,132,274,0
197881331,197881331,132,273,0
197891257,197891258,132,272,0
197901187,197901187,132,272,0
197911115,197911116,132,273,0
197921043,197921043,132,273,0
197931537,197931538,132,273,0
197941464,197941465,132,273,0
197951392,197951392,132,273,0
197961992,197961993,132,273,0
197971922,197971922,132,273,0
197981852,197981853,132,273,0
197991779,197991780,132,273,0
198001702,198001703,132,273,0
198012210,198012210,132,273,0
198022139,198022140,132,273,0
198032067,198032068,132,273,0
198042672,198042673,132,273,0
198052604,198052605,132,273,0
198062530,198062531,132,273,0
198072458,198072459,132,273,0
198082381,198082382,132,273,0
198092930,198092930,132,273,0
198102859,198102859,132,273,0
198112791,198112792,132,273,0
198123558,198123559,132,273,0
198133488,198133488,132,273,0
198143415,198143415,132,273,0
198153345,198153345,132,273,0
198163269,198163270,132,273,0
198173804,198173805,132,273,0
198183731,198183731,132,275,0
198193663,198193664,132,275,0
198204286,198204287,132,274,0
198214214,198214214,132,274,0
198224141,198224141,132,274,0
198234070,198234070,132,275,0
198243997,198243998,132,277,0
198254512,198254513,132,277,0
198264438,198264438,132,278,0
198274366,198274367,132,278,0
198284972,198284972,132,279,0
198294904,198294905,132,279,0
198304834,198304834,132,279,0
198314767,198314767,132,279,0
198324695,198324696,132,279,0
198335122,198335122,132,279,0
198345046,198345046,132,279,0
198354976,198354977,132,279,0
198365590,198365591,132,279,0
198375517,198375517,132,278,0
198385439,198385440,132,278,0
198395367,198395367,132,279,0
198405288,198405289,132,278,0
198415815,198415816,132,278,0
198425740,198425741,132,277,0
198435671,198435672,132,277,0
198446315,198446315,132,277,0
198456239,198456240,132,277,0
198466165,198466165,132,277,0
198476093,198476093,132,277,0
198486016,198486017,132,278,0
198496573,198496573,132,278,0
198506498,198506499,132,277,0
198516424,198516425,132,277,0
198527090,198527091,132,277,0
198537020,198537020,132,277,0
198546946,198546946,132,277,0
198556875,198556875,132,277,0
198566797,198566798,132,277,0
198577327,198577327,132,277,0
198587250,198587251,132,277,0
198597180,198597180,132,277,0
198607891,198607891,132,278,0
198617820,198617821,132,279,0
198627747,198627748,132,279,0
198637680,198637681,132,278,0
198647605,198647606,132,277,0
198658198,198658199,132,277,0
198668126,198668126,132,277,0
198678056,198678057,132,277,0
198688707,198688707,132,277,0
198698634,198698634,132,277,0
198708562,198708563,132,277,0
198718488,198718489,132,277,0
198728414,198728415,132,277,0
198738971,198738971,132,277,0
198748892,198748892,132,277,0
198758817,198758817,132,277,0
198769565,198769566,132,277,0
198779489,198779489,132,277,0
198789411,198789412,132,277,0
198799335,198799335,132,277,0
198809259,198809260,132,277,0
198819822,198819822,132,277,0
198829752,198829753,132,277,0
198839680,198839681,132,277,0
198850343,198850344,132,277,0
198860268,198860269,132,277,0
198870189,198870190,132,277,0
198880113,198880114,132,277,0
198890038,198890039,132,277,0
198900617,198900618,132,277,0
198910544,198910545,132,277,0
198920469,198920470,132,277,0
198931137,198931138,132,277,0
198941065,198941065,132,277,0
198950994,198950995,132,277,0
198960921,198960921,132,277,0
198970849,198970850,132,277,0
198981360,198981360,132,277,0
198991286,198991287,132,277,0
199001209,199001210,132,277,0
199011812,199011812,132,277,0
199021743,199021744,132,277,0
199031668,199031669,131,277,0
199041596,199041596,131,277,0
199051523,199051524,131,277,0
199062041,199062041,131,277,0
199071969,199071970,131,277,0
199081896,199081896,131,277,0
199092496,199092497,131,277,0
199102422,199102422,131,277,0
199112346,199112346,131,277,0
199122270,199122270,131,278,0
199132193,199132193,131,277,0
199142708,199142709,131,277,0
199152640,199152641,131,278,0
199162568,199162568,131,278,0
199173171,199173172,131,277,0
199183101,199183102,131,277,0
199193031,199193031,131,277,0
199202956,199202957,131,277,0
199212884,199212885,131,277,0
199223305,199223305,131,277,0
199233234,199233235,131,277,0
199243162,199243162,131,277,0
199253796,199253797,131,277,0
199263722,199263723,131,277,0
199273652,199273652,131,277,0
199283581,199283581,131,277,0
