t1,t2,command,measured,zero
141537028,141537028,48,256,0
141543190,141543191,48,256,0
141549352,141549353,48,256,0
141555511,141555511,48,256,0
141561672,141561673,48,256,0
141568880,141568881,48,256,0
141575076,141575077,48,256,0
141581233,141581233,48,256,0
141587391,141587392,48,256,0
141593556,141593556,48,256,0
141600815,141600816,48,256,0
141606974,141606975,48,256,0
141613133,141613134,48,256,0
141619289,141619289,48,256,0
141625447,141625447,48,257,0
141632544,141632544,48,257,0
141638701,141638702,48,257,0
141644856,141644856,48,257,0
141651016,141651017,48,257,0
141657177,141657177,48,257,0
141663996,141663997,48,256,0
141670153,141670153,48,256,0
141676314,141676315,48,257,0
141682592,141682593,48,257,0
141688752,141688752,48,257,0
141694917,141694918,48,257,0
141701079,141701080,48,257,0
141707241,141707241,48,256,0
141714452,141714453,48,256,0
141720610,141720611,48,256,0
141726768,141726769,48,256,0
141732927,141732928,48,256,0
141739087,141739088,48,256,0
141746182,141746183,48,256,0
141752340,141752341,48,256,0
141758502,141758502,48,256,0
141764660,141764661,48,256,0
141770816,141770816,48,256,0
141777730,141777731,48,256,0
141783891,141783891,48,256,0
141790051,141790052,48,256,0
141796315,141796316,48,256,0
141802486,141802486,48,256,0
141808647,141808648,48,256,0
141814807,141814807,48,256,0
141820968,141820968,48,256,0
141828215,141828216,48,256,0
141834380,141834381,48,256,0
141840538,141840539,48,257,0
141846696,141846696,48,257,0
141852855,141852855,48,256,0
141860137,141860138,48,256,0
141866296,141866297,48,256,0
141872456,141872457,48,256,0
141878619,141878619,48,256,0
141884775,141884776,48,256,0
141891666,141891666,48,256,0
141897823,141897823,48,256,0
141903980,141903981,48,257,0
141910317,141910317,48,257,0
141916498,141916498,48,257,0
141922655,141922656,48,256,0
141928813,141928814,48,256,0
141934975,141934975,48,257,0
141942250,141942251,48,257,0
141948414,141948415,48,257,0
141954577,141954577,48,256,0
141960734,141960735,48,256,0
141966891,141966892,48,256,0
141974077,141974078,48,256,0
141980233,141980233,48,256,0
141986390,141986390,48,256,0
141992549,141992549,48,256,0
141998708,141998709,48,256,0
142005554,142005555,48,256,0
142011712,142011713,48,256,0
142017866,142017867,48,256,0
142024195,142024195,48,256,0
142030352,142030352,48,256,0
142036506,142036507,48,257,0
142042663,142042664,48,257,0
142048820,142048820,48,256,0
142056153,142056153,48,256,0
142062310,142062311,48,256,0
142068465,142068466,48,256,0
142074627,142074628,48,256,0
142080783,142080783,48,256,0
142087666,142087667,48,256,0
142093827,142093827,48,256,0
142099984,142099984,48,257,0
142106340,142106341,48,257,0
142112499,142112500,48,257,0
142118654,142118655,48,256,0
142124813,142124813,48,256,0
142130971,142130972,48,256,0
142138210,142138211,48,256,0
142144368,142144369,48,256,0
142150527,142150527,48,256,0
142156683,142156683,48,256,0
142162836,142162837,48,256,0
142169657,142169658,48,256,0
142175816,142175817,48,256,0
142181975,142181976,48,257,0
142188315,142188315,48,257,0
142194494,142194495,48,257,0
142200653,142200654,48,256,0
142206809,142206810,48,256,0
142212970,142212971,48,256,0
142220232,142220232,48,256,0
142226389,142226390,48,256,0
142232549,142232549,48,256,0
142238702,142238703,48,256,0
142244862,142244862,48,256,0
142252066,142252067,48,256,0
142258223,142258224,48,256,0
142264381,142264382,48,257,0
142270538,142270538,48,257,0
142276695,142276695,48,257,0
142283593,142283594,48,256,0
142289745,142289746,48,256,0
142295904,142295905,48,257,0
142302237,142302237,48,257,0
142308397,142308397,48,257,0
142314558,142314558,48,257,0
142320714,142320715,48,257,0
142326871,142326872,48,257,0
142334159,142334160,48,257,0
142340316,142340316,48,257,0
142346472,142346472,48,256,0
142352629,142352629,48,256,0
142358782,142358783,48,256,0
142365633,142365633,48,257,0
142371790,142371791,48,257,0
142377947,142377947,48,257,0
142384222,142384222,48,257,0
142390407,142390407,48,257,0
142396567,142396567,48,257,0
142402719,142402719,48,257,0
142408874,142408874,48,257,0
142416101,142416101,48,257,0
142422253,142422253,48,257,0
142428410,142428411,48,257,0
142434571,142434571,48,257,0
142440728,142440728,48,257,0
142447667,142447668,48,257,0
142453824,142453825,48,257,0
142459984,142459984,48,256,0
142466221,142466221,48,256,0
142472374,142472375,48,256,0
142478532,142478532,48,256,0
142484687,142484687,48,256,0
142490842,142490843,48,254,0
142498176,142498176,48,254,0
142504335,142504335,48,254,0
142510496,142510497,48,256,0
142516655,142516655,48,256,0
142522809,142522809,48,256,0
142529612,142529613,48,257,0
142535771,142535771,48,257,0
142541932,142541932,48,257,0
142548234,142548235,48,257,0
142554394,142554395,48,257,0
142560552,142560552,48,256,0
142566711,142566711,48,256,0
142572868,142572868,48,256,0
142580106,142580106,48,256,0
142586264,142586265,48,256,0
142592425,142592426,48,257,0
142598582,142598583,48,257,0
142604738,142604738,48,257,0
142611610,142611610,48,257,0
142617768,142617769,48,257,0
142623930,142623930,48,257,0
142630250,142630250,48,257,0
142636407,142636408,48,257,0
142642564,142642565,48,257,0
142648724,142648724,48,257,0
