t1,t2,command,measured,zero
55757673,55757674,52,253,0
55763810,55763810,52,254,0
55770999,55770999,52,254,0
55777138,55777139,52,254,0
55783275,55783276,52,253,0
55789416,55789416,52,253,0
55795553,55795554,52,253,0
55802504,55802504,52,252,0
55808638,55808639,52,252,0
55814776,55814777,52,252,0
55821204,55821204,52,252,0
55827381,55827382,52,252,0
55833519,55833520,52,252,0
55839656,55839656,52,252,0
55845797,55845797,52,252,0
55853014,55853014,52,252,0
55859155,55859156,52,252,0
55865295,55865295,52,254,0
55871439,55871439,52,254,0
55877578,55877579,52,254,0
55884533,55884534,52,255,0
55890676,55890677,52,255,0
55896817,55896817,52,255,0
55903246,55903246,52,255,0
55909423,55909423,52,255,0
55915564,55915564,52,255,0
55921703,55921703,52,255,0
55927845,55927846,52,255,0
55935091,55935091,52,255,0
55941228,55941229,52,255,0
55947366,55947367,52,255,0
55953505,55953506,52,255,0
55959643,55959644,52,255,0
55966446,55966447,52,255,0
55972584,55972584,52,255,0
55978717,55978718,52,253,0
55985146,55985147,52,253,0
55991315,55991315,52,253,0
55997454,55997454,52,252,0
56003589,56003589,52,252,0
56009727,56009727,52,252,0
56017040,56017041,52,252,0
56023174,56023174,52,252,0
56029312,56029312,52,252,0
56035449,56035449,52,252,0
56041586,56041587,52,252,0
56048429,56048429,52,254,0
56054567,56054567,52,254,0
56060706,56060707,52,253,0
56067047,56067047,52,253,0
56073183,56073184,52,253,0
56079318,56079318,52,252,0
56085458,56085459,52,252,0
56091595,56091596,52,252,0
56098757,56098758,52,252,0
56104896,56104896,52,252,0
56111037,56111038,52,252,0
56117177,56117178,52,252,0
56123314,56123315,52,252,0
56130124,56130125,52,254,0
56136262,56136262,52,254,0
56142399,56142399,52,255,0
56148772,56148772,52,255,0
56154912,56154913,52,255,0
56161050,56161051,52,255,0
56167188,56167188,52,255,0
56173322,56173323,52,253,0
56180551,56180552,52,253,0
56186687,56186687,52,253,0
56192826,56192826,52,252,0
56198961,56198962,52,252,0
56205097,56205098,52,252,0
56211899,56211899,52,254,0
56218035,56218036,52,254,0
56224171,56224172,52,255,0
56230605,56230606,52,255,0
56236748,56236749,52,255,0
56242888,56242888,52,255,0
56249028,56249029,52,255,0
56255172,56255173,52,255,0
56262410,56262410,52,255,0
56268549,56268550,52,255,0
