t1,t2,command,force,position
52682730,52682730,56,-1,908
52690729,52690730,56,-1,904
52698713,52698714,56,-1,905
52706714,52706714,56,-1,905
52714713,52714714,56,-1,905
52722712,52722713,56,-1,904
52730718,52730718,56,-1,903
52738714,52738714,56,-1,904
52746714,52746715,56,-1,911
52754714,52754714,56,-1,903
52762712,52762713,56,-1,906
52770718,52770718,56,-1,906
52778713,52778714,56,-1,905
52786714,52786714,56,-1,910
52794714,52794714,56,-1,905
52802713,52802713,56,-1,907
52810718,52810718,56,-1,900
52818714,52818714,56,-1,906
52826714,52826714,56,-1,906
52834714,52834714,56,-1,905
52842712,52842713,56,-1,906
52850718,52850718,56,-1,905
52858714,52858714,56,-1,908
52866714,52866714,56,-1,905
52874714,52874714,56,-1,908
52882712,52882712,56,-1,906
52890718,52890718,56,-1,908
52898714,52898715,56,-1,905
52906713,52906714,56,-1,907
52914713,52914714,56,-1,908
52922712,52922713,56,-1,904
52930718,52930719,56,-1,907
52938714,52938714,56,-1,907
52946714,52946715,56,-1,904
52954714,52954715,56,-1,904
52962712,52962713,56,-1,906
52970717,52970718,56,-1,907
52978714,52978714,56,-1,905
52986714,52986715,56,-1,910
52994714,52994715,56,-1,906
53002712,53002713,56,-1,904
53010718,53010718,56,-1,907
53018714,53018714,56,-1,907
53026714,53026714,56,-1,906
53034714,53034714,56,-1,906
53042712,53042713,56,-1,905
53050718,53050718,56,-1,905
53058714,53058714,56,-1,905
53066714,53066714,56,-1,904
53074714,53074714,56,-1,905
53082712,53082713,56,-1,902
53090718,53090718,56,-1,902
53098713,53098714,56,-1,908
53106713,53106714,56,-1,904
53114714,53114714,56,-1,905
53122713,53122713,56,-1,906
53130718,53130718,56,-1,906
53138713,53138714,56,-1,904
53146714,53146714,56,-1,903
53154714,53154714,56,-1,908
53162712,53162713,56,-1,904
53170717,53170718,56,-1,909
53178714,53178714,56,-1,904
53186714,53186714,56,-1,907
53194714,53194714,56,-1,905
53202713,53202713,56,-1,906
53210717,53210718,56,-1,905
53218714,53218714,56,-1,904
53226714,53226714,56,-1,904
53234714,53234714,56,-1,910
53242713,53242713,56,-1,904
53250718,53250719,56,-1,904
53258714,53258715,56,-1,906
53266714,53266714,56,-1,906
53274713,53274714,56,-1,906
53282712,53282713,56,-1,904
53290718,53290718,56,-1,909
53298714,53298714,56,-1,908
53306713,53306714,56,-1,906
53314714,53314714,56,-1,908
53322712,53322713,56,-1,906
53330718,53330718,56,-1,904
53338713,53338714,56,-1,906
53346713,53346714,56,-1,903
53354714,53354715,56,-1,906
53362712,53362713,56,-1,909
53370718,53370719,57,-1,909
53378714,53378714,57,-1,909
53386714,53386714,57,-1,906
53394714,53394714,57,-1,903
53402712,53402713,57,-1,906
53410718,53410718,57,-1,911
53418714,53418714,57,-1,905
53426714,53426714,57,-1,903
53434714,53434714,57,-1,905
53442713,53442713,57,-1,908
53450718,53450718,57,-1,907
53458714,53458714,57,-1,906
53466714,53466714,57,-1,905
53474713,53474714,57,-1,904
53482712,53482713,57,-1,904
53490718,53490718,57,-1,908
53498714,53498714,57,-1,905
53506714,53506714,57,-1,905
53514714,53514714,57,-1,905
53522712,53522713,57,-1,907
53530718,53530718,57,-1,903
53538714,53538714,57,-1,904
53546714,53546714,57,-1,904
53554714,53554714,57,-1,905
53562713,53562713,57,-1,908
53570717,53570718,57,-1,905
53578714,53578714,57,-1,908
53586714,53586714,57,-1,898
53594714,53594714,57,-1,899
53602712,53602713,57,-1,899
53610718,53610718,57,-1,898
53618714,53618714,57,-1,900
53626714,53626714,57,-1,898
53634714,53634714,57,-1,895
53642712,53642713,57,-1,896
53650718,53650718,57,-1,900
53658714,53658714,57,-1,888
53666714,53666714,57,-1,895
53674714,53674714,57,-1,894
53682713,53682713,57,-1,897
53690717,53690718,57,-1,896
53698714,53698714,57,-1,896
53706714,53706714,57,-1,900
53714714,53714714,57,-1,896
53722712,53722713,57,-1,896
53730718,53730718,57,-1,896
53738714,53738714,57,-1,894
53746714,53746715,57,-1,896
53754714,53754714,57,-1,894
53762712,53762713,57,-1,897
53770718,53770718,57,-1,896
53778714,53778714,57,-1,896
53786714,53786715,57,-1,893
53794714,53794714,57,-1,895
53802712,53802713,57,-1,895
53810718,53810718,57,-1,894
53818714,53818714,57,-1,897
53826713,53826714,57,-1,896
53834714,53834714,57,-1,895
53842712,53842713,57,-1,896
53850718,53850719,57,-1,895
53858714,53858715,57,-1,896
53866714,53866714,57,-1,894
53874714,53874714,57,-1,896
53882712,53882713,57,-1,894
53890718,53890718,57,-1,898
53898714,53898714,57,-1,899
53906714,53906715,57,-1,902
53914714,53914714,57,-1,895
53922712,53922713,57,-1,896
53930718,53930718,57,-1,894
53938714,53938714,57,-1,900
53946714,53946714,57,-1,894
53954714,53954714,57,-1,894
53962713,53962713,57,-1,898
53970718,53970718,57,-1,894
53978714,53978715,57,-1,893
53986714,53986715,57,-1,894
53994714,53994714,57,-1,895
54002712,54002713,57,-1,895
54010718,54010718,57,-1,894
54018714,54018714,57,-1,897
54026714,54026714,57,-1,896
54034714,54034714,57,-1,897
54042712,54042713,57,-1,893
54050718,54050718,57,-1,898
54058714,54058714,57,-1,895
54066714,54066714,57,-1,893
54074714,54074714,57,-1,895
54082712,54082713,57,-1,897
54090718,54090718,57,-1,897
54098714,54098714,57,-1,893
54106714,54106714,57,-1,896
54114713,54114714,57,-1,893
54122712,54122713,57,-1,895
54130718,54130718,57,-1,897
54138714,54138714,57,-1,895
54146714,54146714,57,-1,891
54154714,54154714,57,-1,895
54162712,54162713,57,-1,895
54170718,54170718,57,-1,894
54178714,54178714,57,-1,896
54186714,54186714,57,-1,896
54194714,54194714,57,-1,897
54202712,54202713,57,-1,896
54210717,54210718,57,-1,896
54218714,54218714,57,-1,895
54226714,54226714,57,-1,894
54234713,54234714,57,-1,895
54242712,54242713,57,-1,892
54250718,54250718,57,-1,892
54258714,54258714,57,-1,905
54266714,54266714,57,-1,895
54274714,54274714,57,-1,898
54282712,54282713,57,-1,896
54290718,54290718,57,-1,895
54298714,54298714,57,-1,895
54306714,54306714,57,-1,897
54314714,54314714,57,-1,891
54322712,54322713,57,-1,895
54330718,54330718,57,-1,894
54338714,54338714,57,-1,897
54346714,54346714,57,-1,897
54354713,54354714,57,-1,884
54362712,54362713,57,-1,896
54370718,54370718,57,-1,895
54378714,54378714,57,-1,894
54386714,54386715,57,-1,895
54394714,54394714,57,-1,895
54402712,54402713,57,-1,893
54410718,54410718,57,-1,892
54418714,54418714,57,-1,895
54426714,54426714,57,-1,892
54434714,54434714,57,-1,894
54442713,54442713,57,-1,896
54450718,54450718,57,-1,896
54458714,54458714,57,-1,900
54466714,54466714,57,-1,895
54474713,54474714,57,-1,894
54482713,54482713,57,-1,895
54490718,54490718,57,-1,897
54498714,54498714,57,-1,896
54506714,54506714,57,-1,896
54514714,54514714,57,-1,896
54522712,54522713,57,-1,893
54530718,54530718,57,-1,893
54538713,54538714,57,-1,892
54546714,54546714,57,-1,896
54554714,54554714,57,-1,893
54562712,54562713,57,-1,892
54570718,54570718,57,-1,895
54578714,54578714,57,-1,895
54586713,54586714,57,-1,894
54594714,54594715,57,-1,895
54602712,54602713,57,-1,893
54610718,54610718,57,-1,903
54618714,54618714,57,-1,894
54626714,54626715,57,-1,895
54634713,54634714,57,-1,898
54642712,54642713,57,-1,896
54650718,54650718,57,-1,896
54658714,54658714,57,-1,895
54666714,54666714,57,-1,897
54674714,54674714,57,-1,895
54682713,54682713,57,-1,893
54690718,54690718,57,-1,893
54698714,54698715,57,-1,895
54706714,54706714,57,-1,895
54714714,54714714,57,-1,897
54722713,54722713,57,-1,896
54730717,54730718,57,-1,895
54738714,54738714,57,-1,897
54746714,54746714,57,-1,893
54754713,54754714,57,-1,895
54762713,54762713,57,-1,897
54770718,54770718,57,-1,898
54778714,54778714,57,-1,897
54786714,54786714,57,-1,897
54794714,54794714,57,-1,897
54802713,54802713,57,-1,895
54810718,54810718,57,-1,896
54818714,54818714,57,-1,895
54826714,54826714,57,-1,894
54834714,54834714,57,-1,894
54842712,54842713,57,-1,896
54850718,54850718,57,-1,897
54858714,54858714,57,-1,896
54866714,54866714,57,-1,898
54874714,54874714,57,-1,896
54882713,54882713,57,-1,893
54890718,54890718,57,-1,895
54898714,54898714,57,-1,890
54906714,54906714,57,-1,895
54914714,54914714,57,-1,899
54922712,54922713,57,-1,895
54930717,54930718,57,-1,895
54938714,54938714,57,-1,895
54946713,54946714,57,-1,896
54954713,54954714,57,-1,897
54962712,54962713,57,-1,894
54970718,54970718,57,-1,893
54978714,54978714,57,-1,895
54986714,54986714,57,-1,895
54994714,54994714,57,-1,894
55002712,55002713,57,-1,895
55010718,55010718,57,-1,893
