t1,t2,command,force,position
149308713,149308713,48,-1,985
149316714,149316715,48,-1,984
149324714,149324714,48,-1,985
149332714,149332715,48,-1,985
149340718,149340719,48,-1,984
149348713,149348713,48,-1,985
149356714,149356715,48,-1,984
149364714,149364715,48,-1,985
149372714,149372715,48,-1,984
149380718,149380719,48,-1,985
149388713,149388713,48,-1,983
149396714,149396715,48,-1,985
149404714,149404715,48,-1,985
149412714,149412715,48,-1,984
149420718,149420719,48,-1,985
149428713,149428714,48,-1,984
149436715,149436715,48,-1,985
149444714,149444715,48,-1,986
149452714,149452715,48,-1,984
149460718,149460719,48,-1,985
149468713,149468714,48,-1,985
149476714,149476715,48,-1,985
149484714,149484714,48,-1,985
149492714,149492715,48,-1,984
149500718,149500718,48,-1,985
149508713,149508713,48,-1,985
149516714,149516715,48,-1,986
149524714,149524715,48,-1,984
149532714,149532715,48,-1,985
149540718,149540718,48,-1,984
149548713,149548714,48,-1,984
149556714,149556715,48,-1,985
149564714,149564715,48,-1,983
149572714,149572715,48,-1,984
149580718,149580719,48,-1,984
149588713,149588713,48,-1,984
149596714,149596715,48,-1,984
149604714,149604715,48,-1,984
149612714,149612715,48,-1,985
149620719,149620719,48,-1,983
149628713,149628714,48,-1,983
149636714,149636714,48,-1,985
149644714,149644715,48,-1,985
149652714,149652715,48,-1,985
149660719,149660719,48,-1,985
149668713,149668713,48,-1,985
149676714,149676715,48,-1,984
149684714,149684715,48,-1,985
149692714,149692715,48,-1,984
149700718,149700719,48,-1,984
149708713,149708714,49,-1,984
149716714,149716715,49,-1,985
149724714,149724715,49,-1,984
149732714,149732715,49,-1,984
149740718,149740719,49,-1,983
149748713,149748713,49,-1,985
149756714,149756715,49,-1,985
149764714,149764714,49,-1,985
149772714,149772715,49,-1,985
149780718,149780719,49,-1,986
149788712,149788713,49,-1,985
149796714,149796715,49,-1,985
149804714,149804715,49,-1,984
149812714,149812715,49,-1,983
149820718,149820719,49,-1,985
149828713,149828713,49,-1,984
149836714,149836715,49,-1,987
149844714,149844715,49,-1,985
149852714,149852714,49,-1,984
149860719,149860719,49,-1,985
149868712,149868713,49,-1,983
149876714,149876715,49,-1,984
149884714,149884715,49,-1,983
149892714,149892715,49,-1,986
149900718,149900719,49,-1,985
149908713,149908713,49,-1,986
149916714,149916715,49,-1,986
149924714,149924714,49,-1,985
149932714,149932714,49,-1,985
149940718,149940719,49,-1,985
149948713,149948714,49,-1,985
149956714,149956715,49,-1,986
149964714,149964715,49,-1,985
149972714,149972715,49,-1,984
149980718,149980719,49,-1,985
149988713,149988713,49,-1,986
149996714,149996714,49,-1,984
150004714,150004715,49,-1,985
150012714,150012715,49,-1,986
150020718,150020719,49,-1,985
150028713,150028714,49,-1,985
150036714,150036714,49,-1,985
150044714,150044715,49,-1,985
150052714,150052715,49,-1,984
150060718,150060719,49,-1,984
150068713,150068714,49,-1,985
150076714,150076714,49,-1,981
150084714,150084714,49,-1,985
150092714,150092715,49,-1,985
150100718,150100718,49,-1,984
150108713,150108713,49,-1,988
150116714,150116715,49,-1,985
150124714,150124715,49,-1,984
