trialCount,Test,Reference,A,B,answerKey,userAnswer,inc,rightStreak
1,120,80,120,80,1,1,-5,0
2,115,80,80,115,3,3,-5,1
3,110,80,80,110,3,3,-5,2
4,106,80,106,80,1,1,-4,0
5,102,80,80,102,3,3,-4,1
6,98,80,80,98,3,3,-4,2
7,95,80,80,95,3,3,-3,0
8,92,80,80,92,3,3,-3,1
9,89,80,80,89,3,3,-3,2
10,87,80,80,87,3,3,-2,0
11,85,80,85,80,1,2,-2,1
12,88,80,88,80,1,1,3,0
13,91,80,80,91,3,3,3,1
14,94,80,80,94,3,3,3,2
15,92,80,80,92,3,3,-2,0
16,90,80,80,90,3,3,-2,1
17,88,80,80,88,3,3,-2,2
18,87,80,87,80,1,1,-1,0
19,86,80,80,86,3,3,-1,1
20,85,80,80,85,3,3,-1,2
21,85,80,85,80,1,1,0,0
22,85,80,85,80,1,1,0,1
23,85,80,80,85,3,3,0,2
24,86,80,80,86,3,3,1,0
25,87,80,87,80,1,1,1,1
26,88,80,80,88,3,3,1,2
27,88,80,88,80,1,1,0,0
28,88,80,80,88,3,3,0,1
29,88,80,80,88,3,3,0,2
30,89,80,89,80,1,1,1,0
