time,flex sensor,"actuator position, command","actuator position, measured",force,"actuator position, command1","actuator position, measured1",force1,TrialCounter
862.474,180.0,47.0,980.0,0.18,0.0,987.0,0.62,0
862.626,180.0,47.0,980.0,0.18,0.0,988.0,0.62,0
862.779,180.0,47.0,980.0,0.18,0.0,987.0,0.53,0
862.931,180.0,47.0,980.0,0.18,0.0,988.0,0.35,0
863.084,180.0,47.0,980.0,0.18,0.0,987.0,0.53,0
863.236,180.0,47.0,980.0,0.18,0.0,987.0,0.53,0
863.389,180.0,47.0,980.0,0.09,0.0,988.0,0.35,0
863.541,180.0,47.0,981.0,0.18,0.0,988.0,0.53,0
863.694,180.0,47.0,980.0,0.18,0.0,987.0,0.53,0
863.846,180.0,47.0,980.0,0.18,0.0,988.0,0.53,0
863.999,180.0,47.0,980.0,0.18,0.0,987.0,0.53,0
864.151,180.0,47.0,980.0,0.18,0.0,988.0,0.35,0
864.304,180.0,47.0,980.0,0.18,0.0,988.0,0.35,0
864.456,180.0,47.0,980.0,0.09,0.0,988.0,0.53,0
864.609,180.0,47.0,980.0,0.18,0.0,987.0,0.35,0
864.761,180.0,47.0,980.0,0.18,0.0,988.0,0.35,0
864.914,180.0,47.0,980.0,0.18,0.0,988.0,0.35,0
865.066,180.0,47.0,980.0,0.18,0.0,987.0,0.35,0
865.219,180.0,47.0,980.0,0.18,0.0,987.0,0.35,0
865.371,180.0,47.0,980.0,0.18,0.0,987.0,0.35,0
865.523,180.0,47.0,980.0,0.18,0.0,988.0,0.35,0
865.676,180.0,47.0,980.0,0.18,0.0,988.0,0.35,0
865.829,180.0,80.0,980.0,0.35,0.0,987.0,0.53,1
867.981,180.0,80.0,945.0,0.62,0.0,988.0,0.53,1
868.133,180.0,80.0,769.0,4.04,0.0,988.0,0.62,1
868.286,180.0,80.0,769.0,4.13,0.0,988.0,0.62,1
868.438,180.0,80.0,765.0,4.04,0.0,988.0,0.62,1
868.591,180.0,80.0,766.0,4.13,0.0,988.0,0.62,1
868.743,180.0,80.0,766.0,4.13,0.0,987.0,0.62,1
868.896,180.0,80.0,751.0,4.13,0.0,988.0,0.44,1
869.048,180.0,80.0,750.0,3.96,0.0,987.0,0.35,1
869.2,180.0,80.0,745.0,3.96,0.0,988.0,0.35,1
869.353,180.0,80.0,748.0,3.78,0.0,988.0,0.18,1
869.505,180.0,80.0,739.0,3.69,0.0,988.0,0.09,1
869.658,180.0,80.0,729.0,3.87,0.0,988.0,0.09,1
869.81,180.0,80.0,713.0,4.13,0.0,987.0,0.09,1
869.963,180.0,80.0,708.0,4.13,0.0,988.0,0.09,1
870.115,180.0,80.0,713.0,4.04,0.0,988.0,0.09,1
870.268,180.0,80.0,707.0,4.13,0.0,988.0,0.09,1
870.42,180.0,80.0,688.0,4.39,0.0,988.0,0.26,1
870.572,180.0,80.0,678.0,4.66,0.0,987.0,0.09,1
870.725,180.0,80.0,673.0,4.66,0.0,988.0,0.09,1
872.877,180.0,47.0,654.0,4.92,0.0,987.0,0.09,1
873.03,180.0,47.0,654.0,4.92,0.0,988.0,0.0,1
873.182,180.0,47.0,720.0,4.31,0.0,987.0,0.0,1
873.335,180.0,47.0,945.0,0.88,0.0,987.0,0.18,1
873.487,180.0,47.0,980.0,0.26,0.0,982.0,0.09,1
873.639,180.0,47.0,980.0,0.26,0.0,988.0,0.09,1
873.792,180.0,47.0,980.0,0.35,0.0,988.0,0.09,1
873.944,180.0,47.0,981.0,0.26,0.0,987.0,0.26,1
874.097,180.0,47.0,980.0,0.26,0.0,988.0,0.18,1
874.249,180.0,47.0,981.0,0.26,0.0,988.0,0.26,1
874.402,180.0,47.0,980.0,0.26,0.0,981.0,0.09,1
874.554,180.0,47.0,981.0,0.26,0.0,988.0,0.09,1
874.707,180.0,47.0,981.0,0.18,0.0,988.0,0.09,1
874.859,180.0,47.0,985.0,0.18,0.0,987.0,0.09,1
875.012,180.0,47.0,979.0,0.18,0.0,987.0,0.09,1
875.164,180.0,47.0,980.0,0.18,0.0,988.0,0.18,1
875.317,180.0,47.0,980.0,0.18,0.0,988.0,0.18,1
875.469,180.0,47.0,980.0,0.18,0.0,988.0,0.09,1
875.622,180.0,47.0,980.0,0.18,0.0,987.0,0.09,1
875.774,180.0,47.0,980.0,0.18,0.0,987.0,0.26,1
877.926,180.0,120.0,980.0,0.18,0.0,988.0,0.18,1
878.079,180.0,120.0,832.0,1.67,0.0,988.0,0.09,1
878.231,180.0,120.0,639.0,5.45,0.0,988.0,0.26,1
878.384,180.0,120.0,466.0,8.26,0.0,988.0,0.09,1
878.536,180.0,120.0,413.0,9.14,0.0,988.0,0.09,1
878.689,180.0,120.0,417.0,8.96,0.0,987.0,0.18,1
878.841,180.0,120.0,413.0,8.88,0.0,988.0,0.09,1
878.994,180.0,120.0,420.0,8.61,0.0,987.0,0.09,1
879.146,180.0,120.0,413.0,8.7,0.0,988.0,0.0,1
879.298,180.0,120.0,418.0,8.79,0.0,988.0,0.0,1
879.451,180.0,120.0,419.0,8.79,0.0,987.0,0.0,1
879.603,180.0,120.0,413.0,8.61,0.0,988.0,0.0,1
879.756,180.0,120.0,421.0,8.53,0.0,987.0,0.09,1
879.908,180.0,120.0,414.0,8.35,0.0,988.0,0.09,1
880.061,180.0,120.0,418.0,8.44,0.0,987.0,0.09,1
880.213,180.0,120.0,426.0,8.26,0.0,987.0,0.09,1
880.366,180.0,120.0,427.0,8.09,0.0,987.0,0.0,1
880.518,180.0,120.0,426.0,8.09,0.0,987.0,0.0,1
880.67,180.0,120.0,426.0,8.09,0.0,987.0,0.0,1
880.823,180.0,120.0,426.0,8.09,0.0,988.0,0.0,1
882.975,180.0,47.0,426.0,8.0,0.0,987.0,0.0,1
883.128,180.0,47.0,668.0,4.83,0.0,987.0,0.0,1
883.28,180.0,47.0,912.0,1.32,0.0,988.0,0.0,1
883.433,180.0,47.0,979.0,0.35,0.0,988.0,0.09,1
883.585,180.0,47.0,979.0,0.44,0.0,987.0,0.09,1
883.738,180.0,47.0,979.0,0.26,0.0,988.0,0.09,1
883.89,180.0,47.0,979.0,0.26,0.0,988.0,0.09,1
884.042,180.0,47.0,981.0,0.26,0.0,988.0,0.09,1
884.195,180.0,47.0,979.0,0.26,0.0,987.0,0.09,1
884.347,180.0,47.0,980.0,0.26,0.0,988.0,0.09,1
884.5,180.0,47.0,979.0,0.26,0.0,990.0,0.09,1
