time,flex sensor,"actuator position, command","actuator position, measured",force,"actuator position, command1","actuator position, measured1",force1,TrialCounter
442357,180.00,65,845,261,0,989,247,0
442509,180.00,65,845,261,0,989,247,0
442662,180.00,65,845,261,0,989,247,0
442814,180.00,65,845,262,0,988,247,0
442967,180.00,65,845,261,0,989,247,0
443119,180.00,65,845,261,0,989,247,0
443272,180.00,65,845,263,0,989,247,0
443424,180.00,65,845,261,0,989,247,0
443577,180.00,65,845,261,0,989,247,0
443729,180.00,65,845,261,0,989,247,0
443882,180.00,65,846,262,0,989,246,0
444034,180.00,65,845,261,0,989,247,0
444187,180.00,65,845,261,0,989,247,0
444339,180.00,65,845,261,0,989,247,0
444492,180.00,65,846,261,0,989,247,0
444645,180.00,65,846,261,0,989,247,0
444797,180.00,65,845,261,0,989,247,0
444950,180.00,65,846,262,0,989,247,0
445102,180.00,65,846,261,0,989,247,0
445255,180.00,65,845,262,0,989,247,0
445407,180.00,65,846,261,0,989,247,0
445560,180.00,65,845,263,0,989,247,0
445712,180.00,65,845,263,0,989,248,0
445865,180.00,65,845,263,0,989,248,0
446017,180.00,65,845,262,0,989,248,0
446170,180.00,65,845,261,0,989,248,0
446322,180.00,65,845,263,0,989,248,0
446475,180.00,65,845,263,0,989,248,0
446627,180.00,65,845,263,0,989,249,0
446780,180.00,65,845,263,0,989,250,0
446932,180.00,65,845,261,0,989,248,0
447085,180.00,65,845,261,0,989,246,0
447237,180.00,65,845,262,0,989,247,0
447390,180.00,65,845,261,0,988,247,0
447542,180.00,65,846,263,0,989,248,0
447695,180.00,65,845,261,0,988,248,0
447847,180.00,65,845,263,0,989,248,0
448000,180.00,65,845,261,0,989,248,0
448152,180.00,65,846,263,0,989,251,0
448305,180.00,65,846,261,0,989,251,0
448457,180.00,65,845,261,0,989,250,0
448610,180.00,65,845,261,0,989,248,0
448762,180.00,65,845,263,0,988,248,0
448915,180.00,65,845,262,0,988,248,0
449067,180.00,65,846,263,0,989,248,0
449220,180.00,65,845,263,0,989,248,0
449372,180.00,65,845,261,0,989,250,0
449525,180.00,65,845,263,0,989,248,0
449677,180.00,65,845,263,0,989,248,0
449830,180.00,65,846,263,0,989,248,0
449982,180.00,65,845,263,0,988,248,0
450135,180.00,65,845,262,0,989,248,0
450287,180.00,65,845,262,0,989,248,0
450440,180.00,65,845,261,0,989,248,0
450592,180.00,65,845,262,0,989,248,0
450745,180.00,65,845,263,0,989,248,0
450897,180.00,65,845,263,0,989,248,0
451050,180.00,65,845,263,0,989,248,0
451202,180.00,65,845,263,0,989,248,0
451355,180.00,65,845,261,0,989,248,0
451508,180.00,65,845,261,0,989,248,0
451660,180.00,65,845,261,0,989,248,0
451813,180.00,65,845,263,0,989,248,0
451965,180.00,65,845,262,0,989,248,0
452118,180.00,65,846,263,0,989,248,0
452270,180.00,65,845,262,0,989,248,0
452423,180.00,65,845,263,0,989,251,0
452575,180.00,65,845,261,0,989,248,0
452728,180.00,65,845,262,0,989,248,0
452880,180.00,65,845,262,0,989,248,0
453033,180.00,65,846,262,0,989,248,0
453185,180.00,65,846,263,0,989,248,0
453338,180.00,65,845,263,0,988,248,0
453490,180.00,65,845,263,0,989,250,0
453643,180.00,65,845,263,0,989,248,0
453795,180.00,65,845,262,0,989,251,0
453948,180.00,65,845,263,0,989,248,0
454100,180.00,65,845,263,0,989,248,0
454253,180.00,65,845,263,0,989,248,0
454405,180.00,65,846,263,0,989,248,0
454558,180.00,65,845,263,0,989,248,0
454710,180.00,65,845,261,0,989,248,0
454863,180.00,65,845,261,0,989,248,0
455015,180.00,65,846,262,0,989,248,0
455168,180.00,65,845,263,0,989,249,0
455320,180.00,65,846,261,0,989,249,0
455473,180.00,65,846,261,0,989,251,0
455625,180.00,65,846,261,0,988,249,0
455778,180.00,65,845,262,0,989,251,0
455930,180.00,65,845,261,0,989,250,0
