,time,flex sensor,"actuator position, command","actuator position, measured",force,"actuator position, command1","actuator position, measured1",force1,TrialCounter
0,531944.0,180.0,67.0,844.0,263.0,0.0,986.0,247.0,0.0
3107,1213619.0,180.0,67.0,792.0,270.0,65.0,833.0,268.0,26.0
3108,1213772.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,26.0
3109,1213924.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,26.0
3110,1214076.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,26.0
3111,1214229.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,26.0
3112,1214381.0,180.0,67.0,792.0,270.0,65.0,832.0,267.0,26.0
3113,1214534.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,26.0
3114,1214686.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,26.0
3115,1214839.0,180.0,67.0,792.0,270.0,65.0,833.0,268.0,26.0
3116,1214991.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,26.0
3117,1215144.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,26.0
3118,1215296.0,180.0,67.0,793.0,270.0,65.0,832.0,268.0,26.0
3119,1215448.0,180.0,67.0,793.0,270.0,65.0,832.0,268.0,26.0
3106,1213467.0,180.0,67.0,793.0,270.0,65.0,832.0,268.0,26.0
3120,1215601.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,26.0
3122,1215906.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,26.0
3123,1216058.0,180.0,67.0,792.0,270.0,65.0,833.0,268.0,26.0
3124,1216211.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,26.0
3125,1216363.0,180.0,67.0,793.0,270.0,65.0,832.0,268.0,26.0
3126,1216516.0,180.0,67.0,793.0,269.0,65.0,833.0,268.0,26.0
3127,1216668.0,180.0,67.0,792.0,269.0,65.0,833.0,268.0,26.0
3128,1216820.0,180.0,67.0,792.0,269.0,65.0,832.0,269.0,26.0
3129,1216973.0,180.0,67.0,792.0,269.0,65.0,832.0,269.0,26.0
3130,1217125.0,180.0,67.0,792.0,269.0,65.0,832.0,269.0,26.0
3131,1217278.0,180.0,67.0,792.0,269.0,65.0,833.0,269.0,26.0
3132,1217430.0,180.0,67.0,792.0,269.0,65.0,832.0,269.0,26.0
3133,1217583.0,180.0,67.0,792.0,269.0,65.0,832.0,269.0,26.0
3134,1217735.0,180.0,67.0,792.0,267.0,65.0,832.0,269.0,26.0
3121,1215753.0,180.0,67.0,792.0,270.0,65.0,832.0,267.0,26.0
3105,1213314.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,26.0
3104,1213162.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,26.0
3103,1213009.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,26.0
3054,1201539.0,180.0,67.0,799.0,270.0,65.0,839.0,269.0,26.0
3055,1201692.0,180.0,67.0,802.0,270.0,65.0,840.0,269.0,26.0
3056,1201844.0,180.0,67.0,793.0,270.0,65.0,840.0,267.0,26.0
3057,1201996.0,180.0,67.0,792.0,271.0,65.0,839.0,267.0,26.0
3058,1202149.0,180.0,67.0,792.0,271.0,65.0,839.0,266.0,26.0
3059,1202301.0,180.0,67.0,792.0,270.0,65.0,839.0,267.0,26.0
3060,1202454.0,180.0,67.0,792.0,270.0,65.0,839.0,268.0,26.0
3061,1202606.0,180.0,67.0,791.0,271.0,65.0,839.0,267.0,26.0
3062,1202759.0,180.0,67.0,792.0,270.0,65.0,839.0,267.0,26.0
3063,1202911.0,180.0,67.0,792.0,270.0,65.0,839.0,268.0,26.0
3064,1203064.0,180.0,67.0,792.0,270.0,65.0,839.0,268.0,26.0
3065,1203216.0,180.0,67.0,792.0,272.0,65.0,839.0,268.0,26.0
