Command	Commanded Position (mm)	Position measured (raw)	Position Measured	dev raw	dev converted	n	stderror	Force	dev	nForce	stderrorForce
67	4.347826087	785.5956158	4.324954768	46.89141749	1.136920402	3467	0.019308705	2.063213153	0.821793435	3467	0.013956797
94	10.2173913	646.525	7.696363636	48.19076027	1.16842402	40	0.184744059	4.24475	0.85606655	40	0.135356006
95	10.43478261	635.9679612	7.952291851	46.70493979	1.132399099	1030	0.035284251	4.442786408	0.835589846	1030	0.026036017
96	10.65217391	630.5166667	8.084444444	52.98600182	1.284688536	60	0.165852577	4.683333333	1.005464514	60	0.129804911
97	10.86956522	624.05	8.241212121	53.41036884	1.294977658	100	0.129497766	4.7033	0.985417734	100	0.098541773
98	11.08695652	618.5798319	8.373822256	50.81677348	1.232093838	119	0.112945857	4.864033613	0.960289977	119	0.088029638
99	11.30434783	610.2318841	8.57619675	56.48397103	1.369499633	138	0.116579551	5.143188406	1.044895796	138	0.088947437
100	11.52173913	603.3865546	8.74214413	58.88945765	1.427822605	119	0.130888284	5.151092437	1.089245973	119	0.099851015
101	11.73913043	594.4285714	8.959307359	56.55882212	1.371314458	119	0.12570819	5.444117647	1.092986358	119	0.100193895
102	11.95652174	586.5762712	9.149666153	64.46157794	1.562923175	59	0.203475266	5.285932203	1.20166991	59	0.156444097
103	12.17391304	579.5	9.321212121	70.35978965	1.705930095	40	0.269731232	5.75475	1.347887212	40	0.213119681
104	12.39130435	575.55	9.416969697	68.35566911	1.65733857	40	0.262048237	5.91875	1.354411657	40	0.214151286
105	12.60869565	561.6	9.755151515	77.1747368	1.87116401	20	0.418404992	5.722	1.422485852	20	0.318077506
108	13.26086957	526.75	10.6	91.85361996	2.227065423	20	0.497986968	6.1455	1.562077063	20	0.34929105
111	13.91304348	504.1	11.14909091	102.3723107	2.4820996	20	0.555014343	6.7	1.730124273	20	0.386867548
114	14.56521739	492.55	11.42909091	93.82082658	2.274761941	20	0.508652233	6.882	1.72359392	20	0.385407317
117	15.2173913	461.05	12.19272727	88.59428593	2.148040229	20	0.480316397	7.8085	1.626189641	20	0.363627058
120	15.86956522	461.25	12.18787879	107.8702345	2.615401217	20	0.584821491	8.002	2.04945017	20	0.45827099
