trialCount,Test,Reference,A,B,answerKey,userAnswer,stepSize,rightStreak
1,7.0,3.5,3.5,7.0,3,0,0.3,1
2,6.7,3.5,6.7,3.5,1,0,0.3,1
3,6.4,3.5,3.5,6.4,3,0,0.3,1
4,6.1000000000000005,3.5,3.5,6.1000000000000005,3,0,0.3,1
5,5.800000000000001,3.5,5.800000000000001,3.5,1,0,0.3,1
6,5.500000000000001,3.5,3.5,5.500000000000001,3,0,0.3,1
7,5.200000000000001,3.5,3.5,5.200000000000001,3,0,0.3,1
8,4.900000000000001,3.5,3.5,4.900000000000001,3,0,0.3,1
9,4.600000000000001,3.5,3.5,4.600000000000001,3,1,0.5466472303206997,0
10,5.600000000000001,3.5,5.600000000000001,3.5,1,0,0,1
