nSubject,avgMin2,avgMin1,avgMax2,avgMax1,Elbow length,Halfway point ,circumfrence,Stiffness1,Stiffness2,StiffnessTotal,Stiffness2.5N,Stiffness4N
3,0.15,0.18,6.26,11.22,10,5,8.25,0.57,1.18,0.93,0.57,1.18
4,0.13,0.24,4.76,10.84,10.5,5.25,10,0.85,1.20,0.99,0.85,0.85
5,0.13,0.18,5.59,10.78,10.5,5.25,7,1.02,1.42,1.30,1.02,1.42
6,0.455,1.17,12.88,17.43,10,5,7.25,0.68,1.45,1.08,0.68,0.68
7,0.32,0.29,4.97,8.32,10,5,7.5,0.61,0.98,0.84,0.61,0.98
8,0.13,0.32,5.39,7.47,11.5,5.75,11.25,0.59,0.99,0.72,0.59,0.59
9,0.18,0.18,10.55,16.55,11.5,5.75,12.5,0.72,1.34,1.09,0.72,0.72
10,0.14,0.23,2.20,10.14,10.5,5.25,9,0.64,1.28,0.93,0.64,1.28
11,0.06,0.29,11.38,17.29,11.5,5.75,9.75,0.72,1.57,1.12,0.72,0.72
12,0.22,0.23,10.32,13.16,10,5,9.25,0.50,1.38,0.94,0.50,1.38
