nSubject,Min1_2,Min2_2,Min3_2,avgMin2,Min1_1,Min2_1,Min3_1,avgMin1,Max1_2,Max2_2,Max3_2,avgMax2,Max1_1,Max2_1,Max3_1,avgMax1
3,0.135,0.09,0.22,0.15,0.09,0.26,0.18,0.18,6.945,5.58,6.245,6.26,12.04,11.16,10.46,11.22
4,0.045,0.135,0.22,0.13,0.18,0.44,0.09,0.24,4.88,5.19,4.22,4.76,9.14,12.13,11.25,10.84
5,0.09,0.13,0.175,0.13,0.18,0.35,0,0.18,5.86,5.685,5.21,5.59,14.5,9.14,8.7,10.78
6,0.66,0.31,0.395,0.46,1.14,1.23,1.14,1.17,13.36,12.79,12.48,12.88,18.98,16.52,16.79,17.43
7,0.26,0.44,0.26,0.32,0,0.35,0.53,0.29,4.44,4.66,5.8,4.97,7.82,8.26,8.88,8.32
8,0.22,0.135,0.045,0.13,0.35,0.26,0.35,0.32,4.44,5.58,6.155,5.39,9.58,6.24,6.6,7.47
9,0.22,0.135,0.18,0.18,0.18,0.26,0.09,0.18,10.415,10.675,10.545,10.55,16.61,16.17,16.88,16.55
10,0.09,0.135,0.18,0.14,0.35,0.26,0.09,0.23,2.81,1.715,2.065,2.20,9.67,9.05,11.69,10.14
11,0.09,0.045,0.045,0.06,0.44,0.18,0.26,0.29,14.325,9.01,10.81,11.38,18.37,18.02,15.47,17.29
12,0.175,0.265,0.22,0.22,0.35,0.09,0.26,0.23,10.99,10.11,9.87,10.32,13.36,13.01,13.1,13.16
