Subject,nPoints,Ref,JND
3,0,0,0.44
3,1,0,0.22
3,0,1,0.75
3,1,1,0.24
4,0,0,0.75
4,1,0,0.21
4,0,1,0.87
4,1,1,1.5
5,0,0,0.57
5,1,0,0.82
5,0,1,0.75
5,1,1,0.53
6,0,0,1.13
6,1,0,1.05
6,0,1,1.21
6,1,1,0.79
7,0,0,0.6
7,1,0,0.59
7,0,1,0.66
7,1,1,0.85
8,0,0,1.37
8,1,0,1.13
8,0,1,1.53
8,1,1,1.68
9,0,0,0.71
9,1,0,0.81
9,0,1,1.1
9,1,1,0.94
10,0,0,0.84
10,1,0,0.38
10,0,1,1.25
10,1,1,1.23
11,0,0,0.76
11,1,0,0.75
11,0,1,1.48
11,1,1,1.04
12,0,0,1.06
12,1,0,1.09
12,0,1,1.41
12,1,1,1.15
