trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,9.96,2.75,2.75,9.96,3,3,0,1,1,0
1,9.96,2.75,2.75,9.96,3,3,0,1,2,0
2,7.38,2.75,7.38,2.75,1,1,0,1,3,0
3,7.38,2.75,7.38,2.75,1,1,0,1,4,0
4,5.47,2.75,2.75,5.47,3,3,0,1,5,0
5,5.47,2.75,2.75,5.47,3,3,0,1,6,0
6,4.05,2.75,4.05,2.75,1,1,0,1,7,0
7,4.05,2.75,4.05,2.75,1,1,0,1,8,0
8,3.0,2.75,2.75,3.0,3,1,1,3,8,1
9,4.05,2.75,4.05,2.75,1,1,1,1,9,1
10,4.05,2.75,4.05,2.75,1,1,1,1,10,1
11,3.56,2.75,2.75,3.56,3,3,1,1,11,1
12,3.56,2.75,2.75,3.56,3,3,1,1,12,1
13,3.13,2.75,2.75,3.13,3,2,1,2,12,2
14,3.13,2.75,2.75,3.13,3,3,1,1,13,2
