time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
253,22.77,30.83,255.00,0
257,111.61,124.81,255.00,0
255,208.98,218.65,255.00,0
255,264.36,267.83,255.00,0
256,275.96,275.42,255.00,0
256,266.83,265.38,255.00,0
256,252.82,252.73,256.00,0
259,253.44,253.65,256.00,0
254,255.41,255.64,256.00,0
259,256.61,256.66,256.00,0
259,256.78,256.78,256.00,0
259,256.85,256.89,256.00,0
259,257.26,257.30,256.00,0
259,257.47,257.47,256.00,0
256,257.45,257.42,257.00,0
257,257.00,256.91,257.00,0
256,256.38,256.32,257.00,0
256,255.92,255.86,257.00,0
256,255.62,255.62,256.00,0
258,255.76,255.81,257.00,0
258,256.31,256.38,257.00,0
255,256.54,256.50,256.00,0
255,255.71,255.54,256.00,0
255,254.50,254.39,256.00,0
252,254.01,254.01,256.00,0
255,253.91,253.89,255.00,0
253,253.89,253.90,255.00,0
252,253.97,253.99,255.00,0
255,254.11,254.14,255.00,0
253,254.38,254.41,255.00,0
255,254.33,254.30,255.00,0
253,254.21,254.22,254.00,0
252,254.26,254.25,254.00,0
252,254.12,254.10,254.00,0
255,253.92,253.90,254.00,0
251,253.72,253.64,254.00,0
256,252.59,252.65,254.00,0
256,253.57,253.75,254.00,0
256,255.01,255.17,254.00,0
255,255.98,256.03,254.00,0
118593,0.00,0.00,254.00,0,0
118624,0.00,0.00,254.00,0,0,0
118654,0.00,0.09,255.00,0,0
118685,0.00,0.09,255.00,0,0,0
118716,0.00,0.09,255.00,0,0
118747,0.00,0.09,255.00,0,0
118778,0.00,0.09,255.00,0,0
118809,0.00,0.09,255.00,0,0
118840,0.00,0.09,255.00,0,0
118871,0.00,0.18,256.00,0,0
118902,0.00,0.18,256.00,0,0
118933,0.00,0.18,256.00,0,0
118963,0.00,0.18,256.00,0,0
118994,0.00,0.18,256.00,0,0
119025,0.00,0.18,256.00,0,1
119056,0.00,0.18,256.00,0,0
119087,0.00,0.26,257.00,0,0,0
119118,0.00,0.26,257.00,0,0
119149,0.00,0.26,257.00,0,0
119180,0.00,0.26,257.00,0,1
119211,0.00,0.26,257.00,0,0
119242,0.00,0.26,257.00,0,1
119273,0.00,0.26,257.00,0,0
119304,0.00,0.35,258.00,0,0
119335,0.00,0.35,258.00,0,0
119365,0.00,0.35,258.00,0,1
119396,0.00,0.35,258.00,0,0
119427,0.00,0.35,258.00,0,1
119458,0.00,0.35,258.00,0,0
119489,0.00,0.44,259.00,0,0
119520,0.00,0.44,259.00,0,0
119551,0.00,0.44,259.00,0,0,0
119582,0.00,0.44,259.00,0,0
119613,0.00,0.44,259.00,0,0
119644,0.00,0.44,259.00,0,1
119675,0.00,0.44,259.00,0,0
119706,0.00,0.44,259.00,0,0
119736,0.00,0.44,259.00,0,0
119767,0.00,0.44,259.00,0,1
119798,0.00,0.44,259.00,0,0
119829,0.00,0.44,259.00,0,0
119860,0.00,0.44,259.00,0,1
119891,0.00,0.53,260.00,0,0
119922,0.00,0.53,260.00,0,0
119953,0.00,0.53,260.00,0,0,0
119984,0.00,0.53,260.00,0,0
120015,0.00,0.53,260.00,0,0
120046,0.00,0.53,260.00,0,0
120077,0.00,0.53,260.00,0,0
120108,0.00,0.53,260.00,0,0
120138,0.00,0.53,260.00,0,0
120169,0.00,0.53,260.00,0,1
120200,0.00,0.53,260.00,0,0
120231,0.00,0.53,260.00,0,1
120262,0.00,0.53,260.00,0,0
120293,0.00,0.53,260.00,0,1
120324,0.00,0.53,260.00,0,0
120355,0.00,0.53,260.00,0,1
120386,0.00,0.53,260.00,0,1
120417,0.00,0.53,260.00,0,0,0
120448,0.00,0.53,260.00,0,0
120479,0.00,0.53,260.00,0,0
120509,0.00,0.53,260.00,0,0
120540,0.00,0.53,260.00,0,0
120571,0.00,0.53,260.00,0,0
120602,0.00,0.53,260.00,0,0
120633,0.00,0.53,260.00,0,0
120664,0.00,0.53,260.00,0,1
120695,0.00,0.53,260.00,0,0
120726,0.00,0.53,260.00,0,1
120757,0.00,0.53,260.00,0,1
120788,0.00,0.53,260.00,0,0
120819,0.00,0.53,260.00,0,0
120850,0.00,0.53,260.00,0,0
120881,0.00,0.53,260.00,0,1,0
120911,0.00,0.53,260.00,0,0
120942,0.00,0.53,260.00,0,1
120973,0.00,0.53,260.00,0,0
121004,0.00,0.53,260.00,0,0
121035,0.00,0.53,260.00,0,1
121066,0.00,0.53,260.00,0,0
121097,0.00,0.53,260.00,0,1
121128,0.00,0.44,259.00,0,0
121159,0.00,0.44,259.00,0,0
121190,0.00,0.44,259.00,0,0
121221,0.00,0.44,259.00,0,0
121252,0.00,0.44,259.00,0,0
121282,0.00,0.44,259.00,0,0,0
121313,0.00,0.44,259.00,0,0
121344,0.00,0.44,259.00,0,0,0
121375,0.00,0.44,259.00,0,0
121406,0.00,0.44,259.00,0,1
121437,0.00,0.44,259.00,0,1
121468,0.00,0.44,259.00,0,0
121499,0.00,0.44,259.00,0,0
121530,0.00,0.44,259.00,0,0
121561,0.00,0.44,259.00,0,0
121592,0.00,0.44,259.00,0,1
121623,0.00,0.44,259.00,0,0
121654,0.00,0.44,259.00,0,0
121684,0.00,0.44,259.00,0,1
121715,0.00,0.44,259.00,0,0
121746,0.00,0.44,259.00,0,0,0
121777,0.00,0.44,259.00,0,0
121808,0.00,0.44,259.00,0,0
121839,0.00,0.44,259.00,0,0
121870,0.00,0.44,259.00,0,0
121901,0.00,0.44,259.00,0,0
121932,0.00,0.44,259.00,0,0
121963,0.00,0.44,259.00,0,0
121994,0.00,0.44,259.00,0,0
122025,0.00,0.44,259.00,0,0
122056,0.00,0.44,259.00,0,0
122086,0.00,0.44,259.00,0,0
122117,0.00,0.44,259.00,0,0
122148,0.00,0.44,259.00,0,0
122179,0.00,0.44,259.00,0,1
122210,0.00,0.44,259.00,0,0,0
122241,0.00,0.44,259.00,0,1
122272,0.00,0.44,259.00,0,0
122303,0.00,0.35,258.00,0,1
122334,0.00,0.35,258.00,0,0
122365,0.00,0.35,258.00,0,0
122396,0.00,0.35,258.00,0,0
122427,0.00,0.35,258.00,0,0
122457,0.00,0.35,258.00,0,0
122488,0.00,0.35,258.00,0,0
122519,0.00,0.35,258.00,0,0
122550,0.00,0.35,258.00,0,0
122581,0.00,0.35,258.00,0,0
122612,0.00,0.35,258.00,0,0,0
122643,0.00,0.35,258.00,0,1
122674,0.00,0.35,258.00,0,1
