time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.73,30.78,254.00,0
256,111.64,124.87,256.00,0
256,209.28,218.99,256.00,0
256,264.97,268.49,256.00,0
256,276.93,276.42,256.00,0
256,267.68,266.14,256.00,0
256,256.97,256.03,256.00,0
252,252.38,252.21,256.00,0
255,252.40,252.54,256.00,0
255,253.80,253.99,256.00,0
252,254.93,255.01,255.00,0
256,255.15,255.15,255.00,0
256,255.20,255.23,256.00,0
256,255.51,255.55,256.00,0
256,255.84,255.88,256.00,0
258,256.08,256.11,256.00,0
256,256.37,256.39,256.00,0
256,256.48,256.48,256.00,0
256,256.45,256.43,256.00,0
256,256.27,256.25,256.00,0
255,256.15,256.14,256.00,0
255,255.96,255.91,256.00,0
258,255.60,255.57,256.00,0
256,255.77,255.85,256.00,0
258,256.43,256.50,256.00,0
256,256.90,256.93,256.00,0
256,256.86,256.82,256.00,0
256,256.47,256.42,256.00,0
257,256.17,256.14,256.00,0
256,256.11,256.13,256.00,0
256,256.33,256.34,256.00,0
256,256.35,256.34,256.00,0
256,256.20,256.18,256.00,0
252,255.81,255.70,256.00,0
255,254.63,254.48,256.00,0
253,253.83,253.80,256.00,0
252,253.78,253.79,255.00,0
255,253.74,253.71,255.00,0
255,253.58,253.57,255.00,0
252,253.70,253.75,255.00,0
252,253.95,253.94,255.00,0
253,253.64,253.58,254.00,0
21147,0.00,0.00,254.00,0,0
21178,0.00,0.00,254.00,0,0,0
21209,0.00,0.00,254.00,0,0
21240,0.00,0.00,254.00,0,0,0
21271,0.00,0.00,254.00,0,0
21301,0.00,0.00,254.00,0,0,0
21332,0.00,0.00,254.00,0,0
21363,0.00,0.00,254.00,0,0
21394,0.00,0.00,254.00,0,0
21425,0.00,0.00,254.00,0,0
21455,0.00,0.00,254.00,0,0
21486,0.00,0.00,254.00,0,0
21517,0.00,0.00,254.00,0,0
21548,0.00,0.00,254.00,0,0
21579,0.00,0.00,254.00,0,0
21609,0.00,0.00,254.00,0,0
21640,0.00,0.00,254.00,0,0
21671,0.00,0.00,254.00,0,0
21702,0.00,0.00,254.00,0,0,0
21733,0.00,0.00,254.00,0,0
21763,0.00,0.00,254.00,0,0,0
21794,0.00,0.00,254.00,0,0
21825,0.00,0.00,254.00,0,0,0
21856,0.00,0.00,254.00,0,0
21887,0.00,0.00,254.00,0,0
21917,0.00,0.00,254.00,0,0
21948,0.00,0.00,254.00,0,0
21979,0.00,0.00,254.00,0,0
22010,0.00,0.00,254.00,0,0
22041,0.00,0.00,254.00,0,0
22071,0.00,0.00,254.00,0,0
22102,0.00,0.00,254.00,0,0
22133,0.00,0.00,254.00,0,0
22164,0.00,0.00,254.00,0,0
22195,0.00,0.00,254.00,0,0
22225,0.00,0.00,254.00,0,0,0
22256,0.00,0.00,254.00,0,0
22287,0.00,0.00,254.00,0,0,0
22318,0.00,0.00,254.00,0,0
22349,0.00,0.00,254.00,0,0,0
22379,0.00,0.00,254.00,0,0
22410,0.00,0.00,254.00,0,0
22441,0.00,0.00,254.00,0,0
22472,0.00,0.00,254.00,0,0
22503,0.00,0.00,254.00,0,0
22533,0.00,0.00,254.00,0,0
22564,0.00,0.00,254.00,0,0
22595,0.00,0.00,254.00,0,0
22626,0.00,0.00,254.00,0,0
22657,0.00,0.00,254.00,0,0
22687,0.00,0.00,254.00,0,0
22718,0.00,0.00,254.00,0,0
22749,0.00,0.00,254.00,0,0
22780,0.00,0.00,254.00,0,0
22811,0.00,0.00,254.00,0,0,0
22842,0.00,0.00,254.00,0,0
22872,0.00,0.00,254.00,0,0,0
22903,0.00,0.00,254.00,0,0
22934,0.00,0.00,254.00,0,0
22965,0.00,0.00,254.00,0,0
22996,0.00,0.00,254.00,0,0
23027,0.00,0.00,254.00,0,0
23058,0.00,0.00,254.00,0,0
23089,0.00,0.00,254.00,0,0
23120,0.00,0.00,254.00,0,0
23150,0.00,0.00,254.00,0,0
23181,0.00,0.00,254.00,0,0
23212,0.00,0.00,254.00,0,0
23243,0.00,0.00,254.00,0,0
23274,0.00,0.00,254.00,0,0,0
23305,0.00,0.00,254.00,0,0
23336,0.00,0.00,254.00,0,0,0
23367,0.00,0.00,254.00,0,0
23397,0.00,0.00,254.00,0,0
23428,0.00,0.00,254.00,0,0
23459,0.00,0.00,254.00,0,0
23490,0.00,0.00,254.00,0,0
23521,0.00,0.00,254.00,0,0
23552,0.00,0.00,254.00,0,0
23583,0.00,0.00,254.00,0,0
23613,0.00,0.00,254.00,0,0
23644,0.00,0.00,254.00,0,0
23675,0.00,0.00,254.00,0,0
23706,0.00,0.00,254.00,0,0
23737,0.00,0.00,254.00,0,0,0
23768,0.00,0.00,254.00,0,0
23799,0.00,0.00,254.00,0,0,0
23830,0.00,0.00,254.00,0,0
23861,0.00,0.00,254.00,0,0
23892,0.00,0.00,254.00,0,0
23922,0.00,0.00,254.00,0,0
23953,0.00,0.00,254.00,0,0
23984,0.00,0.00,254.00,0,0
24015,0.00,0.00,254.00,0,0
24046,0.00,0.00,254.00,0,0
24077,0.00,0.00,254.00,0,0
24108,0.00,0.00,254.00,0,0
24138,0.00,0.00,254.00,0,0
24169,0.00,0.00,254.00,0,0
24200,0.00,0.00,254.00,0,0,0
24231,0.00,0.00,254.00,0,0
24262,0.00,0.00,254.00,0,0,0
24293,0.00,0.00,254.00,0,0
24324,0.00,0.00,254.00,0,0
24355,0.00,0.00,254.00,0,0
24386,0.00,0.00,254.00,0,0
24416,0.00,0.00,254.00,0,0
24447,0.00,0.00,254.00,0,0
24478,0.00,0.00,254.00,0,0
24509,0.00,0.00,254.00,0,0
24540,0.00,0.00,254.00,0,0
24571,0.00,0.00,254.00,0,0
24602,0.00,0.00,254.00,0,0
24633,0.00,0.00,254.00,0,0
24664,0.00,0.00,254.00,0,0,0
24694,0.00,0.00,254.00,0,0
24725,0.00,0.00,254.00,0,0,0
24756,0.00,0.00,254.00,0,0
24787,0.00,0.00,254.00,0,0
24818,0.00,0.00,254.00,0,0
24849,0.00,0.00,254.00,0,0
24879,0.00,0.00,254.00,0,0
24910,0.00,0.00,254.00,0,0
24941,0.00,0.00,254.00,0,0
24972,0.00,0.00,254.00,0,0
25003,0.00,0.00,254.00,0,0
25034,0.00,0.00,254.00,0,0
25065,0.00,0.00,254.00,0,0
25096,0.00,0.00,254.00,0,0
25126,0.00,0.00,254.00,0,0,0
25157,0.00,0.00,254.00,0,0
25188,0.00,0.00,254.00,0,0,0
25219,0.00,0.00,254.00,0,0
25250,0.00,0.00,254.00,0,0
25281,0.00,0.00,254.00,0,0
25312,0.00,0.00,254.00,0,0
25343,0.00,0.00,254.00,0,0
25374,0.00,0.00,254.00,0,0
25404,0.00,0.00,254.00,0,0
25435,0.00,0.00,254.00,0,0
25466,0.00,0.00,254.00,0,0
25497,0.00,0.00,254.00,0,0
25528,0.00,0.00,254.00,0,0
25559,0.00,0.00,254.00,0,0
25590,0.00,0.00,254.00,0,0
25621,0.00,0.00,254.00,0,0
25651,0.00,0.00,254.00,0,0,0
25682,0.00,0.00,254.00,0,0
25713,0.00,0.00,254.00,0,0
25744,0.00,0.00,254.00,0,0
25775,0.00,0.00,254.00,0,0
25806,0.00,0.00,254.00,0,0
25837,0.00,0.00,254.00,0,0
25868,0.00,0.00,254.00,0,0
25899,0.00,0.00,254.00,0,0
25929,0.00,0.00,254.00,0,0
25960,0.00,0.00,254.00,0,0
25991,0.00,0.00,254.00,0,0
26022,0.00,0.00,254.00,0,0
26053,0.00,0.00,254.00,0,0,0
26084,0.00,0.00,254.00,0,0
26114,0.00,0.00,254.00,0,0,0
26145,0.00,0.00,254.00,0,0
26176,0.00,0.00,254.00,0,0
26207,0.00,0.00,254.00,0,0
26238,0.00,0.00,254.00,0,0
26269,0.00,0.00,254.00,0,0
26300,0.00,0.00,254.00,0,0
26330,0.00,0.00,254.00,0,0
26361,0.00,0.00,254.00,0,0
26392,0.00,0.00,254.00,0,0
26423,0.00,0.00,254.00,0,0
26454,0.00,0.00,254.00,0,0
26485,0.00,0.00,254.00,0,0
26516,0.00,0.00,254.00,0,0,0
26547,0.00,0.00,254.00,0,0
26578,0.00,0.00,254.00,0,0
26608,0.00,0.00,254.00,0,0
26639,0.00,0.00,254.00,0,0
26670,0.00,0.00,254.00,0,0
26701,0.00,0.00,254.00,0,0
26732,0.00,0.00,254.00,0,0
26763,0.00,0.00,254.00,0,0
26794,0.00,0.00,254.00,0,0
26825,0.00,0.00,254.00,0,0
26855,0.00,0.00,254.00,0,0
26886,0.00,0.00,254.00,0,0
26917,0.00,0.00,254.00,0,0
26948,0.00,0.00,254.00,0,0
26979,0.00,0.00,254.00,0,0,0
27010,0.00,0.00,254.00,0,0
27041,0.00,0.00,254.00,0,0,0
27072,0.00,0.00,254.00,0,0
