time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
72793,0.00,0.05,253.56,0,0,0
72849,0.00,0.05,253.60,0,6,0
72905,0.00,0.06,253.63,0,6,0
72961,0.00,0.06,253.65,0,6,0
73017,0.00,0.06,253.67,0,6
73072,0.00,0.06,253.69,0,6,0
73128,0.00,0.06,253.71,0,6,0
73184,0.00,0.07,253.75,0,6,0
73240,0.00,0.07,253.79,0,6,0
73296,0.00,0.07,253.83,0,6,0
73351,0.00,0.08,253.88,0,6,0
73407,0.00,0.08,253.94,0,6,0
73463,0.00,0.09,254.02,0,6,0
73519,0.00,0.10,254.10,0,6,0
73575,0.00,0.11,254.20,0,6,0
73630,0.00,0.11,254.30,0,6,0
73686,0.00,0.12,254.41,0,6,0
73742,0.00,0.13,254.53,0,6,0
73798,0.00,0.15,254.65,0,6,0
73854,0.00,0.16,254.77,0,6,0
73910,0.00,0.17,254.89,0,6,0
73965,0.00,0.17,254.99,0,6,0
74021,0.00,0.18,255.07,0,7,0
74077,0.00,0.19,255.14,0,6,0
74133,0.00,0.19,255.18,0,6,0
74189,0.00,0.19,255.19,0,6,0
74244,0.00,0.19,255.19,0,6
74300,0.00,0.19,255.17,0,6,0
74356,0.00,0.19,255.13,0,6,0
74412,0.00,0.18,255.08,0,6,0
74468,0.00,0.18,255.01,0,6,0
74524,0.00,0.17,254.94,0,6,0
74579,0.00,0.16,254.87,0,6,0
74635,0.00,0.16,254.79,0,7,0
74691,0.00,0.15,254.71,0,6,0
74747,0.00,0.14,254.63,0,6,0
74803,0.00,0.14,254.56,0,6,0
74858,0.00,0.13,254.49,0,6,0
74914,0.00,0.13,254.43,0,6,0
74970,0.00,0.12,254.37,0,6
75026,0.00,0.12,254.31,0,6,0
75082,0.00,0.11,254.25,0,6,0
75138,0.00,0.11,254.20,0,6,0
75193,0.00,0.10,254.16,0,6
75249,0.00,0.10,254.13,0,6,0
75305,0.00,0.10,254.11,0,6,0
75361,0.00,0.10,254.11,0,6,0
75417,0.00,0.10,254.12,0,6,0
75472,0.00,0.10,254.15,0,6,0
75528,0.00,0.11,254.20,0,6,0
