trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,2.37,5.78,2.37,5.78,3,3,0,1,1,0
1,3.76,5.78,5.78,3.76,1,1,0,1,2,0
2,5.96,5.78,5.78,5.96,3,2,0,2,2,1
3,5.96,5.78,5.96,5.78,1,2,0,2,2,2
4,9.45,5.78,9.45,5.78,1,1,1,3,3,2
5,5.96,5.78,5.78,5.96,3,2,1,2,3,3
6,11.19,5.78,5.78,11.19,3,3,2,3,4,3
7,5.96,5.78,5.96,5.78,1,1,3,3,5,3
8,5.96,5.78,5.96,5.78,1,2,3,2,5,4
9,6.31,5.78,6.31,5.78,1,2,3,2,5,5
10,6.31,5.78,6.31,5.78,1,1,4,3,6,5
11,5.96,5.78,5.96,5.78,1,1,5,3,7,5
12,5.96,5.78,5.78,5.96,3,2,5,2,7,6
