time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.65,30.66,254.00,0
252,111.06,124.16,253.00,0
255,207.55,217.15,254.00,0
252,262.61,266.06,253.00,0
252,273.97,273.38,253.00,0
255,264.15,262.59,253.00,0
255,253.69,252.86,253.00,0
254,250.16,250.14,254.00,0
255,251.40,251.69,254.00,0
255,253.79,254.05,254.00,0
253,255.16,255.20,254.00,0
255,254.79,254.65,254.00,0
255,253.79,253.72,254.00,0
255,253.71,253.76,254.00,0
254,254.26,254.32,254.00,0
255,254.38,254.37,254.00,0
255,254.22,254.20,254.00,0
255,254.25,254.28,254.00,0
255,254.56,254.60,254.00,0
255,254.81,254.84,254.00,0
255,254.95,254.96,254.00,0
255,255.01,255.01,254.00,0
253,254.98,254.96,254.00,0
253,254.59,254.53,255.00,0
252,254.18,254.16,255.00,0
253,253.90,253.83,254.00,0
255,253.28,253.22,254.00,0
252,253.07,253.06,254.00,0
252,253.00,253.01,254.00,0
255,253.05,253.07,254.00,0
255,253.48,253.55,254.00,0
255,254.06,254.13,254.00,0
255,254.59,254.65,254.00,0
255,254.89,254.89,254.00,0
253,254.75,254.72,254.00,0
255,254.37,254.29,254.00,0
255,253.77,253.71,254.00,0
255,253.62,253.65,254.00,0
255,254.06,254.13,254.00,0
253,254.66,254.72,254.00,0
253,254.81,254.76,254.00,0
255,254.21,254.15,254.00,0
149130,0.00,0.00,254.00,0,3
149161,0.00,0.00,254.00,0,2
149192,0.00,0.00,254.00,0,2
149223,0.00,0.00,254.00,0,2
149253,0.00,0.00,254.00,0,2
149284,0.00,0.00,254.00,0,3
149315,0.00,0.00,254.00,0,2
149346,0.00,0.00,254.00,0,2
149377,0.00,0.00,254.00,0,3
149408,0.00,0.00,254.00,0,2
149438,0.00,0.00,254.00,0,2
149469,0.00,0.00,254.00,0,2
149500,0.00,0.00,254.00,0,2
149531,0.00,0.00,254.00,0,3
149562,0.00,0.00,254.00,0,2,0
149593,0.00,0.00,254.00,0,2
149623,0.00,0.00,254.00,0,2,0
149654,0.00,0.00,254.00,0,2
149685,0.00,0.00,254.00,0,2
149716,0.00,0.00,254.00,0,2
149747,0.00,0.00,254.00,0,3
149778,0.00,0.00,254.00,0,2
149808,0.00,0.00,254.00,0,2
149839,0.00,0.00,254.00,0,2
149870,0.00,0.00,254.00,0,2
149901,0.00,0.00,254.00,0,3
149932,0.00,0.00,254.00,0,2
149963,0.00,0.00,254.00,0,2
149994,0.00,0.00,254.00,0,3
150024,0.00,0.00,254.00,0,2
150055,0.00,0.00,254.00,0,3
150086,0.00,0.00,254.00,0,2,0
150117,0.00,0.00,254.00,0,2
150148,0.00,0.00,254.00,0,2
150179,0.00,0.00,254.00,0,3
150209,0.00,0.00,254.00,0,2
150240,0.00,0.00,254.00,0,2
150271,0.00,0.00,254.00,0,2
