time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.80,30.86,255.00,0
254,111.53,124.69,255.00,0
255,208.43,218.06,255.00,0
255,263.64,267.13,255.00,0
255,275.44,274.94,255.00,0
255,266.32,264.81,255.00,0
255,255.84,254.92,255.00,0
255,251.42,251.28,255.00,0
256,251.99,252.25,255.00,0
256,254.33,254.61,255.00,0
254,256.07,256.20,255.00,0
255,256.44,256.40,255.00,0
255,255.84,255.75,255.00,0
255,255.05,254.95,255.00,0
254,254.39,254.34,255.00,0
255,254.16,254.16,255.00,0
258,254.27,254.29,255.00,0
256,254.79,254.89,255.00,0
252,255.62,255.70,255.00,0
255,255.71,255.65,255.00,0
255,255.09,255.01,255.00,0
255,254.65,254.61,255.00,0
254,254.29,254.24,255.00,0
255,253.98,253.96,255.00,0
255,254.05,254.09,255.00,0
255,254.47,254.53,255.00,0
254,254.88,254.92,255.00,0
255,255.02,255.02,255.00,0
255,254.99,254.99,255.00,0
255,254.96,254.96,255.00,0
252,254.95,254.94,255.00,0
255,254.55,254.46,255.00,0
255,254.03,254.01,255.00,0
255,254.16,254.21,255.00,0
252,254.62,254.67,255.00,0
254,254.79,254.77,255.00,0
252,254.40,254.31,254.00,0
255,253.54,253.44,254.00,0
255,253.14,253.16,254.00,0
255,253.69,253.80,254.00,0
255,254.53,254.62,254.00,0
254,254.99,254.99,254.00,0
99825,0.00,0.00,254.00,0,3
99856,0.00,0.00,254.00,0,2
99886,0.00,0.00,254.00,0,2
99917,0.00,0.00,254.00,0,2
99948,0.00,0.00,254.00,0,2
99979,0.00,0.00,254.00,0,2
100010,0.00,0.00,254.00,0,2
100041,0.00,0.00,254.00,0,2
100072,0.00,0.00,254.00,0,2
100103,0.00,0.00,254.00,0,2
100134,0.00,0.00,254.00,0,3
100164,0.00,0.00,254.00,0,2,0
100195,0.00,0.00,254.00,0,2
100226,0.00,0.00,254.00,0,2,0
100257,0.00,0.00,254.00,0,2
100288,0.00,0.00,254.00,0,2
100319,0.00,0.00,254.00,0,2
100350,0.00,0.00,254.00,0,2
100381,0.00,0.00,254.00,0,3
100412,0.00,0.00,254.00,0,2
100443,0.00,0.00,254.00,0,2
100473,0.00,0.00,254.00,0,2
100504,0.00,0.00,254.00,0,2
100535,0.00,0.00,254.00,0,2
100566,0.00,0.00,254.00,0,3
100597,0.00,0.00,254.00,0,2
100628,0.00,0.09,255.00,0,2,0
100659,0.00,0.09,255.00,0,2
100690,0.00,0.09,255.00,0,2
100721,0.00,0.09,255.00,0,2
100751,0.00,0.09,255.00,0,3
100782,0.00,0.09,255.00,0,2
100813,0.00,0.09,255.00,0,2
100844,0.00,0.09,255.00,0,2
100875,0.00,0.09,255.00,0,3
100906,0.00,0.09,255.00,0,2
100937,0.00,0.09,255.00,0,3
100968,0.00,0.09,255.00,0,2
100999,0.00,0.09,255.00,0,2
101030,0.00,0.09,255.00,0,2
101060,0.00,0.09,255.00,0,2
101091,0.00,0.09,255.00,0,2,0
101122,0.00,0.09,255.00,0,2
101153,0.00,0.09,255.00,0,2
101184,0.00,0.09,255.00,0,2
101215,0.00,0.09,255.00,0,2
101246,0.00,0.09,255.00,0,3
101277,0.00,0.09,255.00,0,2
101308,0.00,0.09,255.00,0,2
101339,0.00,0.09,255.00,0,2
101369,0.00,0.09,255.00,0,3
101400,0.00,0.09,255.00,0,3
101431,0.00,0.09,255.00,0,2
101462,0.00,0.09,255.00,0,2
101493,0.00,0.09,255.00,0,3
101524,0.00,0.09,255.00,0,2
101555,0.00,0.09,255.00,0,2,0
101586,0.00,0.09,255.00,0,2
101617,0.00,0.09,255.00,0,2
101647,0.00,0.09,255.00,0,2
101678,0.00,0.09,255.00,0,2
101709,0.00,0.09,255.00,0,2
101740,0.00,0.09,255.00,0,2
101771,0.00,0.09,255.00,0,2
101802,0.00,0.09,255.00,0,2
101833,0.00,0.09,255.00,0,2
101864,0.00,0.09,255.00,0,2
101895,0.00,0.09,255.00,0,2
101926,0.00,0.09,255.00,0,2
101956,0.00,0.09,255.00,0,3
101987,0.00,0.09,255.00,0,3
102018,0.00,0.09,255.00,0,2,0
102049,0.00,0.09,255.00,0,3
102080,0.00,0.09,255.00,0,3
102111,0.00,0.09,255.00,0,2
102142,0.00,0.09,255.00,0,2
102173,0.00,0.09,255.00,0,2
102204,0.00,0.09,255.00,0,2
102235,0.00,0.09,255.00,0,2
102265,0.00,0.09,255.00,0,2
102296,0.00,0.09,255.00,0,2
102327,0.00,0.09,255.00,0,3
102358,0.00,0.09,255.00,0,2
102389,0.00,0.09,255.00,0,2
102420,0.00,0.09,255.00,0,2
102451,0.00,0.09,255.00,0,2
102482,0.00,0.09,255.00,0,2,0
102513,0.00,0.09,255.00,0,2
102544,0.00,0.09,255.00,0,2
102574,0.00,0.09,255.00,0,2
102605,0.00,0.09,255.00,0,2
102636,0.00,0.09,255.00,0,3
102667,0.00,0.09,255.00,0,2
102698,0.00,0.09,255.00,0,2
102729,0.00,0.09,255.00,0,2
102760,0.00,0.09,255.00,0,2
102791,0.00,0.09,255.00,0,2
102822,0.00,0.09,255.00,0,2
102852,0.00,0.09,255.00,0,2
102883,0.00,0.09,255.00,0,2
102914,0.00,0.09,255.00,0,2
102945,0.00,0.09,255.00,0,2,0
102976,0.00,0.09,255.00,0,3
103007,0.00,0.09,255.00,0,2
103038,0.00,0.09,255.00,0,2
103069,0.00,0.09,255.00,0,2
103100,0.00,0.09,255.00,0,2
103131,0.00,0.00,254.00,0,2
103161,0.00,0.00,254.00,0,2
103192,0.00,0.00,254.00,0,2
103223,0.00,0.00,254.00,0,2
103254,0.00,0.00,254.00,0,3
103285,0.00,0.00,254.00,0,2
103316,0.00,0.00,254.00,0,3
103347,0.00,0.00,254.00,0,2,0
103378,0.00,0.00,254.00,0,2
103409,0.00,0.09,255.00,0,2,0
103440,0.00,0.09,255.00,0,3
