time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.68,30.68,253.00,0
252,110.73,123.77,253.00,0
252,206.68,216.20,253.00,0
253,261.09,264.50,252.00,0
255,272.73,272.29,253.00,0
255,264.43,263.06,253.00,0
254,255.01,254.20,253.00,0
255,250.96,250.79,253.00,0
255,251.12,251.32,253.00,0
255,253.13,253.39,254.00,0
252,254.77,254.86,254.00,0
255,254.76,254.67,254.00,0
255,253.88,253.79,254.00,0
255,253.55,253.58,254.00,0
255,253.91,253.94,254.00,0
255,254.05,254.02,254.00,0
252,253.89,253.90,254.00,0
254,253.79,253.74,254.00,0
253,253.46,253.46,254.00,0
255,253.66,253.72,254.00,0
253,254.24,254.32,254.00,0
252,254.55,254.53,254.00,0
255,254.04,253.95,254.00,0
255,253.62,253.62,254.00,0
255,253.83,253.86,254.00,0
255,254.13,254.18,254.00,0
252,254.48,254.49,254.00,0
255,254.15,254.09,254.00,0
255,253.70,253.66,254.00,0
255,253.62,253.66,254.00,0
255,254.14,254.22,254.00,0
255,254.74,254.80,254.00,0
253,255.02,255.00,254.00,0
255,254.68,254.63,254.00,0
252,254.46,254.44,254.00,0
255,254.20,254.17,254.00,0
253,254.08,254.08,254.00,0
252,254.00,253.99,254.00,0
255,253.82,253.77,254.00,0
252,253.63,253.65,254.00,0
255,253.82,253.86,254.00,0
255,254.23,254.29,254.00,0
34262,0.00,0.00,254.00,0,3
34293,0.00,0.00,254.00,0,2
34323,0.00,0.00,254.00,0,3
34354,0.00,0.00,254.00,0,2
34385,0.00,0.00,254.00,0,2
34416,0.00,0.00,254.00,0,3
34447,0.00,0.00,254.00,0,2
34477,0.00,0.00,254.00,0,3
34508,0.00,0.00,254.00,0,3
34539,0.00,0.00,254.00,0,2
34570,0.00,0.00,254.00,0,3
34601,0.00,0.00,254.00,0,3,0
34631,0.00,0.00,254.00,0,2
34662,0.00,0.00,254.00,0,2,0
34693,0.00,0.00,254.00,0,2
34724,0.00,0.00,254.00,0,2,0
34755,0.00,0.00,254.00,0,2
34785,0.00,0.00,254.00,0,3
34816,0.00,0.00,254.00,0,3
34847,0.00,0.00,254.00,0,2
34878,0.00,0.00,254.00,0,2
34909,0.00,0.00,254.00,0,2
34939,0.00,0.00,254.00,0,2
34970,0.00,0.00,254.00,0,3
35001,0.00,0.00,254.00,0,2
35032,0.00,0.00,254.00,0,2
35063,0.00,0.00,254.00,0,3
35093,0.00,0.00,254.00,0,3
35124,0.00,0.00,254.00,0,2,0
35155,0.00,0.00,254.00,0,3
35186,0.00,0.00,254.00,0,3,0
35217,0.00,0.00,254.00,0,3
35247,0.00,0.09,255.00,0,2,0
35278,0.00,0.09,255.00,0,2
35309,0.00,0.09,255.00,0,2
35340,0.00,0.09,255.00,0,2
35371,0.00,0.09,255.00,0,2
35401,0.00,0.09,255.00,0,2
35432,0.00,0.09,255.00,0,2
35463,0.00,0.09,255.00,0,3
35494,0.00,0.09,255.00,0,2
35525,0.00,0.09,255.00,0,2
35555,0.00,0.09,255.00,0,2
35586,0.00,0.09,255.00,0,3
35617,0.00,0.09,255.00,0,2
35648,0.00,0.09,255.00,0,2,0
35679,0.00,0.09,255.00,0,2
35709,0.00,0.09,255.00,0,3,0
35740,0.00,0.09,255.00,0,3
35771,0.00,0.09,255.00,0,3,0
35802,0.00,0.09,255.00,0,2
35833,0.00,0.09,255.00,0,2
35863,0.00,0.09,255.00,0,3
35894,0.00,0.09,255.00,0,3
35925,0.00,0.09,255.00,0,2
35956,0.00,0.09,255.00,0,3
35987,0.00,0.09,255.00,0,3
36018,0.00,0.09,255.00,0,3
36048,0.00,0.09,255.00,0,2
36079,0.00,0.00,254.00,0,3
36110,0.00,0.00,254.00,0,3
36141,0.00,0.09,255.00,0,3
36172,0.00,0.09,255.00,0,2,0
36203,0.00,0.09,255.00,0,3
36234,0.00,0.09,255.00,0,3,0
36265,0.00,0.09,255.00,0,2
36296,0.00,0.09,255.00,0,2
36326,0.00,0.09,255.00,0,3
36357,0.00,0.09,255.00,0,3
36388,0.00,0.09,255.00,0,3
36419,0.00,0.09,255.00,0,2
36450,0.00,0.09,255.00,0,2
36481,0.00,0.09,255.00,0,3
36512,0.00,0.09,255.00,0,3
36543,0.00,0.09,255.00,0,3
36573,0.00,0.09,255.00,0,3
36604,0.00,0.09,255.00,0,3
36635,0.00,0.09,255.00,0,2,0
36666,0.00,0.09,255.00,0,3
36697,0.00,0.09,255.00,0,2,0
36728,0.00,0.09,255.00,0,3
36759,0.00,0.09,255.00,0,2
36790,0.00,0.09,255.00,0,3
