time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.62,30.61,252.00,0
252,110.50,123.52,252.00,0
255,206.43,216.00,253.00,0
252,261.70,265.26,253.00,0
255,274.04,273.58,253.00,0
252,265.12,263.63,253.00,0
252,254.60,253.66,253.00,0
255,249.70,249.49,253.00,0
252,249.88,250.13,253.00,0
253,252.02,252.26,253.00,0
252,253.46,253.55,253.00,0
252,253.72,253.71,253.00,0
252,253.49,253.45,253.00,0
252,253.15,253.11,253.00,0
255,252.82,252.82,253.00,0
252,253.03,253.06,253.00,0
252,252.98,252.94,253.00,0
255,252.79,252.81,253.00,0
252,253.12,253.15,253.00,0
252,253.09,253.05,253.00,0
253,252.87,252.86,253.00,0
254,252.90,252.92,253.00,0
252,253.02,253.01,253.00,0
252,252.79,252.75,253.00,0
255,252.48,252.47,253.00,0
255,252.79,252.86,253.00,0
255,253.43,253.50,253.00,0
255,253.85,253.87,253.00,0
254,253.93,253.95,253.00,0
253,254.11,254.10,253.00,0
255,253.84,253.79,253.00,0
254,253.64,253.64,253.00,0
255,253.65,253.65,253.00,0
255,253.65,253.66,254.00,0
252,253.90,253.96,254.00,0
252,254.17,254.18,254.00,0
252,253.87,253.78,254.00,0
252,253.00,252.89,254.00,0
255,252.24,252.19,253.00,0
255,252.45,252.56,254.00,0
255,253.49,253.59,254.00,0
252,254.07,254.10,253.00,0
63605,0.00,-0.09,253.00,0,2
63636,0.00,-0.09,253.00,0,3
63667,0.00,-0.09,253.00,0,3
63698,0.00,-0.09,253.00,0,3
63729,0.00,-0.09,253.00,0,2
63760,0.00,-0.09,253.00,0,3
63790,0.00,-0.09,253.00,0,2
63821,0.00,-0.09,253.00,0,3
63852,0.00,-0.09,253.00,0,2
63883,0.00,-0.09,253.00,0,2,0
63914,0.00,-0.09,253.00,0,2
63945,0.00,-0.09,253.00,0,2
63976,0.00,-0.09,253.00,0,2
64007,0.00,-0.09,253.00,0,2
64037,0.00,-0.09,253.00,0,2
64068,0.00,-0.09,253.00,0,3
64099,0.00,-0.09,253.00,0,3
64130,0.00,-0.09,253.00,0,3
64161,0.00,-0.09,253.00,0,2
64192,0.00,-0.09,253.00,0,2
64223,0.00,-0.09,253.00,0,2
64254,0.00,-0.09,253.00,0,3
64285,0.00,-0.09,253.00,0,2
64315,0.00,-0.09,253.00,0,2
64346,0.00,-0.09,253.00,0,3,0
64377,0.00,-0.09,253.00,0,2
64408,0.00,-0.09,253.00,0,3
64439,0.00,-0.09,253.00,0,3
64470,0.00,-0.09,253.00,0,2
64501,0.00,-0.09,253.00,0,3
64532,0.00,-0.09,253.00,0,2
64563,0.00,-0.09,253.00,0,3
64593,0.00,-0.09,253.00,0,2
64624,0.00,-0.09,253.00,0,2
64655,0.00,-0.09,253.00,0,3
64686,0.00,-0.09,253.00,0,3
64717,0.00,-0.09,253.00,0,2
64748,0.00,-0.09,253.00,0,2
64779,0.00,-0.09,253.00,0,2
64810,0.00,-0.09,253.00,0,3,0
64840,0.00,-0.09,253.00,0,3
64871,0.00,-0.09,253.00,0,3
64902,0.00,-0.09,253.00,0,2
64933,0.00,-0.09,253.00,0,3
64964,0.00,-0.09,253.00,0,2
64995,0.00,-0.09,253.00,0,3
65026,0.00,-0.18,252.00,0,2
65057,0.00,-0.09,253.00,0,3
65088,0.00,-0.09,253.00,0,3
65118,0.00,-0.18,252.00,0,3
65149,0.00,-0.18,252.00,0,3
65180,0.00,-0.09,253.00,0,2
65211,0.00,-0.09,253.00,0,2
65242,0.00,-0.09,253.00,0,2
65273,0.00,-0.09,253.00,0,2
65304,0.00,-0.09,253.00,0,2
65335,0.00,-0.09,253.00,0,2
65365,0.00,-0.09,253.00,0,2
65396,0.00,-0.09,253.00,0,3
65427,0.00,-0.09,253.00,0,3
65458,0.00,-0.09,253.00,0,2
65489,0.00,-0.09,253.00,0,2
65520,0.00,-0.09,253.00,0,2
65551,0.00,-0.09,253.00,0,2
65582,0.00,-0.09,253.00,0,2
65612,0.00,-0.09,253.00,0,2
65643,0.00,-0.09,253.00,0,3
65674,0.00,-0.09,253.00,0,3
65705,0.00,-0.09,253.00,0,3
65736,0.00,-0.09,253.00,0,3,0
65767,0.00,-0.09,253.00,0,3
65798,0.00,-0.09,253.00,0,3
65829,0.00,-0.09,253.00,0,2
65860,0.00,-0.09,253.00,0,2
65890,0.00,-0.09,253.00,0,3
65921,0.00,-0.09,253.00,0,3
65952,0.00,-0.09,253.00,0,2
65983,0.00,-0.09,253.00,0,3
66014,0.00,-0.09,253.00,0,2
66045,0.00,-0.09,253.00,0,2
66076,0.00,-0.09,253.00,0,3
66107,0.00,-0.09,253.00,0,2
66137,0.00,-0.09,253.00,0,2
66168,0.00,-0.09,253.00,0,2
66199,0.00,-0.09,253.00,0,2,0
66230,0.00,-0.09,253.00,0,3
66261,0.00,-0.09,253.00,0,2
66292,0.00,-0.09,253.00,0,2
66323,0.00,-0.09,253.00,0,2
66354,0.00,-0.09,253.00,0,3
66385,0.00,-0.09,253.00,0,2
66415,0.00,-0.09,253.00,0,3
66446,0.00,-0.09,253.00,0,3
66477,0.00,-0.09,253.00,0,3
66508,0.00,-0.09,253.00,0,3
66539,0.00,-0.09,253.00,0,3
66570,0.00,-0.09,253.00,0,3
