time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.63,30.61,253.00,0
254,110.47,123.51,253.00,0
252,206.72,216.33,253.00,0
255,261.83,265.30,253.00,0
252,273.61,273.11,253.00,0
254,264.47,262.96,253.00,0
252,253.93,252.99,253.00,0
252,249.23,249.04,253.00,0
252,249.32,249.50,253.00,0
255,251.00,251.21,253.00,0
252,252.44,252.56,253.00,0
252,252.94,252.94,253.00,0
252,252.65,252.59,253.00,0
253,252.19,252.14,253.00,0
255,252.09,252.12,253.00,0
252,252.60,252.69,253.00,0
251,253.07,253.07,252.00,0
251,252.73,252.63,252.00,0
254,251.86,251.76,252.00,0
252,251.55,251.61,252.00,0
254,252.35,252.50,253.00,0
252,253.46,253.56,253.00,0
255,253.80,253.80,253.00,0
252,253.72,253.69,253.00,0
252,253.29,253.21,253.00,0
252,252.62,252.54,253.00,0
255,252.11,252.08,253.00,0
252,252.23,252.28,253.00,0
252,252.63,252.66,253.00,0
254,252.64,252.61,253.00,0
252,252.46,252.44,253.00,0
252,252.40,252.42,253.00,0
255,252.50,252.51,253.00,0
255,252.66,252.68,253.00,0
252,252.83,252.83,253.00,0
252,252.69,252.65,252.00,0
252,252.33,252.29,252.00,0
252,252.04,252.02,252.00,0
255,252.04,252.07,253.00,0
252,252.53,252.61,253.00,0
252,253.01,253.02,253.00,0
255,252.84,252.79,253.00,0
25869,0.00,0.00,253.00,0,3
25900,0.00,0.00,253.00,0,3,0
25931,0.00,0.00,253.00,0,3
25961,0.00,0.00,253.00,0,3,0
25992,0.00,0.00,253.00,0,3
26023,0.00,0.00,253.00,0,3,0
26054,0.00,0.00,253.00,0,3
26085,0.00,0.00,253.00,0,5
26115,0.00,0.00,253.00,0,5
26146,0.00,0.00,253.00,0,5
26177,0.00,0.00,253.00,0,5
26208,0.00,0.00,253.00,0,5
26239,0.00,0.00,253.00,0,5
26270,0.00,0.00,253.00,0,5
26301,0.00,0.00,253.00,0,5
26332,0.00,0.00,253.00,0,5
26363,0.00,0.00,253.00,0,5
26393,0.00,0.00,253.00,0,5
26424,0.00,0.00,253.00,0,5,0
26455,0.00,0.00,253.00,0,5
26486,0.00,0.00,253.00,0,5,0
26517,0.00,0.00,253.00,0,5
26548,0.00,0.00,253.00,0,5
26579,0.00,0.00,253.00,0,5
26610,0.00,0.00,253.00,0,5
26640,0.00,0.00,253.00,0,5
26671,0.00,0.00,253.00,0,5
26702,0.00,0.00,253.00,0,5
26733,0.00,0.00,253.00,0,5
26764,0.00,0.00,253.00,0,5
26795,0.00,0.00,253.00,0,5
26826,0.00,0.00,253.00,0,5
26857,0.00,0.00,253.00,0,5
26887,0.00,0.00,253.00,0,5,0
26918,0.00,0.00,253.00,0,5
26949,0.00,0.00,253.00,0,3
26980,0.00,0.00,253.00,0,3
27011,0.00,-0.09,252.00,0,5
27042,0.00,-0.09,252.00,0,5
27073,0.00,-0.09,252.00,0,5
27104,0.00,-0.09,252.00,0,5
27135,0.00,-0.09,252.00,0,5
27165,0.00,-0.09,252.00,0,5
27196,0.00,-0.09,252.00,0,5
27227,0.00,-0.09,252.00,0,5
27258,0.00,-0.09,252.00,0,5
27289,0.00,-0.09,252.00,0,5
27320,0.00,-0.09,252.00,0,5
27351,0.00,-0.09,252.00,0,5,0
27382,0.00,-0.09,252.00,0,5
27412,0.00,-0.09,252.00,0,5
27443,0.00,-0.09,252.00,0,3
27474,0.00,-0.09,252.00,0,5
27505,0.00,-0.09,252.00,0,5
27536,0.00,-0.09,252.00,0,5
27567,0.00,-0.09,252.00,0,5
27598,0.00,-0.09,252.00,0,5
27629,0.00,-0.09,252.00,0,5
27660,0.00,-0.09,252.00,0,5
27690,0.00,-0.09,252.00,0,5
27721,0.00,-0.09,252.00,0,5
27752,0.00,-0.09,252.00,0,5
27783,0.00,0.00,253.00,0,5
27814,0.00,0.00,253.00,0,5,0
27845,0.00,0.00,253.00,0,6
27876,0.00,0.00,253.00,0,5,0
27907,0.00,0.00,253.00,0,5
27937,0.00,0.00,253.00,0,5
27968,0.00,0.00,253.00,0,5
27999,0.00,0.00,253.00,0,5
28030,0.00,0.00,253.00,0,5
28061,0.00,0.00,253.00,0,5
28092,0.00,0.00,253.00,0,5
28123,0.00,0.00,253.00,0,5
28154,0.00,0.00,253.00,0,3
28184,0.00,0.00,253.00,0,3
28215,0.00,0.00,253.00,0,5
28246,0.00,0.00,253.00,0,3
28277,0.00,0.00,253.00,0,5,0
28308,0.00,0.00,253.00,0,5
28339,0.00,0.00,253.00,0,5,0
28370,0.00,0.00,253.00,0,5
28401,0.00,0.00,253.00,0,5
28431,0.00,0.00,253.00,0,5
28462,0.00,0.00,253.00,0,5
28493,0.00,0.00,253.00,0,5
28524,0.00,0.00,253.00,0,5
28555,0.00,0.00,253.00,0,5
28586,0.00,0.00,253.00,0,5
28617,0.00,0.00,253.00,0,5
28648,0.00,0.00,253.00,0,5
28678,0.00,0.00,253.00,0,5
28709,0.00,0.00,253.00,0,5
28740,0.00,0.00,253.00,0,5,0
28771,0.00,0.00,253.00,0,5
28802,0.00,0.00,253.00,0,6,0
28833,0.00,0.00,253.00,0,5
28864,0.00,0.00,253.00,0,5
28895,0.00,0.00,253.00,0,3
28925,0.00,0.00,253.00,0,5
28956,0.00,0.00,253.00,0,3
28987,0.00,0.00,253.00,0,5
29018,0.00,0.00,253.00,0,5
29049,0.00,0.00,253.00,0,5
29080,0.00,0.00,253.00,0,5
29111,0.00,0.00,253.00,0,5
29142,0.00,0.00,253.00,0,5
29172,0.00,0.00,253.00,0,5
29203,0.00,0.00,253.00,0,3
29234,0.00,0.00,253.00,0,5
29265,0.00,0.00,253.00,0,5,0
29296,0.00,0.00,253.00,0,5
29327,0.00,0.00,253.00,0,5
29358,0.00,0.00,253.00,0,5
29389,0.00,0.00,253.00,0,5
29420,0.00,0.00,253.00,0,5
29450,0.00,0.00,253.00,0,5
29481,0.00,0.00,253.00,0,5
29512,0.00,0.00,253.00,0,5
29543,0.00,0.00,253.00,0,5
29574,0.00,0.00,253.00,0,5
29605,0.00,0.00,253.00,0,5
29636,0.00,0.00,253.00,0,5
29667,0.00,0.00,253.00,0,5,0
29697,0.00,0.00,253.00,0,6
29728,0.00,0.00,253.00,0,3,0
29759,0.00,0.00,253.00,0,3
29790,0.00,-0.09,252.00,0,5
29821,0.00,-0.09,252.00,0,5
29852,0.00,-0.09,252.00,0,5
29883,0.00,-0.09,252.00,0,5
29914,0.00,-0.09,252.00,0,5
29945,0.00,-0.09,252.00,0,5
