time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.60,30.58,252.00,0
252,110.46,123.51,253.00,0
251,206.43,215.93,252.00,0
252,260.63,264.02,252.00,0
251,271.91,271.36,252.00,0
251,262.48,260.94,252.00,0
255,251.94,251.06,252.00,0
252,248.12,248.08,252.00,0
252,249.19,249.46,252.00,0
255,251.30,251.52,252.00,0
252,252.75,252.89,252.00,0
252,253.51,253.56,252.00,0
251,253.46,253.37,252.00,0
251,252.47,252.32,252.00,0
252,251.40,251.30,252.00,0
252,250.97,250.98,252.00,0
252,251.44,251.54,252.00,0
252,252.14,252.19,252.00,0
252,252.38,252.38,252.00,0
252,252.27,252.25,252.00,0
249,252.15,252.12,252.00,0
251,251.71,251.63,252.00,0
251,251.12,251.06,252.00,0
251,250.82,250.81,252.00,0
251,250.82,250.83,252.00,0
252,250.99,251.03,252.00,0
250,251.35,251.38,252.00,0
254,251.37,251.36,252.00,0
252,251.56,251.65,252.00,0
252,252.24,252.30,252.00,0
252,252.50,252.50,252.00,0
252,252.35,252.32,252.00,0
251,252.10,252.07,252.00,0
252,251.66,251.60,252.00,0
252,251.44,251.47,252.00,0
250,251.83,251.88,252.00,0
253,251.98,251.95,252.00,0
252,251.85,251.87,252.00,0
252,252.04,252.07,252.00,0
252,252.16,252.17,252.00,0
252,252.14,252.13,252.00,0
251,251.99,251.96,252.00,0
63112,0.00,0.00,252.00,0,2
63143,0.00,0.00,252.00,0,1
63174,0.00,0.00,252.00,0,1
63204,0.00,0.00,252.00,0,1
63235,0.00,0.00,252.00,0,2,0
63266,0.00,0.00,252.00,0,2
63297,0.00,0.00,252.00,0,2,0
63328,0.00,0.00,252.00,0,1
63358,0.00,0.00,252.00,0,1
63389,0.00,0.00,252.00,0,1
63420,0.00,0.00,252.00,0,2,0
63451,0.00,0.00,252.00,0,1
63482,0.00,0.00,252.00,0,1
63512,0.00,0.00,252.00,0,2
63543,0.00,0.00,252.00,0,2
63574,0.00,0.00,252.00,0,1
63605,0.00,0.00,252.00,0,1
63636,0.00,0.00,252.00,0,1
63666,0.00,0.00,252.00,0,2
63697,0.00,0.00,252.00,0,1
63728,0.00,0.00,252.00,0,1
63759,0.00,0.00,252.00,0,1,0
63790,0.00,0.00,252.00,0,1
63820,0.00,0.00,252.00,0,1,0
63851,0.00,0.00,252.00,0,1
63882,0.00,0.00,252.00,0,1
63913,0.00,0.00,252.00,0,1
63944,0.00,0.00,252.00,0,2
63975,0.00,0.00,252.00,0,2
64006,0.00,0.00,252.00,0,2
64037,0.00,0.00,252.00,0,2
64067,0.00,0.00,252.00,0,1
64098,0.00,0.00,252.00,0,2
64129,0.00,0.00,252.00,0,2
64160,0.00,0.00,252.00,0,2
64191,0.00,0.00,252.00,0,2
64222,0.00,0.00,252.00,0,1,0
64253,0.00,0.00,252.00,0,1
64284,0.00,0.00,252.00,0,2,0
64314,0.00,0.00,252.00,0,1
64345,0.00,0.00,252.00,0,2
64376,0.00,0.00,252.00,0,2
64407,0.00,0.00,252.00,0,1,0
64438,0.00,0.00,252.00,0,2
64469,0.00,0.00,252.00,0,1
64500,0.00,0.00,252.00,0,2
64531,0.00,0.00,252.00,0,1
64562,0.00,0.00,252.00,0,1
64592,0.00,0.00,252.00,0,1
64623,0.00,0.00,252.00,0,1
64654,0.00,0.00,252.00,0,1
64685,0.00,0.00,252.00,0,1,0
64716,0.00,0.00,252.00,0,1
64747,0.00,0.00,252.00,0,1,0
64778,0.00,0.00,252.00,0,1
64809,0.00,0.00,252.00,0,1,0
64839,0.00,0.00,252.00,0,1
64870,0.00,0.00,252.00,0,2
64901,0.00,0.00,252.00,0,1
64932,0.00,0.00,252.00,0,1
64963,0.00,0.00,252.00,0,1
64994,0.00,0.00,252.00,0,2
65025,0.00,0.00,252.00,0,2
65056,0.00,0.00,252.00,0,1
65087,0.00,0.00,252.00,0,2
65117,0.00,0.00,252.00,0,2
65148,0.00,0.00,252.00,0,2,0
65179,0.00,0.00,252.00,0,2
65210,0.00,0.00,252.00,0,2,0
65241,0.00,0.00,252.00,0,2
65272,0.00,0.00,252.00,0,2
65303,0.00,0.00,252.00,0,1
65334,0.00,0.00,252.00,0,1
65364,0.00,0.00,252.00,0,2
65395,0.00,0.00,252.00,0,1
65426,0.00,0.00,252.00,0,2
65457,0.00,0.00,252.00,0,1
65488,0.00,0.00,252.00,0,1
65519,0.00,0.00,252.00,0,1
65550,0.00,0.00,252.00,0,1
65581,0.00,0.00,252.00,0,1
65611,0.00,0.00,252.00,0,2,0
65642,0.00,0.00,252.00,0,2
65673,0.00,0.00,252.00,0,2,0
65704,0.00,0.00,252.00,0,2
65735,0.00,0.00,252.00,0,2
65766,0.00,0.00,252.00,0,1
65797,0.00,0.00,252.00,0,2
65828,0.00,0.00,252.00,0,2
65859,0.00,0.00,252.00,0,1
65889,0.00,0.00,252.00,0,1
65920,0.00,0.00,252.00,0,2
65951,0.00,0.00,252.00,0,1
65982,0.00,0.00,252.00,0,2
66013,0.00,0.00,252.00,0,1
66044,0.00,0.00,252.00,0,2
66075,0.00,0.00,252.00,0,1,0
66106,0.00,0.00,252.00,0,2
66136,0.00,0.00,252.00,0,1,0
66167,0.00,0.00,252.00,0,2
66198,0.00,0.00,252.00,0,2
66229,0.00,0.00,252.00,0,2
66260,0.00,0.00,252.00,0,1
66291,0.00,0.00,252.00,0,2
66322,0.00,0.00,252.00,0,2
66353,0.00,0.00,252.00,0,1
66384,0.00,0.00,252.00,0,1
66414,0.00,0.00,252.00,0,1
66445,0.00,0.00,252.00,0,1
66476,0.00,0.00,252.00,0,2
66507,0.00,0.00,252.00,0,1
66538,0.00,0.00,252.00,0,2,0
66569,0.00,0.00,252.00,0,2
66600,0.00,0.00,252.00,0,1,0
66631,0.00,0.00,252.00,0,1
66661,0.00,0.00,252.00,0,1
66692,0.00,0.00,252.00,0,2
66723,0.00,0.00,252.00,0,1
66754,0.00,0.00,252.00,0,1
66785,0.00,0.00,252.00,0,1
66816,0.00,0.00,252.00,0,1
66847,0.00,0.00,252.00,0,1
66878,0.00,0.00,252.00,0,2
66908,0.00,0.00,252.00,0,1
66939,0.00,0.00,252.00,0,2
66970,0.00,0.00,252.00,0,1
67001,0.00,0.00,252.00,0,2,0
67032,0.00,0.00,252.00,0,2
67063,0.00,0.00,252.00,0,2,0
67094,0.00,0.00,252.00,0,2
67125,0.00,0.00,252.00,0,2
67156,0.00,0.00,252.00,0,1
67186,0.00,0.00,252.00,0,2
67217,0.00,0.00,252.00,0,1
67248,0.00,0.00,252.00,0,2
67279,0.00,0.00,252.00,0,1
67310,0.00,0.00,252.00,0,2
67341,0.00,0.00,252.00,0,1
67372,0.00,0.00,252.00,0,1
67403,0.00,0.00,252.00,0,1
67433,0.00,0.00,252.00,0,2
67464,0.00,0.00,252.00,0,2
67495,0.00,0.00,252.00,0,1
