trialCount,Test,Reference,A,B,answerKey,userAnswer,stepSize,rightStreak
1,10.0,4.0,10.0,4.0,1,1,0.3,1
2,9.7,4.0,4.0,9.7,3,3,0.3,1
3,9.4,4.0,4.0,9.4,3,3,0.3,1
4,9.1,4.0,9.1,4.0,1,1,0.3,1
5,8.8,4.0,8.8,4.0,1,1,0.3,1
6,8.5,4.0,8.5,4.0,1,1,0.3,1
7,8.2,4.0,4.0,8.2,3,3,0.3,1
8,7.9,4.0,7.9,4.0,1,1,0.3,1
9,7.6,4.0,7.6,4.0,1,1,0.3,1
10,7.3,4.0,7.3,4.0,1,1,0.3,1
11,7.0,4.0,7.0,4.0,1,1,0.3,1
12,6.7,4.0,6.7,4.0,1,3,0.5466472303206997,0
13,7.25,4.0,4.0,7.25,3,3,0,1
14,7.25,4.0,7.25,4.0,1,1,0.3,2
15,6.95,4.0,6.95,4.0,1,1,0,1
16,6.95,4.0,6.95,4.0,1,1,0.3,2
17,6.65,4.0,4.0,6.65,3,3,0,1
18,6.65,4.0,6.65,4.0,1,1,0.3,2
19,6.35,4.0,4.0,6.35,3,3,0,1
20,6.35,4.0,6.35,4.0,1,1,0.3,2
