time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.50,30.45,252.00,0
251,110.00,122.95,251.00,0
251,205.21,214.65,251.00,0
251,259.28,262.69,251.00,0
249,270.86,270.36,251.00,0
249,261.48,259.91,250.00,0
249,250.50,249.54,250.00,0
248,245.86,245.73,250.00,0
248,246.30,246.50,250.00,0
248,248.04,248.26,250.00,0
251,249.36,249.43,250.00,0
251,249.71,249.75,250.00,0
251,250.04,250.08,250.00,0
252,250.45,250.51,250.00,0
251,250.88,250.89,250.00,0
251,250.83,250.80,250.00,0
251,250.49,250.42,250.00,0
248,249.85,249.75,250.00,0
248,249.00,248.91,250.00,0
248,248.52,248.49,250.00,0
250,248.31,248.29,250.00,0
251,248.33,248.38,250.00,0
251,249.02,249.15,250.00,0
251,250.10,250.23,250.00,0
251,250.86,250.90,250.00,0
248,251.02,251.03,250.00,0
251,250.84,250.78,250.00,0
251,250.47,250.45,250.00,0
250,250.49,250.52,250.00,0
248,250.62,250.59,250.00,0
249,250.00,249.86,250.00,0
251,248.88,248.75,250.00,0
248,248.28,248.26,250.00,0
251,248.34,248.37,250.00,0
248,248.81,248.90,250.00,0
249,249.29,249.31,250.00,0
251,249.45,249.49,250.00,0
250,249.94,250.02,250.00,0
251,250.48,250.52,250.00,0
251,250.79,250.82,250.00,0
248,250.90,250.88,250.00,0
248,250.25,250.11,249.00,0
32660,0.00,0.09,250.00,0,2
32691,0.00,0.09,250.00,0,2,0
32722,0.00,0.09,250.00,0,2
32753,0.00,0.09,250.00,0,2,0
32784,0.00,0.09,250.00,0,2
32814,0.00,0.09,250.00,0,3
32845,0.00,0.09,250.00,0,2
32876,0.00,0.09,250.00,0,2
32907,0.00,0.09,250.00,0,2
32938,0.00,0.09,250.00,0,2
32968,0.00,0.09,250.00,0,2
32999,0.00,0.09,250.00,0,2
33030,0.00,0.09,250.00,0,2
33061,0.00,0.09,250.00,0,2
33092,0.00,0.09,250.00,0,2
33122,0.00,0.09,250.00,0,2
33153,0.00,0.09,250.00,0,2
33184,0.00,0.09,250.00,0,2
33215,0.00,0.09,250.00,0,2,0
33246,0.00,0.09,250.00,0,2
33276,0.00,0.09,250.00,0,2,0
33307,0.00,0.09,250.00,0,2
33338,0.00,0.09,250.00,0,2
33369,0.00,0.09,250.00,0,2
33400,0.00,0.09,250.00,0,2
33430,0.00,0.09,250.00,0,3
33461,0.00,0.00,249.00,0,2
33492,0.00,0.00,249.00,0,3
33523,0.00,0.00,249.00,0,3
33554,0.00,0.00,249.00,0,2
33584,0.00,0.00,249.00,0,2
33615,0.00,0.00,249.00,0,2
33646,0.00,0.00,249.00,0,2
33677,0.00,0.00,249.00,0,2
33708,0.00,0.00,249.00,0,2
33738,0.00,0.00,249.00,0,2,0
33769,0.00,0.00,249.00,0,3
33800,0.00,0.00,249.00,0,3,0
33831,0.00,0.00,249.00,0,2
33861,0.00,0.00,249.00,0,2,0
33892,0.00,0.00,249.00,0,2
33923,0.00,0.00,249.00,0,2
33954,0.00,0.00,249.00,0,2
33985,0.00,0.09,250.00,0,2
34016,0.00,0.09,250.00,0,2
34047,0.00,0.09,250.00,0,2
34077,0.00,0.09,250.00,0,2
34108,0.00,0.09,250.00,0,2
34139,0.00,0.09,250.00,0,2
34170,0.00,0.09,250.00,0,2
34201,0.00,0.09,250.00,0,2
34232,0.00,0.09,250.00,0,2
34263,0.00,0.09,250.00,0,2,0
34294,0.00,0.09,250.00,0,2
34324,0.00,0.09,250.00,0,2,0
34355,0.00,0.09,250.00,0,3
34386,0.00,0.09,250.00,0,3
34417,0.00,0.09,250.00,0,2
34448,0.00,0.09,250.00,0,2
34479,0.00,0.09,250.00,0,2
34510,0.00,0.09,250.00,0,2
34540,0.00,0.09,250.00,0,2
34571,0.00,0.09,250.00,0,2
34602,0.00,0.09,250.00,0,2
34633,0.00,0.09,250.00,0,2
34664,0.00,0.09,250.00,0,2
34695,0.00,0.09,250.00,0,2
34726,0.00,0.09,250.00,0,2,0
34757,0.00,0.09,250.00,0,2
34787,0.00,0.09,250.00,0,2,0
34818,0.00,0.09,250.00,0,2
34849,0.00,0.09,250.00,0,2
34880,0.00,0.09,250.00,0,2
34911,0.00,0.09,250.00,0,2
34942,0.00,0.09,250.00,0,2
34973,0.00,0.09,250.00,0,3
35003,0.00,0.09,250.00,0,2
35034,0.00,0.09,250.00,0,2
35065,0.00,0.09,250.00,0,2
35096,0.00,0.09,250.00,0,2
35127,0.00,0.18,251.00,0,2
35158,0.00,0.18,251.00,0,2
35189,0.00,0.18,251.00,0,2,0
35220,0.00,0.09,250.00,0,2
35250,0.00,0.09,250.00,0,2,0
35281,0.00,0.09,250.00,0,3
35312,0.00,0.09,250.00,0,2
35343,0.00,0.09,250.00,0,3
35374,0.00,0.09,250.00,0,3
35405,0.00,0.09,250.00,0,2
35436,0.00,0.09,250.00,0,2
35467,0.00,0.09,250.00,0,2
35497,0.00,0.09,250.00,0,2
35528,0.00,0.09,250.00,0,3
35559,0.00,0.09,250.00,0,2
35590,0.00,0.09,250.00,0,2
35621,0.00,0.09,250.00,0,2
35652,0.00,0.09,250.00,0,2,0
35683,0.00,0.09,250.00,0,2
35714,0.00,0.09,250.00,0,2,0
35744,0.00,0.09,250.00,0,2
35775,0.00,0.09,250.00,0,3
35806,0.00,0.09,250.00,0,3
35837,0.00,0.00,249.00,0,2
35868,0.00,0.00,249.00,0,2
35899,0.00,0.00,249.00,0,2
35930,0.00,0.00,249.00,0,2
35960,0.00,0.00,249.00,0,2
35991,0.00,0.00,249.00,0,3
36022,0.00,0.00,249.00,0,2
36053,0.00,0.00,249.00,0,3
36084,0.00,0.00,249.00,0,2
36115,0.00,0.00,249.00,0,2,0
36146,0.00,0.00,249.00,0,2
36177,0.00,0.00,249.00,0,2,0
36207,0.00,0.00,249.00,0,2
36238,0.00,0.00,249.00,0,2
36269,0.00,0.00,249.00,0,2
36300,0.00,0.00,249.00,0,2
36331,0.00,0.00,249.00,0,2
36362,0.00,0.00,249.00,0,2
36393,0.00,0.00,249.00,0,2
36423,0.00,0.00,249.00,0,2
36454,0.00,0.00,249.00,0,2
36485,0.00,0.00,249.00,0,2
36516,0.00,0.00,249.00,0,2
36547,0.00,0.00,249.00,0,3
36578,0.00,0.00,249.00,0,2
36609,0.00,0.00,249.00,0,2
36640,0.00,0.00,249.00,0,2,0
36670,0.00,0.00,249.00,0,2
36701,0.00,0.00,249.00,0,2,0
36732,0.00,0.00,249.00,0,2
36763,0.00,0.00,249.00,0,2
36794,0.00,0.00,249.00,0,2
36825,0.00,0.00,249.00,0,2
36856,0.00,0.00,249.00,0,2
36887,0.00,0.00,249.00,0,2
36917,0.00,0.00,249.00,0,2
36948,0.00,0.00,249.00,0,2
36979,0.00,0.00,249.00,0,2
37010,0.00,0.00,249.00,0,3
37041,0.00,0.00,249.00,0,2
37072,0.00,0.00,249.00,0,2
37103,0.00,0.00,249.00,0,2,0
37134,0.00,0.00,249.00,0,2
37164,0.00,0.00,249.00,0,2,0
37195,0.00,0.00,249.00,0,2
37226,0.00,0.00,249.00,0,2
37257,0.00,0.00,249.00,0,2
37288,0.00,0.00,249.00,0,2
37319,0.00,0.00,249.00,0,2
37350,0.00,0.00,249.00,0,2
37381,0.00,0.00,249.00,0,2
37411,0.00,0.00,249.00,0,2
37442,0.00,0.00,249.00,0,2
37473,0.00,0.00,249.00,0,2
37504,0.00,0.00,249.00,0,2
37535,0.00,0.00,249.00,0,2
37566,0.00,0.00,249.00,0,2,0
37597,0.00,0.00,249.00,0,2
37628,0.00,0.00,249.00,0,2,0
37658,0.00,0.00,249.00,0,2
37689,0.00,0.00,249.00,0,2
37720,0.00,0.00,249.00,0,2
37751,0.00,0.00,249.00,0,2
37782,0.00,0.00,249.00,0,2
37813,0.00,0.00,249.00,0,2
37844,0.00,0.00,249.00,0,2
37874,0.00,0.00,249.00,0,2
37905,0.00,-0.09,248.00,0,2
37936,0.00,-0.09,248.00,0,2
37967,0.00,-0.09,248.00,0,2
37998,0.00,-0.09,248.00,0,2
38029,0.00,-0.09,248.00,0,2,0
38060,0.00,-0.09,248.00,0,2
38091,0.00,-0.09,248.00,0,3
38122,0.00,-0.09,248.00,0,2
38152,0.00,-0.09,248.00,0,2
38183,0.00,-0.09,248.00,0,2
38214,0.00,-0.09,248.00,0,2
38245,0.00,-0.09,248.00,0,2
38276,0.00,-0.09,248.00,0,2
38307,0.00,-0.09,248.00,0,2
38338,0.00,-0.09,248.00,0,2
38369,0.00,-0.09,248.00,0,2
38399,0.00,-0.09,248.00,0,2
38430,0.00,-0.09,248.00,0,2
38461,0.00,-0.09,248.00,0,2
38492,0.00,-0.09,248.00,0,2,0
38523,0.00,-0.09,248.00,0,2
38554,0.00,-0.09,248.00,0,2
38585,0.00,-0.09,248.00,0,2
38615,0.00,-0.09,248.00,0,3
38646,0.00,-0.09,248.00,0,2
38677,0.00,-0.09,248.00,0,2
38708,0.00,-0.09,248.00,0,2
38739,0.00,-0.09,248.00,0,2
38770,0.00,-0.09,248.00,0,2
38801,0.00,-0.09,248.00,0,2
38832,0.00,-0.09,248.00,0,2
38862,0.00,-0.09,248.00,0,2
38893,0.00,-0.09,248.00,0,2
38924,0.00,-0.09,248.00,0,2
38955,0.00,-0.09,248.00,0,2,0
38986,0.00,-0.09,248.00,0,2
39017,0.00,-0.09,248.00,0,3,0
39048,0.00,-0.09,248.00,0,2
39079,0.00,0.00,249.00,0,2
39109,0.00,0.00,249.00,0,2
39140,0.00,0.00,249.00,0,3
39171,0.00,-0.09,248.00,0,2
39202,0.00,-0.09,248.00,0,2
39233,0.00,-0.09,248.00,0,2
39264,0.00,-0.09,248.00,0,2
39295,0.00,-0.09,248.00,0,2
39326,0.00,-0.09,248.00,0,2
39356,0.00,-0.09,248.00,0,2
39387,0.00,-0.09,248.00,0,2
39418,0.00,-0.09,248.00,0,2,0
39449,0.00,0.00,249.00,0,2
39480,0.00,0.00,249.00,0,3,0
39511,0.00,0.00,249.00,0,3
39542,0.00,-0.09,248.00,0,2
39573,0.00,-0.09,248.00,0,2
39603,0.00,-0.09,248.00,0,2
39634,0.00,-0.09,248.00,0,2
