time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.73,30.76,254.00,0
252,111.06,124.13,253.00,0
252,207.24,216.77,253.00,0
252,261.68,265.07,253.00,0
252,272.93,272.37,253.00,0
252,263.48,261.95,253.00,0
252,252.85,251.92,252.00,0
250,248.37,248.21,252.00,0
251,248.39,248.52,252.00,0
249,249.74,249.92,252.00,0
249,250.79,250.86,252.00,0
252,251.04,251.05,252.00,0
250,251.19,251.19,252.00,0
252,251.11,251.12,251.00,0
252,251.41,251.47,251.00,0
252,251.83,251.86,251.00,0
249,252.03,252.04,251.00,0
252,251.91,251.88,251.00,0
255,251.78,251.78,251.00,0
252,252.01,252.07,251.00,0
252,252.46,252.50,252.00,0
254,252.60,252.61,252.00,0
254,252.74,252.75,252.00,0
255,252.89,252.92,252.00,0
252,253.18,253.19,252.00,0
249,253.02,252.96,252.00,0
249,252.25,252.11,252.00,0
251,251.03,250.88,252.00,0
252,250.18,250.14,252.00,0
253,250.33,250.41,252.00,0
253,251.24,251.37,252.00,0
252,252.20,252.29,252.00,0
251,252.41,252.36,252.00,0
252,251.86,251.80,252.00,0
255,251.55,251.56,252.00,0
254,252.08,252.19,252.00,0
252,252.99,253.07,252.00,0
252,253.32,253.34,252.00,0
255,253.44,253.46,252.00,0
252,253.65,253.65,252.00,0
250,253.35,253.27,253.00,0
255,252.48,252.35,253.00,0
118712,0.00,0.00,253.00,0,2
118743,0.00,-0.09,252.00,0,2
118774,0.00,0.00,253.00,0,2
118805,0.00,0.00,253.00,0,2
118835,0.00,-0.09,252.00,0,3
118866,0.00,-0.09,252.00,0,3
118897,0.00,-0.09,252.00,0,2
118928,0.00,-0.09,252.00,0,2
118959,0.00,-0.09,252.00,0,2
118990,0.00,-0.09,252.00,0,3
119021,0.00,-0.09,252.00,0,3
119052,0.00,-0.09,252.00,0,2
119083,0.00,-0.09,252.00,0,2
119113,0.00,-0.09,252.00,0,2
119144,0.00,-0.09,252.00,0,2
119175,0.00,-0.09,252.00,0,2
119206,0.00,-0.09,252.00,0,2
119237,0.00,-0.09,252.00,0,2
119268,0.00,-0.09,252.00,0,2
119299,0.00,-0.09,252.00,0,3
119330,0.00,-0.09,252.00,0,2
119361,0.00,-0.09,252.00,0,2
119391,0.00,-0.09,252.00,0,2
119422,0.00,-0.09,252.00,0,2
119453,0.00,-0.09,252.00,0,3
119484,0.00,-0.09,252.00,0,3
119515,0.00,-0.09,252.00,0,2,0
119546,0.00,-0.09,252.00,0,2
119577,0.00,-0.09,252.00,0,3
119608,0.00,-0.09,252.00,0,2
119639,0.00,-0.09,252.00,0,2
119669,0.00,-0.09,252.00,0,3
119700,0.00,-0.09,252.00,0,3
119731,0.00,-0.09,252.00,0,2
119762,0.00,-0.09,252.00,0,2
119793,0.00,-0.09,252.00,0,2
119824,0.00,-0.09,252.00,0,2
119855,0.00,-0.09,252.00,0,2
119886,0.00,-0.09,252.00,0,3
119917,0.00,-0.09,252.00,0,2
119948,0.00,-0.09,252.00,0,2
119979,0.00,-0.09,252.00,0,2
120010,0.00,-0.09,252.00,0,2
120041,0.00,-0.09,252.00,0,3
120072,0.00,-0.09,252.00,0,3
120102,0.00,-0.09,252.00,0,3
120133,0.00,-0.09,252.00,0,2
120164,0.00,-0.09,252.00,0,2
120195,0.00,-0.09,252.00,0,3
120226,0.00,-0.09,252.00,0,2
120258,0.00,-0.09,252.00,0,2
120289,0.00,-0.09,252.00,0,2
120320,0.00,-0.09,252.00,0,2
120351,0.00,-0.18,251.00,0,2
120383,0.00,-0.09,252.00,0,2
120414,0.00,-0.09,252.00,0,2,0
120445,0.00,-0.09,252.00,0,2
120476,0.00,-0.09,252.00,0,2
120508,0.00,-0.09,252.00,0,2
120539,0.00,-0.09,252.00,0,2
120570,0.00,-0.09,252.00,0,2
120601,0.00,-0.09,252.00,0,2
120633,0.00,-0.09,252.00,0,2
120664,0.00,-0.09,252.00,0,2
120695,0.00,-0.09,252.00,0,2
120726,0.00,-0.09,252.00,0,2
120758,0.00,-0.09,252.00,0,2
120789,0.00,-0.09,252.00,0,2
120820,0.00,-0.09,252.00,0,2
120851,0.00,-0.09,252.00,0,2
120883,0.00,-0.09,252.00,0,2
