time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
254,22.72,30.74,254.00,0
255,111.03,124.13,254.00,0
255,207.56,217.16,254.00,0
251,262.73,266.23,254.00,0
251,274.18,273.56,253.00,0
251,263.75,262.05,253.00,0
251,251.80,250.73,252.00,0
252,246.82,246.75,253.00,0
253,248.13,248.46,252.00,0
254,250.93,251.27,253.00,0
248,253.20,253.40,253.00,0
251,253.84,253.77,252.00,0
254,252.88,252.76,252.00,0
253,252.57,252.62,253.00,0
252,253.16,253.23,252.00,0
255,253.65,253.71,252.00,0
253,254.14,254.19,253.00,0
251,254.12,254.05,253.00,0
255,253.29,253.20,253.00,0
252,253.04,253.09,253.00,0
255,253.52,253.58,253.00,0
252,254.06,254.11,253.00,0
252,254.11,254.07,253.00,0
255,253.41,253.29,253.00,0
252,252.78,252.75,254.00,0
251,252.75,252.76,253.00,0
255,252.57,252.51,253.00,0
252,252.45,252.51,253.00,0
252,253.01,253.07,253.00,0
255,253.15,253.11,253.00,0
252,252.80,252.73,253.00,0
252,252.35,252.32,253.00,0
251,252.29,252.27,253.00,0
252,252.13,252.11,253.00,0
255,252.18,252.22,253.00,0
251,252.66,252.71,253.00,0
252,252.69,252.63,252.00,0
252,252.09,252.04,252.00,0
251,251.77,251.72,252.00,0
255,251.37,251.33,252.00,0
252,251.33,251.36,252.00,0
251,251.60,251.63,252.00,0
47872,0.00,0.00,252.00,0,2
47903,0.00,0.00,252.00,0,2
47934,0.00,0.00,252.00,0,2
47965,0.00,0.00,252.00,0,2
47995,0.00,0.00,252.00,0,2
48026,0.00,0.00,252.00,0,2
48057,0.00,0.00,252.00,0,2
48088,0.00,0.00,252.00,0,2
48119,0.00,0.00,252.00,0,3
48149,0.00,0.00,252.00,0,2
48180,0.00,0.00,252.00,0,2
48211,0.00,0.00,252.00,0,3
48242,0.00,0.00,252.00,0,3
48273,0.00,0.00,252.00,0,2,0
48303,0.00,0.00,252.00,0,2
48334,0.00,0.00,252.00,0,2,0
48365,0.00,0.00,252.00,0,2
48396,0.00,0.00,252.00,0,3
48427,0.00,0.00,252.00,0,2
48457,0.00,0.00,252.00,0,2
48488,0.00,-0.09,251.00,0,3
48519,0.00,-0.09,251.00,0,2
48550,0.00,-0.09,251.00,0,2
48581,0.00,-0.09,251.00,0,2
48611,0.00,-0.09,251.00,0,3
48642,0.00,-0.09,251.00,0,2
48673,0.00,-0.09,251.00,0,2
48704,0.00,-0.09,251.00,0,2
48735,0.00,-0.09,251.00,0,2,0
48766,0.00,-0.09,251.00,0,2
48797,0.00,-0.09,251.00,0,2
48828,0.00,-0.09,251.00,0,2
48859,0.00,-0.09,251.00,0,2
48890,0.00,-0.09,251.00,0,2
48921,0.00,-0.09,251.00,0,2
48952,0.00,-0.09,251.00,0,2
48983,0.00,-0.09,251.00,0,2
49013,0.00,-0.09,251.00,0,2
49044,0.00,0.00,252.00,0,2
49075,0.00,0.00,252.00,0,2
49106,0.00,0.00,252.00,0,2
49137,0.00,0.00,252.00,0,3
49168,0.00,0.00,252.00,0,2
49199,0.00,0.00,252.00,0,2,0
49229,0.00,0.00,252.00,0,2
49260,0.00,0.00,252.00,0,2,0
49291,0.00,0.00,252.00,0,2
49322,0.00,0.00,252.00,0,2
49353,0.00,0.00,252.00,0,2
49383,0.00,0.00,252.00,0,2
49414,0.00,0.00,252.00,0,3
49445,0.00,0.00,252.00,0,2
49476,0.00,0.00,252.00,0,2
49507,0.00,0.00,252.00,0,2
49538,0.00,0.00,252.00,0,2
49568,0.00,0.00,252.00,0,3
49599,0.00,0.00,252.00,0,2
49630,0.00,0.00,252.00,0,2
49661,0.00,0.00,252.00,0,2
49692,0.00,0.00,252.00,0,2
49723,0.00,0.00,252.00,0,3,0
49754,0.00,0.00,252.00,0,2
