time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.64,30.63,253.00,0
255,110.77,123.87,254.00,0
255,207.50,217.13,254.00,0
253,262.88,266.40,254.00,0
249,274.89,274.41,254.00,0
255,265.48,263.90,254.00,0
255,254.47,253.50,254.00,0
252,249.87,249.75,254.00,0
253,250.57,250.85,254.00,0
255,252.90,253.16,254.00,0
250,254.36,254.42,254.00,0
250,253.81,253.60,253.00,0
250,251.86,251.62,253.00,0
253,250.24,250.10,253.00,0
253,249.78,249.82,253.00,0
251,250.49,250.62,252.00,0
252,251.33,251.39,252.00,0
254,251.84,251.94,252.00,0
255,252.79,252.94,252.00,0
254,253.90,253.99,252.00,0
255,254.19,254.19,252.00,0
253,254.02,253.96,252.00,0
252,253.36,253.26,252.00,0
252,252.57,252.48,252.00,0
252,252.17,252.17,253.00,0
252,252.24,252.25,253.00,0
252,252.25,252.24,253.00,0
255,252.17,252.17,253.00,0
254,252.44,252.49,253.00,0
251,252.83,252.88,253.00,0
248,252.80,252.69,252.00,0
252,251.55,251.40,252.00,0
255,250.99,251.05,252.00,0
255,252.15,252.37,253.00,0
252,253.76,253.89,253.00,0
255,253.93,253.80,252.00,0
252,252.58,252.41,252.00,0
254,251.60,251.58,252.00,0
252,251.97,252.08,253.00,0
253,252.87,252.97,253.00,0
252,253.46,253.47,253.00,0
255,253.24,253.19,253.00,0
74125,0.00,0.00,253.00,0,2
74156,0.00,0.00,253.00,0,2,0
74187,0.00,0.00,253.00,0,3
74217,0.00,0.00,253.00,0,3,0
74248,0.00,0.00,253.00,0,2
74279,0.00,0.00,253.00,0,2
74310,0.00,0.00,253.00,0,3
74340,0.00,0.00,253.00,0,3
74371,0.00,0.00,253.00,0,2
74402,0.00,0.00,253.00,0,2
74433,0.00,0.00,253.00,0,2
74464,0.00,0.00,253.00,0,3
74494,0.00,0.00,253.00,0,3
74525,0.00,0.00,253.00,0,2
74556,0.00,-0.09,252.00,0,2
74587,0.00,-0.09,252.00,0,2
74618,0.00,-0.09,252.00,0,2
74649,0.00,-0.09,252.00,0,2
74679,0.00,-0.09,252.00,0,3,0
74710,0.00,-0.09,252.00,0,2
74741,0.00,-0.09,252.00,0,2
74772,0.00,-0.09,252.00,0,2
74803,0.00,-0.09,252.00,0,3
74834,0.00,-0.09,252.00,0,2
74865,0.00,-0.09,252.00,0,3
74895,0.00,-0.09,252.00,0,3
74926,0.00,-0.09,252.00,0,2
74957,0.00,-0.09,252.00,0,2
74988,0.00,-0.09,252.00,0,2
75019,0.00,-0.09,252.00,0,2
75050,0.00,-0.09,252.00,0,3
75081,0.00,-0.09,252.00,0,2
75112,0.00,-0.09,252.00,0,2
75143,0.00,-0.09,252.00,0,3,0
75174,0.00,-0.09,252.00,0,2
75204,0.00,-0.09,252.00,0,3
75235,0.00,-0.09,252.00,0,3
75266,0.00,-0.09,252.00,0,2
75297,0.00,-0.09,252.00,0,3
75328,0.00,-0.09,252.00,0,2
75359,0.00,-0.18,251.00,0,3
75390,0.00,-0.18,251.00,0,2
75421,0.00,-0.18,251.00,0,2
75452,0.00,-0.18,251.00,0,2
75483,0.00,-0.18,251.00,0,3
75513,0.00,-0.18,251.00,0,2
75544,0.00,-0.18,251.00,0,2
75575,0.00,-0.18,251.00,0,2
75606,0.00,-0.18,251.00,0,2,0
75637,0.00,-0.18,251.00,0,2
75668,0.00,-0.18,251.00,0,2
75699,0.00,-0.18,251.00,0,2
75730,0.00,-0.18,251.00,0,2
75761,0.00,-0.18,251.00,0,3
75792,0.00,-0.18,251.00,0,3
75822,0.00,-0.18,251.00,0,2
75853,0.00,-0.18,251.00,0,2
75884,0.00,-0.18,251.00,0,2
75915,0.00,-0.18,251.00,0,3
75946,0.00,-0.18,251.00,0,3
75977,0.00,-0.18,251.00,0,2
76008,0.00,-0.18,251.00,0,3
76039,0.00,-0.18,251.00,0,3
76070,0.00,-0.18,251.00,0,2,0
76101,0.00,-0.18,251.00,0,2
76131,0.00,-0.18,251.00,0,3
76162,0.00,-0.18,251.00,0,3
76193,0.00,-0.18,251.00,0,3
76224,0.00,-0.18,251.00,0,3
76255,0.00,-0.18,251.00,0,2
76286,0.00,-0.18,251.00,0,2
76317,0.00,-0.18,251.00,0,2
76348,0.00,-0.18,251.00,0,3
76379,0.00,-0.18,251.00,0,2
76410,0.00,-0.18,251.00,0,3
76440,0.00,-0.18,251.00,0,2
76471,0.00,-0.18,251.00,0,3
76502,0.00,-0.18,251.00,0,2
76533,0.00,-0.18,251.00,0,2,0
76564,0.00,-0.18,251.00,0,2
76595,0.00,-0.18,251.00,0,3
76626,0.00,-0.18,251.00,0,3
76657,0.00,-0.18,251.00,0,2
76688,0.00,-0.18,251.00,0,2
76719,0.00,-0.18,251.00,0,3
76750,0.00,-0.18,251.00,0,2
76780,0.00,-0.18,251.00,0,2
76811,0.00,-0.18,251.00,0,2
76842,0.00,-0.09,252.00,0,2
76873,0.00,-0.09,252.00,0,3
76904,0.00,-0.09,252.00,0,3
76935,0.00,-0.09,252.00,0,3,0
76966,0.00,-0.09,252.00,0,3
76997,0.00,-0.09,252.00,0,2,0
77028,0.00,-0.09,252.00,0,3
77059,0.00,-0.09,252.00,0,3
77089,0.00,-0.09,252.00,0,2
77120,0.00,-0.09,252.00,0,2
77151,0.00,-0.09,252.00,0,2
77182,0.00,-0.09,252.00,0,2
77213,0.00,-0.09,252.00,0,3
77244,0.00,-0.09,252.00,0,3
77275,0.00,-0.09,252.00,0,2
77306,0.00,-0.09,252.00,0,2
77337,0.00,-0.09,252.00,0,3
77368,0.00,-0.09,252.00,0,2
77398,0.00,-0.09,252.00,0,2,0
77429,0.00,-0.09,252.00,0,2
77460,0.00,-0.09,252.00,0,2,0
77491,0.00,-0.09,252.00,0,2
77522,0.00,-0.09,252.00,0,2
77553,0.00,-0.09,252.00,0,2
77584,0.00,-0.09,252.00,0,2
77615,0.00,-0.09,252.00,0,2
77646,0.00,-0.09,252.00,0,3
77677,0.00,-0.09,252.00,0,3
77707,0.00,-0.18,251.00,0,2
77738,0.00,-0.18,251.00,0,2
77769,0.00,-0.18,251.00,0,3
77800,0.00,-0.18,251.00,0,2
77831,0.00,-0.18,251.00,0,3
77862,0.00,-0.18,251.00,0,2,0
77893,0.00,-0.18,251.00,0,3
77924,0.00,-0.18,251.00,0,2
77955,0.00,-0.18,251.00,0,2
77985,0.00,-0.18,251.00,0,3
78016,0.00,-0.09,252.00,0,2
78047,0.00,-0.09,252.00,0,3
78078,0.00,-0.09,252.00,0,3
78109,0.00,-0.09,252.00,0,3
78140,0.00,-0.09,252.00,0,2
78171,0.00,-0.09,252.00,0,3
78202,0.00,-0.09,252.00,0,2
78233,0.00,-0.09,252.00,0,3
78264,0.00,-0.18,251.00,0,2
78294,0.00,-0.18,251.00,0,2
78325,0.00,-0.18,251.00,0,3,0
78356,0.00,-0.18,251.00,0,2
78387,0.00,-0.18,251.00,0,3
78418,0.00,-0.18,251.00,0,3
78449,0.00,-0.18,251.00,0,2
78480,0.00,-0.18,251.00,0,2
