time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.68,30.67,253.00,0
252,110.60,123.62,252.00,0
252,206.44,215.95,252.00,0
251,260.88,264.30,252.00,0
251,272.20,271.64,252.00,0
251,262.55,260.98,252.00,0
251,251.63,250.69,252.00,0
251,247.12,247.00,251.00,0
251,247.76,248.01,251.00,0
251,249.91,250.15,251.00,0
251,251.33,251.43,251.00,0
251,251.64,251.63,251.00,0
251,251.23,251.14,251.00,0
251,250.58,250.53,251.00,0
251,250.43,250.45,251.00,0
251,250.63,250.65,251.00,0
251,250.69,250.68,251.00,0
248,250.51,250.46,251.00,0
248,249.80,249.67,250.00,0
251,248.95,248.91,250.00,0
251,249.05,249.12,250.00,0
251,249.84,249.96,250.00,0
251,250.67,250.75,250.00,0
251,250.99,250.99,250.00,0
251,250.89,250.87,250.00,0
251,250.83,250.83,250.00,0
251,250.87,250.88,250.00,0
248,250.81,250.76,250.00,0
251,250.12,250.03,250.00,0
252,249.85,249.90,250.00,0
252,250.61,250.74,251.00,0
252,251.57,251.66,251.00,0
252,252.12,252.15,251.00,0
252,252.22,252.22,251.00,0
252,252.12,252.10,251.00,0
251,251.87,251.81,251.00,0
252,251.38,251.33,251.00,0
249,251.21,251.22,251.00,0
251,251.14,251.11,251.00,0
251,250.74,250.68,251.00,0
251,250.46,250.46,251.00,0
251,250.50,250.51,251.00,0
91958,0.00,0.00,251.00,0,2
91989,0.00,0.00,251.00,0,2
92019,0.00,0.00,251.00,0,2
92050,0.00,0.00,251.00,0,2
92081,0.00,0.00,251.00,0,3
92112,0.00,0.00,251.00,0,2
92143,0.00,0.00,251.00,0,2
92173,0.00,0.00,251.00,0,2
92204,0.00,0.00,251.00,0,2
92235,0.00,0.00,251.00,0,2
92266,0.00,0.00,251.00,0,2
92297,0.00,0.00,251.00,0,2,0
92327,0.00,0.00,251.00,0,3
92358,0.00,0.00,251.00,0,2,0
92389,0.00,0.00,251.00,0,2
92420,0.00,0.00,251.00,0,2,0
92451,0.00,0.00,251.00,0,3
92481,0.00,0.00,251.00,0,2
92512,0.00,0.00,251.00,0,2
92543,0.00,0.00,251.00,0,2
92574,0.00,0.00,251.00,0,2
92605,0.00,0.00,251.00,0,2
92635,0.00,0.00,251.00,0,2
92666,0.00,0.00,251.00,0,2
92697,0.00,0.00,251.00,0,2
92728,0.00,0.00,251.00,0,2
92759,0.00,0.00,251.00,0,1
92789,0.00,0.00,251.00,0,2
92820,0.00,0.00,251.00,0,2,0
92851,0.00,0.00,251.00,0,2
92882,0.00,0.00,251.00,0,2,0
92913,0.00,0.00,251.00,0,2
92943,0.00,0.00,251.00,0,2,0
92974,0.00,0.00,251.00,0,2
93005,0.00,0.00,251.00,0,2
93036,0.00,0.00,251.00,0,2
93067,0.00,0.00,251.00,0,2
