time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.75,30.77,254.00,0
252,111.11,124.22,254.00,0
252,207.47,217.00,253.00,0
252,261.85,265.25,253.00,0
252,273.12,272.58,253.00,0
252,263.68,262.14,253.00,0
253,252.97,252.04,253.00,0
252,248.49,248.37,253.00,0
252,249.15,249.40,253.00,0
252,251.20,251.42,253.00,0
252,252.46,252.53,252.00,0
252,252.72,252.72,252.00,0
254,252.54,252.51,252.00,0
252,252.47,252.46,252.00,0
252,252.39,252.38,252.00,0
253,252.34,252.36,252.00,0
252,252.52,252.54,252.00,0
254,252.53,252.52,252.00,0
252,252.61,252.66,252.00,0
255,252.95,252.98,253.00,0
254,253.19,253.20,253.00,0
252,253.24,253.24,253.00,0
252,253.20,253.16,253.00,0
253,252.86,252.84,253.00,0
252,252.76,252.74,253.00,0
252,252.56,252.52,253.00,0
254,252.25,252.22,253.00,0
252,252.15,252.15,253.00,0
252,252.15,252.15,253.00,0
254,252.15,252.16,253.00,0
252,252.34,252.36,253.00,0
252,252.40,252.39,253.00,0
255,252.29,252.28,252.00,0
252,252.35,252.36,252.00,0
253,252.37,252.36,252.00,0
255,252.34,252.35,252.00,0
255,252.77,252.86,253.00,0
253,253.47,253.51,253.00,0
254,253.53,253.52,253.00,0
252,253.44,253.41,253.00,0
252,253.01,252.94,253.00,0
252,252.48,252.42,253.00,0
28495,0.00,0.00,253.00,0,2
28526,0.00,0.00,253.00,0,2
28557,0.00,0.00,253.00,0,2
28587,0.00,0.00,253.00,0,3
28618,0.00,0.00,253.00,0,3
28649,0.00,0.00,253.00,0,2,0
28680,0.00,0.00,253.00,0,3
28711,0.00,0.00,253.00,0,2,0
28742,0.00,0.00,253.00,0,2
28772,0.00,0.00,253.00,0,3
28803,0.00,0.00,253.00,0,2
28834,0.00,0.00,253.00,0,2
28865,0.00,0.00,253.00,0,2
28896,0.00,0.00,253.00,0,2
28927,0.00,0.00,253.00,0,2
28957,0.00,0.00,253.00,0,2
28988,0.00,0.00,253.00,0,2
29019,0.00,0.00,253.00,0,2
29050,0.00,0.00,253.00,0,3
29081,0.00,0.00,253.00,0,2
29112,0.00,0.00,253.00,0,2,0
29142,0.00,0.00,253.00,0,2
29173,0.00,0.00,253.00,0,2,0
29204,0.00,0.00,253.00,0,2
29235,0.00,0.00,253.00,0,2,0
29266,0.00,0.00,253.00,0,3
29297,0.00,0.00,253.00,0,2
29327,0.00,0.00,253.00,0,2
29358,0.00,0.00,253.00,0,2
29389,0.00,0.00,253.00,0,2
29420,0.00,0.00,253.00,0,2
29451,0.00,0.00,253.00,0,2
29482,0.00,0.00,253.00,0,2
29512,0.00,0.00,253.00,0,2
29543,0.00,0.00,253.00,0,2
29574,0.00,0.00,253.00,0,2
29605,0.00,0.00,253.00,0,2
29636,0.00,0.00,253.00,0,2,0
29667,0.00,0.00,253.00,0,2
29697,0.00,0.00,253.00,0,2,0
29728,0.00,0.00,253.00,0,2
29759,0.00,0.00,253.00,0,2
29790,0.00,0.00,253.00,0,2
29821,0.00,0.00,253.00,0,2
29852,0.00,0.00,253.00,0,2
29882,0.00,0.00,253.00,0,2
29913,0.00,0.00,253.00,0,2
29944,0.00,0.00,253.00,0,2
29975,0.00,0.00,253.00,0,2
30006,0.00,0.00,253.00,0,2
30037,0.00,0.00,253.00,0,3
30067,0.00,0.00,253.00,0,2
30098,0.00,0.00,253.00,0,2
30129,0.00,0.00,253.00,0,2
30160,0.00,0.00,253.00,0,2,0
30191,0.00,0.00,253.00,0,2
30222,0.00,0.00,253.00,0,2,0
30252,0.00,0.00,253.00,0,2
30283,0.00,0.00,253.00,0,2
30314,0.00,0.00,253.00,0,2
30345,0.00,0.00,253.00,0,2
30376,0.00,0.00,253.00,0,3
30407,0.00,0.00,253.00,0,3
30437,0.00,0.00,253.00,0,2
30468,0.00,0.00,253.00,0,2
30499,0.00,0.00,253.00,0,2
30530,0.00,0.00,253.00,0,2
30561,0.00,0.00,253.00,0,2
30592,0.00,0.00,253.00,0,2
30622,0.00,0.00,253.00,0,2,0
30653,0.00,0.00,253.00,0,2
30684,0.00,0.00,253.00,0,2,0
30715,0.00,0.00,253.00,0,2
30746,0.00,0.00,253.00,0,2
30777,0.00,0.00,253.00,0,2
30807,0.00,0.00,253.00,0,2
30838,0.00,0.00,253.00,0,2
30869,0.00,0.00,253.00,0,2
30900,0.00,-0.09,252.00,0,3
30931,0.00,-0.09,252.00,0,2
30962,0.00,-0.09,252.00,0,2
30993,0.00,0.00,253.00,0,2
31024,0.00,0.00,253.00,0,2
31054,0.00,0.00,253.00,0,2
31085,0.00,0.00,253.00,0,2
31116,0.00,0.00,253.00,0,2
31147,0.00,0.00,253.00,0,2,0
31178,0.00,0.00,253.00,0,2
31209,0.00,0.00,253.00,0,2,0
31239,0.00,0.00,253.00,0,2
31270,0.00,-0.09,252.00,0,2
31301,0.00,-0.09,252.00,0,2
31332,0.00,-0.09,252.00,0,2
31363,0.00,-0.09,252.00,0,2
31394,0.00,-0.09,252.00,0,2
31425,0.00,-0.09,252.00,0,2
31456,0.00,-0.09,252.00,0,2
31487,0.00,-0.09,252.00,0,2
31518,0.00,-0.09,252.00,0,2
31549,0.00,-0.09,252.00,0,2
31579,0.00,-0.09,252.00,0,2
31610,0.00,-0.09,252.00,0,2,0
31641,0.00,-0.09,252.00,0,2
31672,0.00,-0.09,252.00,0,3
31703,0.00,-0.09,252.00,0,2
31734,0.00,-0.09,252.00,0,2
31765,0.00,-0.09,252.00,0,2
31796,0.00,-0.09,252.00,0,2
31827,0.00,-0.09,252.00,0,2
31858,0.00,-0.09,252.00,0,2
31889,0.00,-0.09,252.00,0,2
31920,0.00,-0.09,252.00,0,2
31951,0.00,-0.09,252.00,0,2
31981,0.00,-0.09,252.00,0,2
32012,0.00,-0.09,252.00,0,2,0
32043,0.00,-0.09,252.00,0,2
32074,0.00,-0.09,252.00,0,2
32105,0.00,0.00,253.00,0,2
32136,0.00,0.00,253.00,0,2
