time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.62,30.62,253.00,0
254,111.10,124.28,254.00,0
256,208.35,218.05,255.00,0
256,264.18,267.76,255.00,0
256,276.63,276.19,255.00,0
255,267.74,266.23,255.00,0
255,256.96,255.98,255.00,0
255,251.91,251.70,255.00,0
256,252.05,252.28,255.00,0
254,254.28,254.56,255.00,0
258,255.77,255.85,255.00,0
255,256.16,256.17,255.00,0
254,256.03,256.01,256.00,0
256,255.69,255.64,256.00,0
256,255.43,255.43,256.00,0
254,255.50,255.48,255.00,0
256,255.18,255.14,255.00,0
256,255.00,254.99,255.00,0
255,255.07,255.08,255.00,0
252,255.12,255.11,255.00,0
255,254.88,254.85,255.00,0
255,254.69,254.69,255.00,0
254,254.73,254.74,255.00,0
255,254.68,254.68,255.00,0
257,254.62,254.61,255.00,0
254,254.64,254.64,255.00,0
255,254.59,254.60,255.00,0
255,254.74,254.77,255.00,0
255,254.88,254.89,255.00,0
253,254.97,254.99,255.00,0
256,255.08,255.09,255.00,0
255,255.18,255.19,255.00,0
254,255.20,255.20,255.00,0
256,255.09,255.09,255.00,0
256,255.06,255.05,255.00,0
255,255.00,255.00,255.00,0
254,254.97,254.95,255.00,0
256,254.76,254.77,255.00,0
257,255.05,255.12,255.00,0
255,255.62,255.67,255.00,0
255,255.74,255.72,255.00,0
255,255.39,255.34,255.00,0
101924,0.00,0.00,255.00,0,0
101955,0.00,0.00,255.00,0,0
101986,0.00,0.00,255.00,0,0
102017,0.00,0.00,255.00,0,0,0
102048,0.00,0.00,255.00,0,0
102079,0.00,0.00,255.00,0,0,0
102109,0.00,0.00,255.00,0,0
102140,0.00,0.00,255.00,0,0
102171,0.00,0.00,255.00,0,0
102202,0.00,0.00,255.00,0,0
102233,0.00,0.00,255.00,0,0
102264,0.00,0.00,255.00,0,0
102294,0.00,0.00,255.00,0,0
102325,0.00,0.00,255.00,0,0
102356,0.00,0.00,255.00,0,0
102387,0.00,0.00,255.00,0,0
102418,0.00,0.00,255.00,0,0
102449,0.00,0.00,255.00,0,0
102479,0.00,0.00,255.00,0,0
102510,0.00,0.00,255.00,0,0
102541,0.00,0.00,255.00,0,0,0
102572,0.00,0.00,255.00,0,0
102603,0.00,0.00,255.00,0,0
102634,0.00,0.00,255.00,0,0
102665,0.00,0.00,255.00,0,0
102695,0.00,0.00,255.00,0,0
102726,0.00,0.00,255.00,0,0
102757,0.00,0.00,255.00,0,0
102788,0.00,0.00,255.00,0,0
102819,0.00,0.00,255.00,0,0
102850,0.00,0.00,255.00,0,0
102881,0.00,0.00,255.00,0,0
102911,0.00,0.00,255.00,0,0
102942,0.00,0.00,255.00,0,0
102973,0.00,0.00,255.00,0,0
103004,0.00,0.00,255.00,0,0,0
103035,0.00,0.00,255.00,0,0
103066,0.00,0.00,255.00,0,0,0
103096,0.00,0.00,255.00,0,0
103127,0.00,0.00,255.00,0,0
103158,0.00,0.00,255.00,0,0
103189,0.00,0.00,255.00,0,0
103220,0.00,0.00,255.00,0,0
103251,0.00,0.00,255.00,0,0
103281,0.00,0.00,255.00,0,0
103312,0.00,0.00,255.00,0,0
103343,0.00,0.00,255.00,0,0
103374,0.00,0.00,255.00,0,0
103405,0.00,0.00,255.00,0,0
103436,0.00,0.00,255.00,0,0
103466,0.00,0.00,255.00,0,0
103497,0.00,0.00,255.00,0,0
103528,0.00,0.00,255.00,0,0,0
103559,0.00,0.00,255.00,0,0
103590,0.00,0.00,255.00,0,0
103621,0.00,0.00,255.00,0,0
103652,0.00,0.00,255.00,0,0
103682,0.00,0.00,255.00,0,0
103713,0.00,0.00,255.00,0,0
103744,0.00,0.00,255.00,0,0
103775,0.00,0.00,255.00,0,0
103806,0.00,0.00,255.00,0,0
103837,0.00,0.00,255.00,0,0
103867,0.00,0.00,255.00,0,0
103898,0.00,0.00,255.00,0,0
103929,0.00,0.00,255.00,0,0
103960,0.00,0.00,255.00,0,0
103991,0.00,0.00,255.00,0,0,0
104022,0.00,0.00,255.00,0,0
104052,0.00,0.00,255.00,0,0,0
104083,0.00,0.00,255.00,0,0
104114,0.00,0.00,255.00,0,0
104145,0.00,0.00,255.00,0,0
104176,0.00,0.00,255.00,0,0
104207,0.00,0.00,255.00,0,0
104237,0.00,0.00,255.00,0,0
104268,0.00,0.00,255.00,0,0
104299,0.00,0.00,255.00,0,0
104330,0.00,0.00,255.00,0,0
104361,0.00,0.00,255.00,0,0
104392,0.00,0.00,255.00,0,0
104423,0.00,0.00,255.00,0,0
104454,0.00,0.00,255.00,0,0
104484,0.00,0.00,255.00,0,0
104515,0.00,0.00,255.00,0,0,0
104546,0.00,0.00,255.00,0,0
104577,0.00,0.00,255.00,0,0
104608,0.00,0.00,255.00,0,0
104639,0.00,0.00,255.00,0,0
104669,0.00,0.00,255.00,0,0
104700,0.00,0.00,255.00,0,0
104731,0.00,0.00,255.00,0,0
104762,0.00,0.00,255.00,0,0
104793,0.00,0.00,255.00,0,0
104824,0.00,0.00,255.00,0,0
104854,0.00,0.00,255.00,0,0
104885,0.00,0.00,255.00,0,0
104916,0.00,0.00,255.00,0,0
104947,0.00,0.00,255.00,0,0
104978,0.00,0.00,255.00,0,0,0
105009,0.00,0.00,255.00,0,0
105039,0.00,0.00,255.00,0,0,0
105070,0.00,0.00,255.00,0,0
105101,0.00,0.00,255.00,0,0
105132,0.00,0.00,255.00,0,0
105163,0.00,0.00,255.00,0,0
105194,0.00,0.00,255.00,0,0
105225,0.00,0.00,255.00,0,0
105255,0.00,0.00,255.00,0,0
105286,0.00,0.00,255.00,0,0
105317,0.00,0.00,255.00,0,0
105348,0.00,0.00,255.00,0,0
105379,0.00,0.00,255.00,0,0
105410,0.00,0.00,255.00,0,0
105440,0.00,0.00,255.00,0,0,0
105471,0.00,0.00,255.00,0,0
105502,0.00,0.00,255.00,0,0,0
105533,0.00,0.00,255.00,0,0
105564,0.00,0.00,255.00,0,0
105595,0.00,0.00,255.00,0,0
105625,0.00,0.00,255.00,0,0
105656,0.00,0.00,255.00,0,0
105687,0.00,0.00,255.00,0,0
105718,0.00,0.00,255.00,0,0
105749,0.00,0.00,255.00,0,0
105780,0.00,0.00,255.00,0,0
105810,0.00,0.00,255.00,0,0
105841,0.00,0.00,255.00,0,0
105872,0.00,0.00,255.00,0,0
105903,0.00,0.00,255.00,0,0
105934,0.00,0.00,255.00,0,0
105965,0.00,0.00,255.00,0,0,0
105995,0.00,0.00,255.00,0,0
106026,0.00,0.00,255.00,0,0,0
106057,0.00,0.00,255.00,0,0
106088,0.00,0.00,255.00,0,0
106119,0.00,0.00,255.00,0,0
106150,0.00,0.00,255.00,0,0
106181,0.00,0.00,255.00,0,0
106211,0.00,0.00,255.00,0,0
106242,0.00,0.00,255.00,0,0
106273,0.00,0.00,255.00,0,0
106304,0.00,0.00,255.00,0,0
106335,0.00,0.00,255.00,0,0
106366,0.00,0.00,255.00,0,0
106396,0.00,0.00,255.00,0,0
106427,0.00,0.00,255.00,0,0
106458,0.00,0.00,255.00,0,0
106489,0.00,0.00,255.00,0,0,0
106520,0.00,0.00,255.00,0,0
106551,0.00,0.00,255.00,0,0
106581,0.00,0.00,255.00,0,0
106612,0.00,0.00,255.00,0,0
106643,0.00,0.00,255.00,0,0
106674,0.00,0.00,255.00,0,0
106705,0.00,0.00,255.00,0,0
106736,0.00,0.00,255.00,0,0
106766,0.00,0.00,255.00,0,0
106797,0.00,0.00,255.00,0,0
106828,0.00,0.00,255.00,0,0
106859,0.00,0.00,255.00,0,0
106890,0.00,0.00,255.00,0,0
106921,0.00,0.00,255.00,0,0
106952,0.00,0.00,255.00,0,0,0
106982,0.00,0.00,255.00,0,0
107013,0.00,0.00,255.00,0,0,0
107044,0.00,0.00,255.00,0,0
107075,0.00,0.00,255.00,0,0
107106,0.00,0.00,255.00,0,0
107137,0.00,0.00,255.00,0,0
107167,0.00,0.00,255.00,0,0
107198,0.00,0.00,255.00,0,0
107229,0.00,0.00,255.00,0,0
107260,0.00,0.00,255.00,0,0
107291,0.00,0.00,255.00,0,0
107322,0.00,0.00,255.00,0,0
107352,0.00,0.00,255.00,0,0
107383,0.00,0.00,255.00,0,0
107414,0.00,0.00,255.00,0,0
107445,0.00,0.00,255.00,0,0
107476,0.00,0.00,255.00,0,0,0
107507,0.00,0.00,255.00,0,0
107537,0.00,0.00,255.00,0,0
107568,0.00,0.00,255.00,0,0
107599,0.00,0.00,255.00,0,0
107630,0.00,0.00,255.00,0,0
107661,0.00,0.00,255.00,0,0
107692,0.00,0.00,255.00,0,0
107723,0.00,0.00,255.00,0,0
107753,0.00,0.00,255.00,0,0
107784,0.00,0.00,255.00,0,0
107815,0.00,0.00,255.00,0,0
107846,0.00,0.00,255.00,0,0
107877,0.00,0.00,255.00,0,0
107908,0.00,0.00,255.00,0,0
107938,0.00,0.00,255.00,0,0
107969,0.00,0.00,255.00,0,0
108000,0.00,0.00,255.00,0,0,0
108031,0.00,0.00,255.00,0,0
108062,0.00,0.00,255.00,0,0
108093,0.00,0.00,255.00,0,0
108123,0.00,0.00,255.00,0,0
108154,0.00,0.00,255.00,0,0
108185,0.00,0.00,255.00,0,0
108216,0.00,0.00,255.00,0,0
108247,0.00,0.00,255.00,0,0
108278,0.00,0.00,255.00,0,0
108309,0.00,0.00,255.00,0,0
108339,0.00,0.00,255.00,0,0
108370,0.00,0.00,255.00,0,0
108401,0.00,0.00,255.00,0,0
108432,0.00,0.00,255.00,0,0
108463,0.00,0.00,255.00,0,0,0
108494,0.00,0.00,255.00,0,0
108525,0.00,0.00,255.00,0,0
108555,0.00,0.00,255.00,0,0
108586,0.00,0.00,255.00,0,0
108617,0.00,0.00,255.00,0,0
108648,0.00,0.00,255.00,0,0
108679,0.00,0.00,255.00,0,0
108710,0.00,0.00,255.00,0,0
108740,0.00,0.00,255.00,0,0
108771,0.00,0.00,255.00,0,0
108802,0.00,0.00,255.00,0,0
108833,0.00,0.00,255.00,0,0
108864,0.00,0.00,255.00,0,0
108895,0.00,0.00,255.00,0,0
108925,0.00,0.00,255.00,0,0
108956,0.00,0.00,255.00,0,0
108987,0.00,0.00,255.00,0,0,0
109018,0.00,0.00,255.00,0,0
109049,0.00,0.00,255.00,0,0
109080,0.00,0.00,255.00,0,0
109110,0.00,0.00,255.00,0,0
109141,0.00,0.00,255.00,0,0
109172,0.00,0.00,255.00,0,0
109203,0.00,0.00,255.00,0,0
109234,0.00,0.00,255.00,0,0
109265,0.00,0.00,255.00,0,0
109296,0.00,0.00,255.00,0,0
109326,0.00,0.00,255.00,0,0
109357,0.00,0.00,255.00,0,0
109388,0.00,0.00,255.00,0,0
109419,0.00,0.00,255.00,0,0
109450,0.00,0.00,255.00,0,0,0
109481,0.00,0.00,255.00,0,0
109511,0.00,0.00,255.00,0,0
109542,0.00,0.00,255.00,0,0
109573,0.00,0.00,255.00,0,0
109604,0.00,0.00,255.00,0,0
109635,0.00,0.00,255.00,0,0
109666,0.00,0.00,255.00,0,0
109696,0.00,0.00,255.00,0,0
109727,0.00,0.00,255.00,0,0
109758,0.00,0.00,255.00,0,0
109789,0.00,0.00,255.00,0,0
109820,0.00,0.00,255.00,0,0
109851,0.00,0.00,255.00,0,0
109881,0.00,0.00,255.00,0,0
109912,0.00,0.00,255.00,0,0
109943,0.00,0.00,255.00,0,0
109974,0.00,0.00,255.00,0,0,0
110005,0.00,0.00,255.00,0,0
110036,0.00,0.00,255.00,0,0
110067,0.00,0.00,255.00,0,0
