time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.61,30.60,253.00,0
252,110.76,123.85,253.00,0
253,207.15,216.75,253.00,0
254,262.19,265.66,253.00,0
252,274.00,273.50,253.00,0
252,264.83,263.33,253.00,0
255,254.40,253.50,253.00,0
254,250.21,250.10,253.00,0
252,250.76,250.98,253.00,0
253,252.61,252.83,254.00,0
253,253.87,253.94,253.00,0
252,254.13,254.13,253.00,0
252,253.89,253.86,254.00,0
255,253.61,253.58,254.00,0
254,253.46,253.44,254.00,0
252,253.39,253.42,254.00,0
254,253.56,253.57,254.00,0
255,253.69,253.68,254.00,0
252,253.69,253.70,254.00,0
253,253.67,253.67,254.00,0
255,253.65,253.63,254.00,0
252,253.56,253.55,254.00,0
252,253.32,253.29,254.00,0
255,253.18,253.17,254.00,0
254,253.35,253.38,254.00,0
252,253.64,253.68,254.00,0
253,253.74,253.74,254.00,0
255,253.62,253.57,253.00,0
252,253.37,253.35,253.00,0
253,253.29,253.29,253.00,0
255,253.27,253.26,253.00,0
252,253.22,253.21,253.00,0
252,253.09,253.10,253.00,0
255,253.20,253.22,253.00,0
255,253.42,253.43,253.00,0
252,253.47,253.47,253.00,0
253,253.31,253.28,253.00,0
255,253.14,253.11,253.00,0
254,252.96,252.94,253.00,0
252,252.99,253.03,253.00,0
255,253.18,253.18,253.00,0
254,253.31,253.33,253.00,0
54191,0.00,0.00,253.00,0,0
54222,0.00,0.00,253.00,0,0
54253,0.00,0.00,253.00,0,0
54283,0.00,0.00,253.00,0,0
54314,0.00,0.00,253.00,0,0
54345,0.00,0.00,253.00,0,0
54376,0.00,0.00,253.00,0,0
54407,0.00,0.00,253.00,0,0
54437,0.00,0.00,253.00,0,0
54468,0.00,0.00,253.00,0,0
54499,0.00,0.00,253.00,0,0
54530,0.00,0.00,253.00,0,0
54561,0.00,0.00,253.00,0,0,0
54591,0.00,0.00,253.00,0,0
54622,0.00,0.00,253.00,0,0,0
54653,0.00,0.00,253.00,0,0
54684,0.00,0.00,253.00,0,0,0
54715,0.00,0.00,253.00,0,0
54745,0.00,0.00,253.00,0,0
54776,0.00,0.00,253.00,0,0
54807,0.00,0.00,253.00,0,0
54838,0.00,0.00,253.00,0,0
54869,0.00,0.00,253.00,0,0
54900,0.00,0.00,253.00,0,0
54930,0.00,0.00,253.00,0,0
54961,0.00,0.00,253.00,0,0
54992,0.00,0.00,253.00,0,0
55023,0.00,0.00,253.00,0,0
55054,0.00,0.00,253.00,0,0
55084,0.00,0.00,253.00,0,0,0
55115,0.00,0.09,254.00,0,0
55146,0.00,0.00,253.00,0,0,0
55177,0.00,0.00,253.00,0,0
55208,0.00,0.00,253.00,0,0,0
55238,0.00,0.09,254.00,0,0
55269,0.00,0.09,254.00,0,0
55300,0.00,0.09,254.00,0,0
55331,0.00,0.00,253.00,0,0
55362,0.00,0.00,253.00,0,0
55392,0.00,0.09,254.00,0,0
55423,0.00,0.09,254.00,0,0
55454,0.00,0.09,254.00,0,0
55485,0.00,0.09,254.00,0,0
55516,0.00,0.09,254.00,0,0
55546,0.00,0.00,253.00,0,0
55577,0.00,0.09,254.00,0,0
55608,0.00,0.09,254.00,0,0,0
55639,0.00,0.09,254.00,0,0
55670,0.00,0.09,254.00,0,0,0
55700,0.00,0.00,253.00,0,0
55731,0.00,0.00,253.00,0,0,0
55762,0.00,0.09,254.00,0,0
55793,0.00,0.09,254.00,0,0
55824,0.00,0.00,253.00,0,0
55855,0.00,0.00,253.00,0,0
55885,0.00,0.00,253.00,0,0
55916,0.00,0.09,254.00,0,0
55947,0.00,0.09,254.00,0,0
55978,0.00,0.09,254.00,0,0
56009,0.00,0.00,253.00,0,0
56039,0.00,0.00,253.00,0,0
56070,0.00,0.09,254.00,0,0
56101,0.00,0.09,254.00,0,0
56132,0.00,0.00,253.00,0,0,0
56163,0.00,0.00,253.00,0,0
56193,0.00,0.00,253.00,0,0,0
56224,0.00,0.00,253.00,0,0
56255,0.00,0.09,254.00,0,0,0
56286,0.00,0.09,254.00,0,0
56317,0.00,0.00,253.00,0,0
56347,0.00,0.00,253.00,0,0
56378,0.00,0.00,253.00,0,0
56409,0.00,0.00,253.00,0,0
56440,0.00,0.00,253.00,0,0
56471,0.00,0.00,253.00,0,0
56501,0.00,0.00,253.00,0,0
56532,0.00,0.00,253.00,0,0
56563,0.00,0.00,253.00,0,0
56594,0.00,0.00,253.00,0,0
56625,0.00,0.00,253.00,0,0
56655,0.00,0.00,253.00,0,0,0
56686,0.00,0.00,253.00,0,0
56717,0.00,0.00,253.00,0,0,0
56748,0.00,0.00,253.00,0,0
56779,0.00,0.00,253.00,0,0,0
56810,0.00,0.00,253.00,0,0
56840,0.00,0.00,253.00,0,0
56871,0.00,0.00,253.00,0,0
56902,0.00,0.00,253.00,0,0
56933,0.00,0.00,253.00,0,0
56964,0.00,0.00,253.00,0,0
56994,0.00,0.00,253.00,0,0
57025,0.00,0.00,253.00,0,0
57056,0.00,0.00,253.00,0,0
57087,0.00,0.00,253.00,0,0
57118,0.00,0.00,253.00,0,0
57148,0.00,0.00,253.00,0,0
57179,0.00,0.00,253.00,0,0,0
57210,0.00,0.00,253.00,0,0
57241,0.00,0.00,253.00,0,0,0
57272,0.00,0.00,253.00,0,0
57302,0.00,0.00,253.00,0,0,0
57333,0.00,0.00,253.00,0,0
57364,0.00,0.00,253.00,0,0
57395,0.00,0.00,253.00,0,0
57426,0.00,0.00,253.00,0,0
57456,0.00,0.00,253.00,0,0
57487,0.00,0.00,253.00,0,0
57518,0.00,0.00,253.00,0,0
57549,0.00,0.00,253.00,0,0
57580,0.00,0.00,253.00,0,0
57610,0.00,0.00,253.00,0,0
57641,0.00,0.00,253.00,0,0
57672,0.00,0.00,253.00,0,0
57703,0.00,0.00,253.00,0,0,0
57734,0.00,0.00,253.00,0,0
57764,0.00,0.00,253.00,0,0,0
57795,0.00,0.00,253.00,0,0
57826,0.00,0.00,253.00,0,0,0
57857,0.00,0.00,253.00,0,0
57888,0.00,0.00,253.00,0,0
57918,0.00,0.00,253.00,0,0
57949,0.00,0.00,253.00,0,0
57980,0.00,0.00,253.00,0,0
58011,0.00,0.00,253.00,0,0
58042,0.00,0.00,253.00,0,0
58072,0.00,0.00,253.00,0,0
58103,0.00,0.00,253.00,0,0
58134,0.00,0.00,253.00,0,0
58165,0.00,0.00,253.00,0,0
58196,0.00,0.00,253.00,0,0
58226,0.00,0.00,253.00,0,0
58257,0.00,0.00,253.00,0,0
58288,0.00,0.00,253.00,0,0,0
58319,0.00,0.00,253.00,0,0
58350,0.00,0.00,253.00,0,0,0
58380,0.00,0.00,253.00,0,0
58411,0.00,0.00,253.00,0,0
58442,0.00,0.00,253.00,0,0
58473,0.00,0.00,253.00,0,0
58504,0.00,0.00,253.00,0,0
58535,0.00,0.00,253.00,0,0
58565,0.00,0.00,253.00,0,0
58596,0.00,0.00,253.00,0,0
58627,0.00,0.00,253.00,0,0
58658,0.00,0.00,253.00,0,0
58689,0.00,0.00,253.00,0,0
58719,0.00,0.00,253.00,0,0
58750,0.00,0.00,253.00,0,0,0
58781,0.00,0.00,253.00,0,0
58812,0.00,0.00,253.00,0,0,0
58843,0.00,0.00,253.00,0,0
58873,0.00,0.00,253.00,0,0,0
58904,0.00,0.09,254.00,0,0
58935,0.00,0.09,254.00,0,0
58966,0.00,0.00,253.00,0,0
58997,0.00,0.00,253.00,0,0
59027,0.00,0.00,253.00,0,0
59058,0.00,0.09,254.00,0,0
59089,0.00,0.09,254.00,0,0
59120,0.00,0.09,254.00,0,0
59151,0.00,0.09,254.00,0,0
59181,0.00,0.09,254.00,0,0
59212,0.00,0.09,254.00,0,0
59243,0.00,0.09,254.00,0,0
59274,0.00,0.09,254.00,0,0,0
59305,0.00,0.09,254.00,0,0
59336,0.00,0.09,254.00,0,0,0
59366,0.00,0.09,254.00,0,0
59397,0.00,0.09,254.00,0,0,0
59428,0.00,0.09,254.00,0,0
59459,0.00,0.09,254.00,0,0
59490,0.00,0.09,254.00,0,0
59520,0.00,0.09,254.00,0,0
59551,0.00,0.09,254.00,0,0
59582,0.00,0.09,254.00,0,0
59613,0.00,0.09,254.00,0,0
59644,0.00,0.09,254.00,0,0
59674,0.00,0.09,254.00,0,0
59705,0.00,0.09,254.00,0,0
59736,0.00,0.09,254.00,0,0
59767,0.00,0.09,254.00,0,0
59798,0.00,0.09,254.00,0,0,0
59828,0.00,0.09,254.00,0,0
59859,0.00,0.09,254.00,0,0,0
59890,0.00,0.09,254.00,0,0
59921,0.00,0.09,254.00,0,0,0
59952,0.00,0.09,254.00,0,0
59982,0.00,0.09,254.00,0,0
60013,0.00,0.09,254.00,0,0
60044,0.00,0.09,254.00,0,0
60075,0.00,0.09,254.00,0,0
60106,0.00,0.09,254.00,0,0
60136,0.00,0.09,254.00,0,0
60167,0.00,0.09,254.00,0,0
60198,0.00,0.09,254.00,0,0
60229,0.00,0.09,254.00,0,0
