time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.66,30.65,253.00,0
255,110.63,123.68,253.00,0
255,207.06,216.70,254.00,0
255,262.55,266.07,254.00,0
255,274.58,274.09,254.00,0
255,265.60,264.13,254.00,0
255,255.42,254.55,254.00,0
252,251.28,251.15,254.00,0
255,251.54,251.72,254.00,0
255,253.30,253.52,254.00,0
255,254.70,254.80,254.00,0
255,255.08,255.08,254.00,0
255,254.93,254.88,254.00,0
255,254.61,254.57,254.00,0
255,254.38,254.38,254.00,0
252,254.49,254.51,254.00,0
255,254.57,254.57,255.00,0
255,254.58,254.58,255.00,0
255,254.54,254.54,255.00,0
252,254.55,254.54,254.00,0
253,254.18,254.09,254.00,0
255,253.53,253.49,254.00,0
252,253.52,253.54,254.00,0
252,253.62,253.65,254.00,0
254,253.76,253.77,254.00,0
255,253.80,253.83,254.00,0
252,254.13,254.16,254.00,0
255,254.15,254.14,254.00,0
255,254.19,254.22,254.00,0
255,254.44,254.45,254.00,0
255,254.36,254.34,254.00,0
255,254.37,254.39,254.00,0
252,254.61,254.64,254.00,0
254,254.57,254.53,254.00,0
255,254.14,254.08,254.00,0
255,253.89,253.90,254.00,0
255,254.14,254.16,254.00,0
255,254.21,254.22,254.00,0
255,254.32,254.34,254.00,0
252,254.48,254.47,254.00,0
255,253.97,253.85,254.00,0
255,253.12,253.04,254.00,0
45277,0.00,0.00,254.00,0,5
45308,0.00,0.00,254.00,0,5
45339,0.00,0.00,254.00,0,6
45369,0.00,0.00,254.00,0,5
45400,0.00,0.00,254.00,0,5
45431,0.00,0.00,254.00,0,5
45462,0.00,0.00,254.00,0,5
45493,0.00,0.00,254.00,0,5
45523,0.00,0.00,254.00,0,5,0
45554,0.00,0.00,254.00,0,5
45585,0.00,0.00,254.00,0,5,0
45616,0.00,0.00,254.00,0,5
45647,0.00,0.00,254.00,0,5,0
45677,0.00,0.00,254.00,0,5
45708,0.00,0.00,254.00,0,5
45739,0.00,0.00,254.00,0,5
45770,0.00,0.00,254.00,0,5
45801,0.00,0.00,254.00,0,5
45831,0.00,0.00,254.00,0,5
45862,0.00,0.00,254.00,0,5
45893,0.00,0.00,254.00,0,5
45924,0.00,0.00,254.00,0,5
45955,0.00,0.00,254.00,0,5
45985,0.00,0.00,254.00,0,5
46016,0.00,0.00,254.00,0,5
46047,0.00,0.00,254.00,0,5
46078,0.00,0.00,254.00,0,5
46109,0.00,0.00,254.00,0,5,0
46139,0.00,0.00,254.00,0,5
46170,0.00,0.00,254.00,0,5,0
46201,0.00,0.00,254.00,0,5
46232,0.00,0.00,254.00,0,5
46263,0.00,0.00,254.00,0,5
46293,0.00,0.00,254.00,0,5
46324,0.00,0.00,254.00,0,5
46355,0.00,0.00,254.00,0,5
46386,0.00,0.00,254.00,0,5
46417,0.00,0.00,254.00,0,5
46447,0.00,0.00,254.00,0,5
46478,0.00,0.00,254.00,0,5
46509,0.00,0.00,254.00,0,5
46540,0.00,0.00,254.00,0,5
46571,0.00,0.00,254.00,0,5
46601,0.00,0.00,254.00,0,5
46632,0.00,0.00,254.00,0,5,0
46663,0.00,0.00,254.00,0,5
46694,0.00,0.00,254.00,0,5,0
46725,0.00,0.00,254.00,0,5
46755,0.00,0.00,254.00,0,5
46786,0.00,0.00,254.00,0,5
46817,0.00,0.00,254.00,0,5
46848,0.00,0.00,254.00,0,6
46879,0.00,0.00,254.00,0,5
46909,0.00,0.00,254.00,0,5
46940,0.00,0.00,254.00,0,5
46971,0.00,0.00,254.00,0,6
47002,0.00,0.00,254.00,0,5
47033,0.00,0.00,254.00,0,5
47063,0.00,0.00,254.00,0,5
47094,0.00,0.00,254.00,0,5
47125,0.00,0.00,254.00,0,5
47156,0.00,0.00,254.00,0,5,0
47187,0.00,0.00,254.00,0,5
47217,0.00,0.00,254.00,0,5,0
47248,0.00,0.00,254.00,0,5
47279,0.00,0.00,254.00,0,5
47310,0.00,0.00,254.00,0,5
47341,0.00,0.00,254.00,0,5
47371,0.00,0.00,254.00,0,6
47402,0.00,0.00,254.00,0,5
47433,0.00,0.00,254.00,0,6
47464,0.00,0.00,254.00,0,5
47495,0.00,0.00,254.00,0,6
47525,0.00,0.00,254.00,0,5
47556,0.00,0.00,254.00,0,5
47587,0.00,0.00,254.00,0,5
47618,0.00,0.00,254.00,0,5
47649,0.00,0.00,254.00,0,3
47679,0.00,0.00,254.00,0,5,0
47710,0.00,0.00,254.00,0,5
47741,0.00,0.00,254.00,0,5,0
47772,0.00,0.00,254.00,0,5
47803,0.00,0.00,254.00,0,5
47833,0.00,0.00,254.00,0,5
47864,0.00,0.00,254.00,0,5
47895,0.00,0.00,254.00,0,5
47926,0.00,0.00,254.00,0,5
47957,0.00,0.00,254.00,0,5
47988,0.00,0.00,254.00,0,5
48018,0.00,0.00,254.00,0,5
48049,0.00,0.00,254.00,0,5
48080,0.00,0.00,254.00,0,5
48111,0.00,0.00,254.00,0,5
48142,0.00,0.00,254.00,0,6
48173,0.00,0.00,254.00,0,5
48203,0.00,0.00,254.00,0,5,0
48234,0.00,0.00,254.00,0,5
48265,0.00,0.00,254.00,0,5,0
48296,0.00,0.00,254.00,0,5
48327,0.00,0.00,254.00,0,5
48358,0.00,0.00,254.00,0,5
48388,0.00,0.00,254.00,0,6
48419,0.00,0.00,254.00,0,5
48450,0.00,0.00,254.00,0,5
48481,0.00,0.00,254.00,0,5
48512,0.00,0.00,254.00,0,5
48543,0.00,0.00,254.00,0,5
48573,0.00,0.00,254.00,0,5
48604,0.00,0.00,254.00,0,5
48635,0.00,0.00,254.00,0,5
48666,0.00,0.00,254.00,0,5,0
48697,0.00,0.00,254.00,0,5
48728,0.00,0.00,254.00,0,5,0
48758,0.00,0.00,254.00,0,6
48789,0.00,0.00,254.00,0,5
48820,0.00,0.00,254.00,0,5
48851,0.00,0.00,254.00,0,5
48882,0.00,0.00,254.00,0,5
48913,0.00,0.00,254.00,0,5
48944,0.00,0.00,254.00,0,6
48974,0.00,0.00,254.00,0,5
49005,0.00,0.00,254.00,0,5
49036,0.00,0.00,254.00,0,5
49067,0.00,0.00,254.00,0,5
49098,0.00,0.00,254.00,0,5
49129,0.00,0.00,254.00,0,5,0
49159,0.00,0.00,254.00,0,5
49190,0.00,0.00,254.00,0,6,0
49221,0.00,0.00,254.00,0,5
49252,0.00,0.00,254.00,0,5,0
49283,0.00,0.00,254.00,0,6
49314,0.00,0.00,254.00,0,5
49344,0.00,0.00,254.00,0,6
49375,0.00,0.00,254.00,0,5
49406,0.00,0.00,254.00,0,5
49437,0.00,0.00,254.00,0,5
49468,0.00,0.00,254.00,0,5
49499,0.00,0.00,254.00,0,6
49529,0.00,0.00,254.00,0,5
49560,0.00,0.00,254.00,0,5
49591,0.00,0.00,254.00,0,5
49622,0.00,0.00,254.00,0,5
49653,0.00,0.00,254.00,0,5,0
49684,0.00,0.00,254.00,0,5
49715,0.00,0.00,254.00,0,5,0
49745,0.00,0.00,254.00,0,5
49776,0.00,0.00,254.00,0,6
49807,0.00,0.00,254.00,0,5
49838,0.00,0.00,254.00,0,5
49869,0.00,0.00,254.00,0,5
49900,0.00,0.00,254.00,0,5
49930,0.00,0.00,254.00,0,5
49961,0.00,0.00,254.00,0,5
49992,0.00,0.00,254.00,0,5
50023,0.00,0.00,254.00,0,5
50054,0.00,0.00,254.00,0,5
50085,0.00,0.00,254.00,0,5
50115,0.00,0.00,254.00,0,5
50146,0.00,0.00,254.00,0,5
50177,0.00,0.00,254.00,0,5,0
50208,0.00,0.00,254.00,0,5
50239,0.00,0.00,254.00,0,5,0
50270,0.00,0.00,254.00,0,5
50300,0.00,0.00,254.00,0,5
50331,0.00,0.00,254.00,0,6
50362,0.00,0.00,254.00,0,5
50393,0.00,0.00,254.00,0,5
50424,0.00,0.00,254.00,0,5
50455,0.00,0.00,254.00,0,5
50485,0.00,0.00,254.00,0,5
50516,0.00,0.09,255.00,0,5
50547,0.00,0.09,255.00,0,5
50578,0.00,0.09,255.00,0,5
50609,0.00,0.09,255.00,0,5
50640,0.00,0.09,255.00,0,5,0
50670,0.00,0.09,255.00,0,5
50701,0.00,0.09,255.00,0,5,0
50732,0.00,0.09,255.00,0,5
50763,0.00,0.09,255.00,0,5
50794,0.00,0.00,254.00,0,5
50825,0.00,0.00,254.00,0,5
50856,0.00,0.00,254.00,0,5
50886,0.00,0.00,254.00,0,5
50917,0.00,0.00,254.00,0,5
50948,0.00,0.00,254.00,0,5
50979,0.00,0.00,254.00,0,5
51010,0.00,0.00,254.00,0,5
51041,0.00,0.00,254.00,0,5
51071,0.00,0.00,254.00,0,6
51102,0.00,0.00,254.00,0,5
51133,0.00,0.00,254.00,0,5
51164,0.00,0.00,254.00,0,5,0
51195,0.00,0.00,254.00,0,5
51226,0.00,0.00,254.00,0,5,0
51256,0.00,0.00,254.00,0,5
51287,0.00,0.00,254.00,0,5
51318,0.00,0.00,254.00,0,5
51349,0.00,0.00,254.00,0,5
51380,0.00,0.00,254.00,0,6
51411,0.00,0.00,254.00,0,6
51441,0.00,0.00,254.00,0,5
51472,0.00,0.00,254.00,0,5
51503,0.00,0.00,254.00,0,5
51534,0.00,0.00,254.00,0,5
51565,0.00,0.00,254.00,0,5
51596,0.00,0.00,254.00,0,5
51626,0.00,0.00,254.00,0,5,0
51657,0.00,0.00,254.00,0,5
51688,0.00,0.00,254.00,0,5,0
51719,0.00,0.00,254.00,0,6
51750,0.00,0.00,254.00,0,5,0
51781,0.00,0.00,254.00,0,5
51812,0.00,0.00,254.00,0,6
51842,0.00,0.00,254.00,0,5
51873,0.00,0.00,254.00,0,5
51904,0.00,0.00,254.00,0,5
51935,0.00,0.00,254.00,0,5
51966,0.00,0.00,254.00,0,5
51997,0.00,0.00,254.00,0,5
52027,0.00,0.00,254.00,0,5
52058,0.00,0.00,254.00,0,5
52089,0.00,0.00,254.00,0,5
52120,0.00,0.00,254.00,0,5
52151,0.00,0.00,254.00,0,5,0
52182,0.00,0.00,254.00,0,5
52212,0.00,0.00,254.00,0,5,0
52243,0.00,0.00,254.00,0,5
52274,0.00,0.00,254.00,0,5
52305,0.00,0.00,254.00,0,5
52336,0.00,0.00,254.00,0,5
52367,0.00,0.00,254.00,0,5
52397,0.00,0.00,254.00,0,5
52428,0.00,0.00,254.00,0,5
52459,0.00,0.00,254.00,0,5
52490,0.00,0.00,254.00,0,5
52521,0.00,0.00,254.00,0,5
52552,0.00,0.00,254.00,0,5
52583,0.00,0.00,254.00,0,5
52613,0.00,0.00,254.00,0,5
52644,0.00,0.00,254.00,0,5
52675,0.00,0.00,254.00,0,6,0
52706,0.00,0.00,254.00,0,5
52737,0.00,0.00,254.00,0,5,0
52768,0.00,0.00,254.00,0,5
52798,0.00,0.00,254.00,0,5
52829,0.00,0.00,254.00,0,6
52860,0.00,0.00,254.00,0,5
52891,0.00,0.00,254.00,0,5
52922,0.00,0.00,254.00,0,5
52953,0.00,0.00,254.00,0,5
52983,0.00,0.00,254.00,0,5
53014,0.00,0.00,254.00,0,6
53045,0.00,0.00,254.00,0,5
53076,0.00,0.00,254.00,0,6
53107,0.00,0.00,254.00,0,5
53138,0.00,0.00,254.00,0,6,0
53168,0.00,0.00,254.00,0,5
53199,0.00,0.00,254.00,0,5,0
53230,0.00,0.00,254.00,0,5
53261,0.00,0.00,254.00,0,5
