time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.72,30.73,254.00,0
255,110.86,123.90,253.00,0
255,207.10,216.71,254.00,0
252,262.44,265.96,254.00,0
255,274.34,273.81,254.00,0
252,264.90,263.33,253.00,0
255,253.91,252.94,253.00,0
254,249.42,249.33,253.00,0
253,250.48,250.79,254.00,0
253,252.84,253.06,253.00,0
252,253.93,253.95,253.00,0
252,253.58,253.48,253.00,0
252,252.68,252.57,253.00,0
252,252.00,251.95,253.00,0
252,251.93,251.98,253.00,0
253,252.32,252.35,253.00,0
252,252.59,252.62,253.00,0
252,252.68,252.68,253.00,0
255,252.64,252.63,253.00,0
252,252.79,252.86,253.00,0
252,253.26,253.28,253.00,0
252,253.09,253.03,253.00,0
252,252.52,252.45,253.00,0
252,252.13,252.12,253.00,0
252,252.07,252.07,253.00,0
252,252.13,252.15,253.00,0
252,252.39,252.44,253.00,0
252,252.73,252.75,253.00,0
252,252.66,252.62,253.00,0
252,252.33,252.29,253.00,0
252,252.11,252.10,252.00,0
255,252.03,252.02,252.00,0
255,252.36,252.47,253.00,0
252,253.39,253.50,253.00,0
252,253.71,253.67,253.00,0
252,253.08,252.98,253.00,0
252,252.42,252.38,253.00,0
251,252.14,252.09,252.00,0
252,251.84,251.83,252.00,0
252,251.94,252.00,253.00,0
252,252.58,252.67,253.00,0
252,252.98,252.98,253.00,0
31610,0.00,0.00,253.00,0,3
31641,0.00,0.00,253.00,0,2
31671,0.00,0.00,253.00,0,2
31702,0.00,0.00,253.00,0,3
31733,0.00,0.00,253.00,0,2
31764,0.00,0.00,253.00,0,3
31795,0.00,0.00,253.00,0,3
31825,0.00,0.00,253.00,0,3
31856,0.00,0.00,253.00,0,2
31887,0.00,0.00,253.00,0,3,0
31918,0.00,-0.09,252.00,0,3
31949,0.00,-0.09,252.00,0,3,0
31980,0.00,-0.09,252.00,0,2
32011,0.00,-0.09,252.00,0,2
32041,0.00,-0.09,252.00,0,3
32072,0.00,-0.09,252.00,0,2
32103,0.00,-0.09,252.00,0,3
32134,0.00,-0.09,252.00,0,2
32165,0.00,-0.09,252.00,0,3
32196,0.00,-0.09,252.00,0,3
32227,0.00,-0.09,252.00,0,2
32257,0.00,-0.09,252.00,0,2
32288,0.00,-0.09,252.00,0,2
32319,0.00,-0.09,252.00,0,2
32350,0.00,0.00,253.00,0,2
32381,0.00,0.00,253.00,0,2
32412,0.00,0.00,253.00,0,2,0
32443,0.00,0.00,253.00,0,3
32474,0.00,0.00,253.00,0,2,0
32504,0.00,0.00,253.00,0,3
32535,0.00,0.00,253.00,0,2
32566,0.00,0.00,253.00,0,2
32597,0.00,0.00,253.00,0,2
32628,0.00,0.00,253.00,0,3
32659,0.00,0.00,253.00,0,2
32690,0.00,0.00,253.00,0,3
32721,0.00,0.00,253.00,0,2
32751,0.00,0.00,253.00,0,2
32782,0.00,0.00,253.00,0,3
32813,0.00,0.00,253.00,0,3
32844,0.00,0.00,253.00,0,2
32875,0.00,0.00,253.00,0,3,0
32906,0.00,0.00,253.00,0,3
32937,0.00,0.00,253.00,0,3,0
32968,0.00,0.00,253.00,0,2
32998,0.00,0.00,253.00,0,2
33029,0.00,0.00,253.00,0,2
33060,0.00,0.00,253.00,0,3
33091,0.00,0.00,253.00,0,2
33122,0.00,0.00,253.00,0,3
33153,0.00,0.00,253.00,0,2
33184,0.00,0.00,253.00,0,3
33215,0.00,0.00,253.00,0,3
33245,0.00,0.00,253.00,0,2
33276,0.00,0.00,253.00,0,2
33307,0.00,0.00,253.00,0,3
33338,0.00,0.00,253.00,0,3,0
33369,0.00,0.00,253.00,0,3
33400,0.00,0.00,253.00,0,2,0
33431,0.00,0.00,253.00,0,2
33462,0.00,0.00,253.00,0,2
33492,0.00,0.00,253.00,0,3
33523,0.00,0.00,253.00,0,3
33554,0.00,0.00,253.00,0,2
33585,0.00,0.00,253.00,0,3
33616,0.00,0.00,253.00,0,2
33647,0.00,0.00,253.00,0,2
33678,0.00,0.00,253.00,0,2
33709,0.00,0.00,253.00,0,2
33739,0.00,0.00,253.00,0,3
33770,0.00,0.00,253.00,0,2
33801,0.00,0.00,253.00,0,3,0
33832,0.00,0.00,253.00,0,2
33863,0.00,0.00,253.00,0,2,0
33894,0.00,0.00,253.00,0,2
33925,0.00,0.00,253.00,0,2
33956,0.00,0.00,253.00,0,3
33986,0.00,0.00,253.00,0,2
34017,0.00,0.00,253.00,0,3
34048,0.00,0.00,253.00,0,3
34079,0.00,0.00,253.00,0,3
34110,0.00,0.00,253.00,0,2
34141,0.00,0.00,253.00,0,2
34172,0.00,0.00,253.00,0,2
34203,0.00,0.00,253.00,0,2
34233,0.00,0.00,253.00,0,2
34264,0.00,0.00,253.00,0,2,0
34295,0.00,0.00,253.00,0,2
34326,0.00,0.00,253.00,0,2,0
34357,0.00,0.00,253.00,0,3
34388,0.00,0.00,253.00,0,2
34419,0.00,0.00,253.00,0,2
34450,0.00,0.00,253.00,0,3
34480,0.00,0.00,253.00,0,2
34511,0.00,0.00,253.00,0,3
34542,0.00,0.00,253.00,0,2
34573,0.00,0.00,253.00,0,3
34604,0.00,0.00,253.00,0,2
34635,0.00,0.00,253.00,0,2
34666,0.00,0.00,253.00,0,2
34697,0.00,0.00,253.00,0,2
34727,0.00,0.00,253.00,0,2,0
34758,0.00,0.00,253.00,0,2
34789,0.00,0.00,253.00,0,3,0
34820,0.00,0.00,253.00,0,3
34851,0.00,0.00,253.00,0,3
34882,0.00,0.00,253.00,0,2
34913,0.00,0.00,253.00,0,2
34943,0.00,0.00,253.00,0,3
34974,0.00,0.00,253.00,0,2
35005,0.00,0.00,253.00,0,2
35036,0.00,0.00,253.00,0,2
35067,0.00,0.00,253.00,0,2
35098,0.00,0.00,253.00,0,2
35129,0.00,0.00,253.00,0,2
35160,0.00,0.00,253.00,0,2
35190,0.00,0.00,253.00,0,3,0
35221,0.00,0.00,253.00,0,2
35252,0.00,0.00,253.00,0,3,0
35283,0.00,0.00,253.00,0,2
35314,0.00,0.00,253.00,0,3,0
35345,0.00,0.00,253.00,0,2
35376,0.00,0.00,253.00,0,2
35407,0.00,0.00,253.00,0,2
35437,0.00,0.00,253.00,0,2
35468,0.00,0.00,253.00,0,2
35499,0.00,0.00,253.00,0,2
35530,0.00,0.00,253.00,0,2
35561,0.00,0.00,253.00,0,2
35592,0.00,0.00,253.00,0,2
35623,0.00,0.00,253.00,0,2
35654,0.00,0.00,253.00,0,2
35684,0.00,0.00,253.00,0,2
35715,0.00,0.00,253.00,0,2,0
35746,0.00,0.00,253.00,0,2
35777,0.00,0.00,253.00,0,2,0
35808,0.00,0.00,253.00,0,2
35839,0.00,0.00,253.00,0,2
35870,0.00,0.00,253.00,0,2
35901,0.00,0.00,253.00,0,2
35932,0.00,0.00,253.00,0,3
35962,0.00,0.00,253.00,0,2
35993,0.00,0.00,253.00,0,2
36024,0.00,0.00,253.00,0,2
36055,0.00,0.00,253.00,0,2
36086,0.00,0.00,253.00,0,2
36117,0.00,-0.09,252.00,0,2
36148,0.00,-0.09,252.00,0,2
36179,0.00,-0.09,252.00,0,2,0
36209,0.00,-0.09,252.00,0,2
36240,0.00,-0.09,252.00,0,2
36271,0.00,-0.09,252.00,0,3
36302,0.00,-0.09,252.00,0,2
36333,0.00,-0.09,252.00,0,3
36364,0.00,-0.09,252.00,0,2
36395,0.00,-0.09,252.00,0,2
36426,0.00,-0.09,252.00,0,2
36457,0.00,-0.09,252.00,0,2
36487,0.00,-0.09,252.00,0,2
36518,0.00,-0.09,252.00,0,2
36549,0.00,-0.09,252.00,0,2
36580,0.00,-0.09,252.00,0,2
36611,0.00,-0.09,252.00,0,2
36642,0.00,-0.09,252.00,0,3,0
36673,0.00,-0.09,252.00,0,2
36704,0.00,-0.09,252.00,0,2
36735,0.00,-0.09,252.00,0,2
36765,0.00,-0.09,252.00,0,2
36796,0.00,-0.09,252.00,0,2
36827,0.00,-0.09,252.00,0,2
36858,0.00,-0.09,252.00,0,3
36889,0.00,-0.09,252.00,0,2
36920,0.00,-0.09,252.00,0,3
36951,0.00,-0.09,252.00,0,2
36982,0.00,-0.09,252.00,0,2
37012,0.00,-0.09,252.00,0,2
37043,0.00,-0.09,252.00,0,2
37074,0.00,-0.09,252.00,0,2
37105,0.00,-0.09,252.00,0,2,0
37136,0.00,-0.09,252.00,0,2
37167,0.00,-0.09,252.00,0,3
37198,0.00,-0.09,252.00,0,3
37229,0.00,-0.09,252.00,0,2
37260,0.00,-0.09,252.00,0,3
37290,0.00,-0.09,252.00,0,2
37321,0.00,-0.09,252.00,0,2
37352,0.00,-0.09,252.00,0,2
37383,0.00,-0.09,252.00,0,2
37414,0.00,-0.09,252.00,0,2
37445,0.00,-0.09,252.00,0,3
