time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.73,30.76,254.00,0
248,110.98,124.02,253.00,0
254,206.67,216.16,253.00,0
251,261.14,264.57,252.00,0
251,272.56,272.00,252.00,0
255,263.03,261.52,252.00,0
252,252.86,251.98,252.00,0
255,248.54,248.40,252.00,0
250,249.14,249.38,252.00,0
254,251.03,251.22,252.00,0
255,252.28,252.43,252.00,0
252,253.44,253.54,252.00,0
252,253.80,253.78,252.00,0
252,253.43,253.35,252.00,0
255,252.78,252.74,253.00,0
251,252.73,252.72,252.00,0
251,252.39,252.31,252.00,0
251,251.61,251.51,252.00,0
252,250.93,250.89,252.00,0
251,250.87,250.88,252.00,0
255,251.25,251.37,252.00,0
254,252.50,252.68,253.00,0
255,253.76,253.86,253.00,0
252,254.20,254.17,252.00,0
252,253.57,253.45,252.00,0
248,252.44,252.27,252.00,0
253,251.04,250.90,252.00,0
254,250.49,250.51,252.00,0
255,251.28,251.47,252.00,0
250,252.98,253.16,252.00,0
255,253.57,253.54,253.00,0
255,253.35,253.36,253.00,0
255,253.74,253.82,253.00,0
251,254.43,254.49,253.00,0
253,254.22,254.08,253.00,0
252,253.07,252.96,253.00,0
253,252.63,252.66,253.00,0
252,253.10,253.17,253.00,0
252,253.29,253.26,253.00,0
253,252.84,252.77,253.00,0
252,252.51,252.50,253.00,0
253,252.41,252.38,253.00,0
19051,0.00,0.00,253.00,0,3
19082,0.00,0.00,253.00,0,3
19112,0.00,0.00,253.00,0,2
19143,0.00,0.00,253.00,0,3
19174,0.00,0.00,253.00,0,3
19205,0.00,0.00,253.00,0,3
19235,0.00,0.00,253.00,0,3
19266,0.00,0.00,253.00,0,3
19297,0.00,0.00,253.00,0,2
19328,0.00,0.00,253.00,0,2,0
19359,0.00,0.00,253.00,0,3
19389,0.00,0.00,253.00,0,3,0
19420,0.00,0.00,253.00,0,2
19451,0.00,0.00,253.00,0,3
19482,0.00,0.00,253.00,0,3
19512,0.00,0.00,253.00,0,3
19543,0.00,0.00,253.00,0,3
19574,0.00,0.00,253.00,0,3
19605,0.00,0.00,253.00,0,3
19636,0.00,0.00,253.00,0,3
19666,0.00,0.00,253.00,0,2
19697,0.00,0.00,253.00,0,3
19728,0.00,0.00,253.00,0,2
19759,0.00,0.00,253.00,0,3
19790,0.00,0.00,253.00,0,3
19820,0.00,0.00,253.00,0,3
19851,0.00,0.00,253.00,0,2,0
19882,0.00,0.00,253.00,0,3
19913,0.00,0.00,253.00,0,2,0
19944,0.00,0.00,253.00,0,3
19975,0.00,0.00,253.00,0,3
20005,0.00,0.00,253.00,0,3
20036,0.00,0.00,253.00,0,3
20067,0.00,0.00,253.00,0,3
20098,0.00,0.00,253.00,0,2
20129,0.00,0.00,253.00,0,3
20160,0.00,0.00,253.00,0,3
20190,0.00,0.00,253.00,0,2
20221,0.00,0.00,253.00,0,2
20252,0.00,0.00,253.00,0,2
20283,0.00,0.00,253.00,0,3
20314,0.00,0.00,253.00,0,2,0
20345,0.00,0.00,253.00,0,3
20375,0.00,0.00,253.00,0,2,0
20406,0.00,0.00,253.00,0,3
20437,0.00,0.00,253.00,0,3
20468,0.00,0.00,253.00,0,3
20499,0.00,0.00,253.00,0,2
20530,0.00,0.00,253.00,0,3
20560,0.00,0.00,253.00,0,3
20591,0.00,0.00,253.00,0,3
20622,0.00,0.00,253.00,0,3
20653,0.00,0.00,253.00,0,2
20684,0.00,0.00,253.00,0,3
20715,0.00,0.00,253.00,0,2
20745,0.00,0.00,253.00,0,3
20776,0.00,0.00,253.00,0,3
20807,0.00,0.00,253.00,0,3
20838,0.00,0.00,253.00,0,3,0
20869,0.00,0.00,253.00,0,2
20900,0.00,0.00,253.00,0,3,0
20930,0.00,0.00,253.00,0,3
20961,0.00,0.00,253.00,0,3
20992,0.00,0.00,253.00,0,2
21023,0.00,0.00,253.00,0,2
21054,0.00,0.00,253.00,0,3
21085,0.00,0.00,253.00,0,3
21115,0.00,0.00,253.00,0,3
21146,0.00,0.00,253.00,0,3
21177,0.00,0.00,253.00,0,3
21208,0.00,0.00,253.00,0,3
21239,0.00,0.00,253.00,0,3
21270,0.00,0.00,253.00,0,3
21301,0.00,0.00,253.00,0,3,0
21331,0.00,-0.09,252.00,0,3
21362,0.00,-0.09,252.00,0,2,0
21393,0.00,-0.09,252.00,0,3
21424,0.00,-0.09,252.00,0,3
21455,0.00,-0.09,252.00,0,3
21486,0.00,-0.09,252.00,0,3
21517,0.00,-0.09,252.00,0,2
21548,0.00,-0.09,252.00,0,3
21579,0.00,-0.09,252.00,0,3
21610,0.00,-0.09,252.00,0,3
21641,0.00,-0.09,252.00,0,3
21672,0.00,-0.09,252.00,0,2
21703,0.00,-0.09,252.00,0,3
21733,0.00,-0.09,252.00,0,2
21764,0.00,-0.09,252.00,0,3,0
21795,0.00,-0.09,252.00,0,3
21826,0.00,-0.09,252.00,0,3
21857,0.00,-0.09,252.00,0,2
21888,0.00,-0.09,252.00,0,2
21919,0.00,-0.09,252.00,0,3
21950,0.00,-0.09,252.00,0,3
21981,0.00,-0.09,252.00,0,3
22012,0.00,-0.09,252.00,0,3
22043,0.00,-0.09,252.00,0,3
22074,0.00,-0.09,252.00,0,3
22105,0.00,-0.09,252.00,0,3
22136,0.00,-0.09,252.00,0,3
22167,0.00,-0.09,252.00,0,3,0
22197,0.00,-0.09,252.00,0,3
22228,0.00,-0.09,252.00,0,2,0
22259,0.00,-0.09,252.00,0,2
22290,0.00,-0.09,252.00,0,3
22321,0.00,-0.09,252.00,0,3
22352,0.00,-0.09,252.00,0,3
22383,0.00,-0.09,252.00,0,3
22414,0.00,-0.09,252.00,0,3
22445,0.00,-0.09,252.00,0,3
22476,0.00,-0.09,252.00,0,3
22507,0.00,-0.09,252.00,0,2
22538,0.00,-0.09,252.00,0,3
22569,0.00,-0.09,252.00,0,3
22600,0.00,-0.09,252.00,0,3
22630,0.00,-0.09,252.00,0,3,0
22661,0.00,-0.09,252.00,0,3
22692,0.00,-0.09,252.00,0,3
22723,0.00,-0.09,252.00,0,3
22754,0.00,-0.09,252.00,0,2
22785,0.00,-0.09,252.00,0,3
22816,0.00,-0.09,252.00,0,3
22847,0.00,-0.09,252.00,0,3
22878,0.00,0.00,253.00,0,2
22909,0.00,0.00,253.00,0,2
22940,0.00,0.00,253.00,0,3
22970,0.00,0.00,253.00,0,2
23001,0.00,0.00,253.00,0,3
23032,0.00,0.00,253.00,0,3
23063,0.00,0.00,253.00,0,3
23094,0.00,0.00,253.00,0,3,0
23125,0.00,0.00,253.00,0,3
23155,0.00,0.00,253.00,0,3,0
23186,0.00,0.00,253.00,0,3
23217,0.00,0.00,253.00,0,3,0
