time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
253,22.67,30.68,253.00,0
255,110.92,124.03,254.00,0
254,207.64,217.25,254.00,0
255,262.61,266.07,254.00,0
255,274.38,273.91,254.00,0
252,265.60,264.14,254.00,0
255,255.23,254.28,254.00,0
255,250.43,250.24,254.00,0
255,250.75,250.96,254.00,0
252,252.64,252.86,254.00,0
255,253.77,253.84,254.00,0
255,254.09,254.10,254.00,0
254,254.09,254.09,254.00,0
255,254.00,253.99,254.00,0
255,254.08,254.12,254.00,0
255,254.28,254.26,254.00,0
255,254.07,254.06,254.00,0
255,254.04,254.04,254.00,0
255,254.12,254.16,254.00,0
253,254.35,254.34,254.00,0
255,254.04,254.00,254.00,0
253,253.85,253.86,254.00,0
255,253.96,253.98,254.00,0
255,254.25,254.30,254.00,0
255,254.67,254.71,254.00,0
255,254.79,254.74,254.00,0
255,254.32,254.27,254.00,0
252,254.19,254.20,254.00,0
255,254.14,254.14,254.00,0
255,254.25,254.28,254.00,0
255,254.53,254.57,254.00,0
255,254.81,254.84,254.00,0
255,254.98,254.98,255.00,0
255,254.96,254.96,255.00,0
253,254.94,254.94,255.00,0
255,254.84,254.82,255.00,0
255,254.76,254.75,255.00,0
255,254.60,254.57,255.00,0
255,254.41,254.41,255.00,0
252,254.32,254.27,254.00,0
255,253.61,253.49,254.00,0
255,252.87,252.83,254.00,0
26396,0.00,0.00,254.00,0,3
26427,0.00,0.00,254.00,0,3
26458,0.00,0.00,254.00,0,3
26488,0.00,0.00,254.00,0,3
26519,0.00,0.00,254.00,0,3
26550,0.00,0.00,254.00,0,3
26581,0.00,0.00,254.00,0,3
26612,0.00,0.00,254.00,0,3,0
26643,0.00,0.00,254.00,0,3
26673,0.00,0.00,254.00,0,3,0
26704,0.00,0.00,254.00,0,2
26735,0.00,0.00,254.00,0,2,0
26766,0.00,0.00,254.00,0,3
26797,0.00,0.00,254.00,0,2
26828,0.00,0.00,254.00,0,2
26858,0.00,0.00,254.00,0,2
26889,0.00,-0.09,253.00,0,3
26920,0.00,-0.09,253.00,0,3
26951,0.00,-0.09,253.00,0,3
26982,0.00,-0.09,253.00,0,3
27013,0.00,-0.09,253.00,0,3
27044,0.00,-0.09,253.00,0,3
27075,0.00,-0.09,253.00,0,2,0
27106,0.00,-0.09,253.00,0,3
27137,0.00,-0.09,253.00,0,2,0
27168,0.00,-0.09,253.00,0,2
27199,0.00,-0.09,253.00,0,3
27229,0.00,-0.09,253.00,0,3
27260,0.00,-0.09,253.00,0,3
27291,0.00,-0.09,253.00,0,3
27322,0.00,-0.09,253.00,0,3
27353,0.00,-0.09,253.00,0,3
27384,0.00,-0.09,253.00,0,3
27415,0.00,-0.09,253.00,0,3
27446,0.00,-0.09,253.00,0,3
27477,0.00,-0.09,253.00,0,3
27508,0.00,-0.09,253.00,0,2
27539,0.00,-0.09,253.00,0,3,0
27570,0.00,-0.09,253.00,0,3
27601,0.00,-0.09,253.00,0,3
27632,0.00,-0.09,253.00,0,3
27663,0.00,-0.09,253.00,0,2
27693,0.00,-0.09,253.00,0,3
27724,0.00,-0.09,253.00,0,3
27755,0.00,-0.09,253.00,0,3
27786,0.00,-0.09,253.00,0,2
27817,0.00,-0.09,253.00,0,2
27848,0.00,-0.09,253.00,0,2
27879,0.00,-0.09,253.00,0,2
27910,0.00,-0.09,253.00,0,3
27941,0.00,-0.09,253.00,0,3,0
27972,0.00,-0.09,253.00,0,3
28003,0.00,-0.09,253.00,0,2,0
28034,0.00,-0.09,253.00,0,2
28065,0.00,-0.09,253.00,0,3
28096,0.00,-0.09,253.00,0,2
28126,0.00,-0.09,253.00,0,2
28157,0.00,-0.09,253.00,0,3
28188,0.00,-0.09,253.00,0,3
28219,0.00,-0.09,253.00,0,3
28250,0.00,-0.09,253.00,0,3
28281,0.00,-0.09,253.00,0,3
28312,0.00,-0.09,253.00,0,2
28343,0.00,-0.09,253.00,0,2
28374,0.00,-0.09,253.00,0,3
28405,0.00,-0.09,253.00,0,3,0
28436,0.00,-0.09,253.00,0,3
28467,0.00,-0.09,253.00,0,2
28498,0.00,-0.09,253.00,0,3
28528,0.00,-0.09,253.00,0,3
28559,0.00,-0.09,253.00,0,2
28590,0.00,-0.09,253.00,0,3
28621,0.00,-0.09,253.00,0,3
28652,0.00,-0.09,253.00,0,2
28683,0.00,-0.09,253.00,0,3
28714,0.00,-0.09,253.00,0,2
28745,0.00,-0.09,253.00,0,2
28776,0.00,-0.09,253.00,0,3
28807,0.00,-0.09,253.00,0,2
28838,0.00,-0.09,253.00,0,2
28869,0.00,-0.09,253.00,0,3,0
28900,0.00,-0.09,253.00,0,2
28931,0.00,-0.09,253.00,0,2
28962,0.00,-0.09,253.00,0,3
28992,0.00,-0.09,253.00,0,2
29023,0.00,-0.09,253.00,0,2
29054,0.00,-0.09,253.00,0,3
29085,0.00,-0.09,253.00,0,3
29116,0.00,-0.09,253.00,0,3
29147,0.00,-0.09,253.00,0,3
29178,0.00,-0.09,253.00,0,3
29209,0.00,-0.09,253.00,0,2
29240,0.00,-0.09,253.00,0,2
29271,0.00,-0.09,253.00,0,2,0
29302,0.00,-0.09,253.00,0,3
29333,0.00,-0.09,253.00,0,3
29364,0.00,-0.09,253.00,0,2
29395,0.00,-0.09,253.00,0,2
29425,0.00,-0.09,253.00,0,3
29456,0.00,0.00,254.00,0,2
29487,0.00,0.00,254.00,0,3
29518,0.00,0.00,254.00,0,3
29549,0.00,0.00,254.00,0,3
29580,0.00,0.00,254.00,0,2
29611,0.00,0.00,254.00,0,3
29641,0.00,0.00,254.00,0,3
29672,0.00,0.00,254.00,0,3
29703,0.00,0.00,254.00,0,3
