time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.70,30.73,254.00,0
255,111.31,124.46,254.00,0
255,208.21,217.86,255.00,0
254,263.53,267.03,255.00,0
252,275.27,274.73,254.00,0
255,265.63,264.07,254.00,0
255,254.99,254.09,254.00,0
254,250.86,250.76,254.00,0
252,251.47,251.70,254.00,0
252,253.18,253.32,254.00,0
255,253.68,253.68,254.00,0
255,253.69,253.72,254.00,0
255,254.02,254.08,254.00,0
253,254.49,254.54,254.00,0
254,254.71,254.72,254.00,0
254,254.61,254.59,254.00,0
255,254.34,254.30,254.00,0
252,254.12,254.12,254.00,0
252,254.05,254.03,254.00,0
255,253.83,253.81,254.00,0
255,253.86,253.88,254.00,0
255,254.19,254.24,254.00,0
252,254.50,254.50,254.00,0
254,254.20,254.16,254.00,0
252,254.00,253.99,254.00,0
255,253.85,253.85,254.00,0
255,254.06,254.12,254.00,0
252,254.55,254.61,254.00,0
255,254.63,254.59,254.00,0
253,254.15,254.07,254.00,0
252,253.43,253.35,254.00,0
255,252.98,252.98,254.00,0
255,253.39,253.49,254.00,0
255,254.27,254.38,254.00,0
255,254.94,255.00,254.00,0
252,255.18,255.17,254.00,0
252,254.72,254.61,254.00,0
255,253.78,253.68,254.00,0
255,253.41,253.42,254.00,0
255,253.79,253.88,254.00,0
255,254.48,254.56,254.00,0
256,255.01,255.06,254.00,0
32163,0.00,0.00,255.00,0,3
32194,0.00,0.00,255.00,0,2,0
32224,0.00,0.00,255.00,0,2
32255,0.00,0.00,255.00,0,2
32286,0.00,0.00,255.00,0,3
32317,0.00,0.00,255.00,0,2
32348,0.00,0.00,255.00,0,2
32378,0.00,0.00,255.00,0,2
32409,0.00,-0.09,254.00,0,2
32440,0.00,-0.09,254.00,0,3
32471,0.00,-0.09,254.00,0,2
32502,0.00,-0.09,254.00,0,2
32532,0.00,-0.09,254.00,0,2
32563,0.00,-0.09,254.00,0,2
32594,0.00,-0.09,254.00,0,2,0
32625,0.00,-0.09,254.00,0,2
32656,0.00,-0.09,254.00,0,2
32687,0.00,-0.09,254.00,0,2
32718,0.00,-0.09,254.00,0,2
32748,0.00,-0.09,254.00,0,3
32779,0.00,-0.09,254.00,0,2
32810,0.00,-0.09,254.00,0,2
32841,0.00,-0.09,254.00,0,2
32872,0.00,-0.09,254.00,0,2
32903,0.00,-0.09,254.00,0,2
32934,0.00,-0.09,254.00,0,2
32965,0.00,-0.09,254.00,0,3
32996,0.00,0.00,255.00,0,2
33027,0.00,0.00,255.00,0,3
33058,0.00,0.00,255.00,0,2,0
33088,0.00,0.00,255.00,0,2
33119,0.00,0.00,255.00,0,2,0
33150,0.00,0.00,255.00,0,2
33181,0.00,-0.09,254.00,0,2
33212,0.00,-0.09,254.00,0,2
33243,0.00,-0.09,254.00,0,2
33274,0.00,-0.09,254.00,0,2
33305,0.00,-0.09,254.00,0,3
33335,0.00,-0.09,254.00,0,2
33366,0.00,-0.09,254.00,0,2
33397,0.00,-0.09,254.00,0,2
33428,0.00,-0.09,254.00,0,2
33459,0.00,-0.09,254.00,0,2
33490,0.00,-0.09,254.00,0,2
33521,0.00,-0.09,254.00,0,2,0
33552,0.00,-0.09,254.00,0,2
33583,0.00,-0.09,254.00,0,3
33614,0.00,-0.09,254.00,0,2
33645,0.00,-0.09,254.00,0,3
33676,0.00,-0.09,254.00,0,3
33707,0.00,-0.09,254.00,0,3
