time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.62,30.60,253.00,0
253,110.50,123.52,252.00,0
253,206.51,216.07,253.00,0
252,261.30,264.76,252.00,0
253,272.95,272.45,252.00,0
252,263.79,262.27,252.00,0
253,253.17,252.23,252.00,0
252,248.65,248.51,252.00,0
254,249.14,249.37,252.00,0
252,251.23,251.48,252.00,0
252,252.73,252.82,252.00,0
251,252.81,252.73,252.00,0
252,252.01,251.95,252.00,0
252,251.92,251.96,252.00,0
252,252.23,252.26,252.00,0
255,252.47,252.53,252.00,0
252,253.05,253.11,252.00,0
252,253.21,253.18,252.00,0
252,252.78,252.71,252.00,0
251,252.07,251.95,252.00,0
252,251.13,251.05,252.00,0
253,250.90,250.93,252.00,0
254,251.40,251.50,252.00,0
252,252.28,252.37,252.00,0
253,252.69,252.69,252.00,0
252,252.59,252.57,252.00,0
253,252.34,252.29,252.00,0
252,251.97,251.95,252.00,0
253,251.96,252.01,252.00,0
252,252.50,252.56,252.00,0
255,252.73,252.73,252.00,0
251,252.73,252.72,252.00,0
251,252.41,252.32,252.00,0
251,251.66,251.57,252.00,0
251,251.03,250.97,252.00,0
251,250.57,250.50,252.00,0
248,250.20,250.19,252.00,0
251,250.18,250.20,251.00,0
251,250.42,250.46,251.00,0
251,250.65,250.66,251.00,0
251,250.61,250.58,251.00,0
251,250.44,250.43,251.00,0
77244,0.00,0.00,251.00,0,3
77275,0.00,0.00,251.00,0,5
77306,0.00,0.00,251.00,0,3
77337,0.00,0.00,251.00,0,3
77367,0.00,0.00,251.00,0,3
77398,0.00,0.00,251.00,0,3
77429,0.00,0.00,251.00,0,3
77460,0.00,0.00,251.00,0,3
77491,0.00,0.00,251.00,0,3
77522,0.00,0.00,251.00,0,3
77552,0.00,0.00,251.00,0,3,0
77583,0.00,0.00,251.00,0,3
77614,0.00,0.00,251.00,0,3,0
77645,0.00,0.00,251.00,0,3
77676,0.00,0.00,251.00,0,3
77706,0.00,0.00,251.00,0,3
77737,0.00,0.00,251.00,0,3
77768,0.00,0.00,251.00,0,3
77799,0.00,0.00,251.00,0,3
77830,0.00,0.00,251.00,0,3
77861,0.00,0.00,251.00,0,3
77892,0.00,0.00,251.00,0,3
77923,0.00,0.00,251.00,0,3
77953,0.00,0.00,251.00,0,3
77984,0.00,0.00,251.00,0,3
78015,0.00,0.00,251.00,0,3
78046,0.00,0.00,251.00,0,3
78077,0.00,0.00,251.00,0,3,0
78108,0.00,0.00,251.00,0,3
78139,0.00,0.00,251.00,0,3,0
78169,0.00,0.00,251.00,0,3
78200,0.00,0.00,251.00,0,3
78231,0.00,0.00,251.00,0,3
78262,0.00,0.00,251.00,0,3
78293,0.00,0.00,251.00,0,3
78324,0.00,0.00,251.00,0,3
78355,0.00,0.00,251.00,0,3
78386,0.00,0.00,251.00,0,3
78416,0.00,0.00,251.00,0,3
78447,0.00,0.00,251.00,0,3
78478,0.00,0.00,251.00,0,3
78509,0.00,0.00,251.00,0,3
78540,0.00,0.00,251.00,0,5,0
78571,0.00,0.00,251.00,0,3
78602,0.00,0.00,251.00,0,3,0
78632,0.00,0.00,251.00,0,3
78663,0.00,0.00,251.00,0,3
78694,0.00,0.00,251.00,0,3
78725,0.00,0.00,251.00,0,3
78756,0.00,0.00,251.00,0,3
78787,0.00,0.00,251.00,0,3
78818,0.00,0.00,251.00,0,3
78849,0.00,0.00,251.00,0,3
78879,0.00,0.00,251.00,0,3
78910,0.00,0.00,251.00,0,3
78941,0.00,0.00,251.00,0,3
78972,0.00,0.00,251.00,0,3
79003,0.00,0.00,251.00,0,3,0
79034,0.00,0.00,251.00,0,3
79065,0.00,0.00,251.00,0,3,0
79095,0.00,0.00,251.00,0,3
79126,0.00,0.00,251.00,0,3
79157,0.00,0.00,251.00,0,3
79188,0.00,0.00,251.00,0,5
79219,0.00,0.00,251.00,0,3
79250,0.00,0.00,251.00,0,3
79281,0.00,0.00,251.00,0,3
79312,0.00,0.00,251.00,0,3
79342,0.00,0.00,251.00,0,3
79373,0.00,0.00,251.00,0,3
79404,0.00,0.00,251.00,0,3
79435,0.00,0.00,251.00,0,3
79466,0.00,0.00,251.00,0,3,0
79497,0.00,0.00,251.00,0,3
79528,0.00,0.00,251.00,0,3,0
79558,0.00,0.00,251.00,0,3
79589,0.00,0.00,251.00,0,3
79620,0.00,0.00,251.00,0,3
79651,0.00,0.00,251.00,0,3
79682,0.00,0.00,251.00,0,3
79713,0.00,0.00,251.00,0,3
79744,0.00,0.00,251.00,0,3
79775,0.00,0.00,251.00,0,3
79805,0.00,0.00,251.00,0,3
79836,0.00,0.00,251.00,0,3
79867,0.00,0.00,251.00,0,3
79898,0.00,0.00,251.00,0,3
79929,0.00,0.00,251.00,0,5,0
79960,0.00,0.00,251.00,0,3
79991,0.00,0.00,251.00,0,3,0
80021,0.00,0.00,251.00,0,3
80052,0.00,0.00,251.00,0,3,0
80083,0.00,0.00,251.00,0,3
80114,0.00,0.00,251.00,0,3
80145,0.00,0.00,251.00,0,3
80176,0.00,0.00,251.00,0,3
80207,0.00,0.00,251.00,0,3
80237,0.00,0.00,251.00,0,3
80268,0.00,0.00,251.00,0,3
80299,0.00,0.00,251.00,0,3
80330,0.00,0.00,251.00,0,3
80361,0.00,0.00,251.00,0,3
80392,0.00,0.00,251.00,0,3
80423,0.00,0.00,251.00,0,3
80454,0.00,0.00,251.00,0,3,0
80484,0.00,0.00,251.00,0,3
80515,0.00,0.00,251.00,0,3,0
80546,0.00,0.00,251.00,0,3
80577,0.00,0.00,251.00,0,5
80608,0.00,0.00,251.00,0,3
80639,0.00,0.00,251.00,0,3
80670,0.00,0.00,251.00,0,3
80700,0.00,0.00,251.00,0,3
80731,0.00,0.00,251.00,0,3
80762,0.00,0.00,251.00,0,3
80793,0.00,0.00,251.00,0,3
80824,0.00,0.00,251.00,0,5
80855,0.00,0.00,251.00,0,3
80886,0.00,0.00,251.00,0,3
80917,0.00,0.00,251.00,0,3,0
80947,0.00,0.00,251.00,0,3
80978,0.00,0.00,251.00,0,3,0
81009,0.00,0.00,251.00,0,3
81040,0.00,0.00,251.00,0,3
81071,0.00,0.00,251.00,0,3
81102,0.00,0.00,251.00,0,3
81133,0.00,0.00,251.00,0,3
81163,0.00,0.00,251.00,0,3
81194,0.00,0.00,251.00,0,3
81225,0.00,0.00,251.00,0,3
81256,0.00,0.00,251.00,0,3
81287,0.00,0.00,251.00,0,3
81318,0.00,0.00,251.00,0,3
81349,0.00,0.00,251.00,0,3
81380,0.00,0.00,251.00,0,3,0
81410,0.00,0.00,251.00,0,3
81441,0.00,0.00,251.00,0,3,0
81472,0.00,0.00,251.00,0,3
81503,0.00,0.00,251.00,0,3
81534,0.00,0.00,251.00,0,3
81565,0.00,0.09,252.00,0,3
81596,0.00,0.09,252.00,0,3
81626,0.00,0.09,252.00,0,3
81657,0.00,0.09,252.00,0,3
81688,0.00,0.09,252.00,0,3
81719,0.00,0.09,252.00,0,3
81750,0.00,0.09,252.00,0,3
81781,0.00,0.09,252.00,0,3
81812,0.00,0.09,252.00,0,3
81843,0.00,0.09,252.00,0,3,0
81873,0.00,0.09,252.00,0,3
81904,0.00,0.09,252.00,0,3,0
81935,0.00,0.09,252.00,0,3
81966,0.00,0.09,252.00,0,5
81997,0.00,0.09,252.00,0,3
82028,0.00,0.09,252.00,0,3
82059,0.00,0.09,252.00,0,3
82089,0.00,0.09,252.00,0,3
82120,0.00,0.09,252.00,0,3
82151,0.00,0.09,252.00,0,3
82182,0.00,0.09,252.00,0,3
82213,0.00,0.09,252.00,0,3
82244,0.00,0.09,252.00,0,3
82275,0.00,0.09,252.00,0,3
82305,0.00,0.09,252.00,0,3
82336,0.00,0.09,252.00,0,3
82367,0.00,0.09,252.00,0,3,0
82398,0.00,0.09,252.00,0,3
82429,0.00,0.09,252.00,0,3,0
82460,0.00,0.09,252.00,0,3
82491,0.00,0.09,252.00,0,3
82522,0.00,0.09,252.00,0,3
82552,0.00,0.09,252.00,0,3
82583,0.00,0.09,252.00,0,3
82614,0.00,0.09,252.00,0,3
82645,0.00,0.09,252.00,0,3
82676,0.00,0.09,252.00,0,3
82707,0.00,0.09,252.00,0,3
82738,0.00,0.09,252.00,0,3
82768,0.00,0.09,252.00,0,3
82799,0.00,0.09,252.00,0,3
82830,0.00,0.09,252.00,0,3,0
82861,0.00,0.09,252.00,0,3
82892,0.00,0.09,252.00,0,3,0
82923,0.00,0.09,252.00,0,3
82954,0.00,0.09,252.00,0,3
82985,0.00,0.09,252.00,0,3
83015,0.00,0.09,252.00,0,3
83046,0.00,0.09,252.00,0,3
83077,0.00,0.09,252.00,0,3
83108,0.00,0.09,252.00,0,3
83139,0.00,0.09,252.00,0,3
83170,0.00,0.09,252.00,0,3
83201,0.00,0.09,252.00,0,3
83231,0.00,0.09,252.00,0,3
83262,0.00,0.09,252.00,0,3
83293,0.00,0.09,252.00,0,3,0
83324,0.00,0.09,252.00,0,3
83355,0.00,0.09,252.00,0,3,0
83386,0.00,0.09,252.00,0,3
83417,0.00,0.09,252.00,0,3
83448,0.00,0.09,252.00,0,3
83478,0.00,0.09,252.00,0,3
83509,0.00,0.09,252.00,0,3
83540,0.00,0.09,252.00,0,3
83571,0.00,0.09,252.00,0,5
83602,0.00,0.09,252.00,0,3
83633,0.00,0.09,252.00,0,3
83664,0.00,0.09,252.00,0,3
83694,0.00,0.09,252.00,0,3
83725,0.00,0.09,252.00,0,3
83756,0.00,0.09,252.00,0,3,0
83787,0.00,0.09,252.00,0,3
83818,0.00,0.09,252.00,0,3,0
83849,0.00,0.09,252.00,0,3
83880,0.00,0.09,252.00,0,3
83911,0.00,0.09,252.00,0,3
83941,0.00,0.09,252.00,0,3
83972,0.00,0.09,252.00,0,3
84003,0.00,0.09,252.00,0,3
84034,0.00,0.00,251.00,0,3
84065,0.00,0.09,252.00,0,3
84096,0.00,0.09,252.00,0,3
84127,0.00,0.09,252.00,0,3
84158,0.00,0.09,252.00,0,3
84188,0.00,0.00,251.00,0,3
84219,0.00,0.00,251.00,0,3,0
84250,0.00,0.00,251.00,0,3
84281,0.00,0.00,251.00,0,3,0
84312,0.00,0.00,251.00,0,3
84343,0.00,0.00,251.00,0,3
84374,0.00,0.00,251.00,0,3
84404,0.00,0.00,251.00,0,3
84435,0.00,0.00,251.00,0,3
84466,0.00,0.00,251.00,0,3
84497,0.00,0.00,251.00,0,3
84528,0.00,0.00,251.00,0,3
84559,0.00,0.00,251.00,0,3
84590,0.00,0.00,251.00,0,3
84621,0.00,0.00,251.00,0,3
84651,0.00,0.00,251.00,0,3
84682,0.00,0.00,251.00,0,3
84713,0.00,0.00,251.00,0,3
84744,0.00,0.00,251.00,0,3,0
84775,0.00,0.00,251.00,0,3
84806,0.00,0.00,251.00,0,3,0
84837,0.00,0.00,251.00,0,3
84867,0.00,0.00,251.00,0,3
84898,0.00,0.00,251.00,0,3
84929,0.00,0.00,251.00,0,3
84960,0.00,0.00,251.00,0,3
84991,0.00,0.00,251.00,0,3
85022,0.00,0.00,251.00,0,3
85053,0.00,0.00,251.00,0,5
85084,0.00,0.00,251.00,0,3
85114,0.00,0.00,251.00,0,5
85145,0.00,0.00,251.00,0,3
85176,0.00,0.00,251.00,0,3
85207,0.00,0.00,251.00,0,3,0
85238,0.00,0.00,251.00,0,3
85269,0.00,0.00,251.00,0,3,0
85300,0.00,0.00,251.00,0,3
85331,0.00,0.00,251.00,0,3
85361,0.00,0.00,251.00,0,3
85392,0.00,0.00,251.00,0,3
85423,0.00,0.00,251.00,0,3
85454,0.00,0.00,251.00,0,3
85485,0.00,0.00,251.00,0,3
85516,0.00,0.00,251.00,0,3
85547,0.00,0.00,251.00,0,3
85577,0.00,0.00,251.00,0,3
85608,0.00,0.00,251.00,0,3
85639,0.00,0.00,251.00,0,3
85670,0.00,0.00,251.00,0,3,0
85701,0.00,0.00,251.00,0,3
85732,0.00,0.00,251.00,0,3,0
85763,0.00,0.00,251.00,0,3
85794,0.00,0.00,251.00,0,3
85824,0.00,0.00,251.00,0,3
85855,0.00,0.00,251.00,0,3
85886,0.00,0.00,251.00,0,3
85917,0.00,0.00,251.00,0,3
85948,0.00,0.00,251.00,0,3
85979,0.00,0.00,251.00,0,3
86010,0.00,0.00,251.00,0,3
86040,0.00,0.00,251.00,0,3
86071,0.00,0.00,251.00,0,3
86102,0.00,0.00,251.00,0,3
86133,0.00,0.00,251.00,0,3,0
86164,0.00,0.00,251.00,0,3
86195,0.00,0.00,251.00,0,3,0
86226,0.00,0.00,251.00,0,3
86257,0.00,0.00,251.00,0,3
86287,0.00,0.00,251.00,0,3
86318,0.00,0.00,251.00,0,3
86349,0.00,0.00,251.00,0,3
86380,0.00,0.00,251.00,0,3
86411,0.00,0.00,251.00,0,3
86442,0.00,0.00,251.00,0,3
86473,0.00,0.00,251.00,0,3
86503,0.00,0.00,251.00,0,3
86534,0.00,0.00,251.00,0,3
86565,0.00,0.00,251.00,0,3
86596,0.00,0.00,251.00,0,3,0
86627,0.00,0.00,251.00,0,3
86658,0.00,0.00,251.00,0,3,0
86689,0.00,0.00,251.00,0,3
86720,0.00,0.00,251.00,0,3
86750,0.00,0.00,251.00,0,3
86781,0.00,0.00,251.00,0,3
86812,0.00,0.00,251.00,0,3
86843,0.00,0.00,251.00,0,3
86874,0.00,0.00,251.00,0,3
86905,0.00,0.00,251.00,0,3
86936,0.00,0.00,251.00,0,3
86966,0.00,0.00,251.00,0,3
86997,0.00,0.00,251.00,0,3
87028,0.00,0.00,251.00,0,3
87059,0.00,0.00,251.00,0,3
87090,0.00,0.00,251.00,0,3
87121,0.00,0.00,251.00,0,3,0
87152,0.00,0.00,251.00,0,3
87183,0.00,0.00,251.00,0,3,0
87213,0.00,0.00,251.00,0,3
87244,0.00,0.00,251.00,0,3
87275,0.00,0.00,251.00,0,3
87306,0.00,0.00,251.00,0,3
87337,0.00,0.00,251.00,0,3
87368,0.00,0.00,251.00,0,3
87399,0.00,0.00,251.00,0,3
87429,0.00,0.00,251.00,0,3
