time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
254,22.74,30.76,254.00,0
254,110.89,123.95,253.00,0
255,207.19,216.79,254.00,0
255,262.47,266.02,254.00,0
252,274.91,274.46,254.00,0
255,265.64,264.06,254.00,0
255,254.63,253.70,254.00,0
255,250.38,250.30,254.00,0
255,251.43,251.73,254.00,0
253,253.72,253.92,254.00,0
254,254.66,254.70,254.00,0
255,254.56,254.49,254.00,0
252,253.88,253.79,254.00,0
255,253.32,253.31,254.00,0
253,253.54,253.60,254.00,0
252,253.91,253.93,254.00,0
255,253.88,253.84,254.00,0
252,253.74,253.74,254.00,0
252,253.60,253.58,254.00,0
252,253.47,253.48,254.00,0
255,253.60,253.62,254.00,0
252,253.72,253.70,254.00,0
252,253.45,253.43,254.00,0
255,253.44,253.48,254.00,0
253,253.75,253.76,254.00,0
255,253.59,253.56,254.00,0
252,253.51,253.50,254.00,0
252,253.32,253.29,253.00,0
255,253.08,253.08,254.00,0
252,253.22,253.25,253.00,0
253,253.36,253.37,253.00,0
252,253.36,253.36,253.00,0
252,253.22,253.19,253.00,0
255,252.92,252.88,253.00,0
252,252.76,252.77,253.00,0
253,252.77,252.77,253.00,0
252,252.97,253.02,253.00,0
254,253.24,253.23,253.00,0
252,253.04,252.99,253.00,0
252,252.71,252.70,253.00,0
252,252.68,252.68,253.00,0
253,252.71,252.73,253.00,0
35807,0.00,0.00,253.00,0,3
35837,0.00,0.00,253.00,0,3
35868,0.00,0.00,253.00,0,3
35899,0.00,0.00,253.00,0,3
35930,0.00,0.00,253.00,0,3
35961,0.00,0.00,253.00,0,3
35991,0.00,0.00,253.00,0,3
36022,0.00,0.00,253.00,0,3
36053,0.00,0.00,253.00,0,3
36084,0.00,0.00,253.00,0,3,0
36115,0.00,0.00,253.00,0,3
36145,0.00,0.00,253.00,0,3,0
36176,0.00,0.00,253.00,0,3
36207,0.00,0.00,253.00,0,3
36238,0.00,0.00,253.00,0,3
36269,0.00,0.00,253.00,0,3
36299,0.00,0.00,253.00,0,3
36330,0.00,0.00,253.00,0,5
36361,0.00,0.00,253.00,0,3
36392,0.00,0.00,253.00,0,3
36423,0.00,0.00,253.00,0,3
36453,0.00,0.00,253.00,0,3
36484,0.00,0.00,253.00,0,3
36515,0.00,0.00,253.00,0,3
36546,0.00,0.00,253.00,0,3
36577,0.00,0.00,253.00,0,3
36607,0.00,0.00,253.00,0,3,0
36638,0.00,0.00,253.00,0,3
36669,0.00,0.00,253.00,0,3,0
36700,0.00,0.00,253.00,0,3
36731,0.00,0.00,253.00,0,3
36761,0.00,0.00,253.00,0,3
36792,0.00,0.00,253.00,0,3
36823,0.00,0.00,253.00,0,3
36854,0.00,0.00,253.00,0,3
36885,0.00,0.00,253.00,0,3
36915,0.00,0.00,253.00,0,3
