trialCount,Test,Reference,A,B,answerKey,userAnswer,nRight,nWrong,r
1,1.9,2.5,1.9,2.5,3,3,1,0,0
2,2.7,2.5,2.5,2.7,3,1,1,1,1
3,2.7,2.5,2.7,2.5,1,1,2,1,0
4,2.9,2.5,2.5,2.9,3,3,3,1,1
5,3.1,2.5,2.5,3.1,3,3,4,1,1
6,2.3,2.5,2.5,2.3,1,1,5,1,1
7,2.1,2.5,2.1,2.5,3,3,6,1,0
8,1.9,2.5,1.9,2.5,3,3,7,1,0
9,2.3,2.5,2.5,2.3,1,3,7,2,1
10,2.7,2.5,2.5,2.7,3,3,8,2,1
11,2.9,2.5,2.5,2.9,3,3,9,2,1
12,1.9,2.5,2.5,1.9,1,1,10,2,1
13,2.3,2.5,2.5,2.3,1,3,10,3,1
14,2.7,2.5,2.5,2.7,3,3,11,3,1
15,2.7,2.5,2.7,2.5,1,1,12,3,0
16,2.1,2.5,2.5,2.1,1,1,13,3,1
17,2.9,2.5,2.9,2.5,1,3,13,4,0
18,2.1,2.5,2.1,2.5,3,3,14,4,0
19,2.1,2.5,2.1,2.5,3,3,15,4,0
20,3.1,2.5,2.5,3.1,3,3,16,4,1
21,3.1,2.5,2.5,3.1,3,3,17,4,1
22,2.1,2.5,2.1,2.5,3,3,18,4,0
23,3.1,2.5,2.5,3.1,3,3,19,4,1
24,3.1,2.5,3.1,2.5,1,3,19,5,0
25,2.9,2.5,2.9,2.5,1,1,20,5,0
26,2.1,2.5,2.5,2.1,1,1,21,5,1
27,3.1,2.5,3.1,2.5,1,1,22,5,0
28,1.9,2.5,2.5,1.9,1,1,23,5,1
29,1.9,2.5,2.5,1.9,1,1,24,5,1
30,2.7,2.5,2.5,2.7,3,3,25,5,1
