time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.74,30.77,254.00,0
255,111.00,124.08,254.00,0
255,207.54,217.17,254.00,0
252,262.80,266.29,254.00,0
254,274.44,273.90,254.00,0
252,265.00,263.48,254.00,0
255,254.37,253.45,254.00,0
252,250.13,250.05,254.00,0
255,251.01,251.28,254.00,0
252,253.23,253.45,254.00,0
254,254.37,254.44,254.00,0
252,254.65,254.64,254.00,0
255,254.20,254.11,254.00,0
252,253.53,253.47,254.00,0
252,253.17,253.16,254.00,0
255,253.27,253.32,254.00,0
254,253.81,253.87,254.00,0
252,254.19,254.21,254.00,0
253,254.16,254.15,254.00,0
254,254.09,254.09,254.00,0
252,254.07,254.06,254.00,0
252,253.97,253.97,254.00,0
252,253.83,253.78,254.00,0
254,253.38,253.32,254.00,0
255,253.17,253.20,254.00,0
252,253.53,253.55,254.00,0
255,253.43,253.41,254.00,0
255,253.56,253.62,254.00,0
252,254.12,254.15,254.00,0
252,254.05,254.00,254.00,0
252,253.49,253.43,254.00,0
253,253.27,253.29,254.00,0
252,253.53,253.55,254.00,0
255,253.55,253.53,254.00,0
251,253.30,253.25,253.00,0
251,252.67,252.56,253.00,0
252,251.77,251.67,253.00,0
254,251.34,251.37,253.00,0
251,251.96,252.05,253.00,0
253,252.31,252.30,253.00,0
252,252.21,252.23,253.00,0
255,252.60,252.70,253.00,0
27966,0.00,0.00,253.00,0,0
27997,0.00,0.00,253.00,0,0
28028,0.00,0.00,253.00,0,0
28058,0.00,0.00,253.00,0,0
28089,0.00,0.00,253.00,0,0
28120,0.00,0.00,253.00,0,0
28151,0.00,0.00,253.00,0,0
28181,0.00,0.00,253.00,0,0
28212,0.00,0.00,253.00,0,0
28243,0.00,0.00,253.00,0,0
28274,0.00,0.00,253.00,0,0
28305,0.00,0.00,253.00,0,0
28335,0.00,0.00,253.00,0,0,0
28366,0.00,0.00,253.00,0,0
28397,0.00,0.00,253.00,0,0,0
28428,0.00,0.00,253.00,0,0
28458,0.00,0.00,253.00,0,0,0
28489,0.00,0.00,253.00,0,0
28520,0.00,0.00,253.00,0,0
28551,0.00,0.00,253.00,0,0
28582,0.00,0.00,253.00,0,0
28612,0.00,0.09,254.00,0,0
28643,0.00,0.09,254.00,0,0
28674,0.00,0.09,254.00,0,0
28705,0.00,0.09,254.00,0,0
28736,0.00,0.09,254.00,0,0
28766,0.00,0.09,254.00,0,0
28797,0.00,0.09,254.00,0,0
28828,0.00,0.09,254.00,0,0
28859,0.00,0.09,254.00,0,0
28890,0.00,0.09,254.00,0,0
28921,0.00,0.09,254.00,0,0,0
28951,0.00,0.09,254.00,0,0
28982,0.00,0.09,254.00,0,0,0
29013,0.00,0.09,254.00,0,0
29044,0.00,0.09,254.00,0,0,0
29075,0.00,0.09,254.00,0,0
29106,0.00,0.09,254.00,0,0
29137,0.00,0.09,254.00,0,0
29168,0.00,0.09,254.00,0,0
29199,0.00,0.18,255.00,0,0
29229,0.00,0.18,255.00,0,0
29260,0.00,0.18,255.00,0,0
29291,0.00,0.18,255.00,0,0
29322,0.00,0.18,255.00,0,0
29353,0.00,0.18,255.00,0,0
29384,0.00,0.09,254.00,0,0,0
29415,0.00,0.09,254.00,0,0
29446,0.00,0.09,254.00,0,0,0
29477,0.00,0.09,254.00,0,0
29508,0.00,0.09,254.00,0,0
29538,0.00,0.09,254.00,0,0
29569,0.00,0.09,254.00,0,0
29600,0.00,0.09,254.00,0,0
29631,0.00,0.09,254.00,0,0
29662,0.00,0.09,254.00,0,0
29693,0.00,0.09,254.00,0,0
29724,0.00,0.09,254.00,0,0
29755,0.00,0.09,254.00,0,0
29786,0.00,0.09,254.00,0,0
29816,0.00,0.09,254.00,0,0
29847,0.00,0.09,254.00,0,0,0
29878,0.00,0.09,254.00,0,0
29909,0.00,0.09,254.00,0,0,0
29940,0.00,0.09,254.00,0,0
29971,0.00,0.09,254.00,0,0
30002,0.00,0.09,254.00,0,0
30033,0.00,0.09,254.00,0,0
30064,0.00,0.09,254.00,0,0
30094,0.00,0.09,254.00,0,0
30125,0.00,0.09,254.00,0,0
30156,0.00,0.09,254.00,0,0
30187,0.00,0.09,254.00,0,0
30218,0.00,0.09,254.00,0,0
30249,0.00,0.09,254.00,0,0
