trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,2.18,2.3,2.3,2.18,1,3,1,3,0,1
1,2.18,2.3,2.3,2.18,1,3,1,3,0,2
2,2.18,2.3,2.3,2.18,1,2,1,2,0,3
3,2.74,2.3,2.3,2.74,3,3,2,3,1,3
4,2.18,2.3,2.18,2.3,3,1,2,3,1,4
5,2.18,2.3,2.18,2.3,3,2,2,2,1,5
6,2.45,2.3,2.45,2.3,1,2,2,2,1,6
7,2.45,2.3,2.3,2.45,3,3,3,3,2,6
8,2.18,2.3,2.18,2.3,3,1,3,3,2,7
9,2.18,2.3,2.18,2.3,3,3,3,1,3,7
10,2.31,2.3,2.3,2.31,3,2,3,2,3,8
11,2.31,2.3,2.3,2.31,3,2,3,2,3,9
12,2.45,2.3,2.3,2.45,3,2,3,2,3,10
