20,0.18
40,0.18,0
60,0.44,0
80,0.44,0
100,0.18,0
120,0.35,0
140,0.00,0
160,0.35
180,0.44,0
200,0.44,0
220,0.35,0
240,0.26,0
260,0.18,0
280,0.44,0
300,0.18,0
320,0.18,0
340,0.18,0
360,0.26,0
380,0.18,0
400,0.35,0
420,0.26,0
440,0.35,0
460,0.18,0
480,0.09,0
500,0.35,0
520,0.44,0
540,0.35,0
560,0.44,0
580,0.26,0
600,0.09,0
620,0.26,0
640,0.18,0
660,0.18,0
680,0.18,0
700,0.18,0
720,0.09,0
740,0.09,0
760,0.09,0
780,0.26,0
800,0.09,0
820,0.00,0
840,-0.18,0
860,0.18,0
880,-0.18,0
900,0.18,0
920,0.18,0
940,0.18,0
960,0.09,0
980,0.18
1000,0.09,0
1020,0.09,0
1040,0.35,0
1060,0.35,0
1080,0.18,0
1100,0.18,0
1120,-0.09,0
1120,-0.18,0
20,0.09,0
40,0.18,0
60,0.26,0
80,0.09,0
100,-0.18,0
120,0.09,0
140,0.09,0
160,0.09,0
180,0.26,0
200,0.18,0
220,-0.18,0
240,0.09,0
260,-0.09,0
280,0.18,0
300,0.18,0
320,0.18,0
340,0.18,0
360,0.35,0
380,0.26,0
400,0.18
420,0.09,0
440,0.09,0
460,0.18,0
480,0.18,0
500,0.09,0
520,0.18,0
540,0.18,0
560,0.09,0
580,0.09,0
600,0.26,0
620,0.18,0
640,0.18,0
660,-0.18,0
680,-0.09,0
700,-0.18,0
720,-0.26,0
740,-0.09,0
760,-0.18,0
780,0.09,0
800,0.09,0
820,0.09,0
840,0.18,0
860,0.18,0
880,0.18,0
900,0.09,0
920,0.09,0
940,0.09,0
960,0.26,0
980,0.09,0
1000,0.18,0
1020,-0.09,0
1040,-0.35,0
1060,0.35,0
1080,0.09,0
1100,0.18,0
1120,0.18,0
1140,0.44,0
1160,0.44,0
1180,0.26,0
1200,0.18,0
1220,0.44,0
1220,0.44,0
20,0.44
40,0.09,0
60,0.18,0
80,-0.18,0
100,0.18,0
120,0.18,0
140,0.18,0
160,0.09,0
180,0.18,0
200,0.00,0
220,0.09,0
240,0.09,0
260,-0.09,0
280,0.18,0
300,0.09,0
320,0.09,0
340,0.44,0
360,0.18
380,0.18,0
400,0.26,0
420,0.18,0
440,0.44,0
460,0.44,0
480,0.18,0
500,0.26
520,0.18,0
540,0.35,0
560,0.18,0
580,0.44,0
600,0.18,0
620,0.18,0
640,0.44,0
660,0.26,0
680,0.44,0
700,0.44,0
720,0.09,0
740,0.18,0
760,0.09,0
780,0.18,0
800,0.09,0
820,0.18,0
840,0.26,0
860,0.18,0
880,0.00,0
900,0.44,0
920,0.26,0
940,0.18,0
960,0.35,0
980,0.18,0
1000,0.00,0
1020,0.09,0
1040,0.18,0
1060,0.35,0
1080,0.18,0
1100,-0.09,0
1120,0.18,0
1140,0.09
1160,0.26,0
1180,0.35,0
1200,0.09,0
1200,0.09,0
20,0.35,0
40,0.35,0
60,0.18,0
80,0.09,0
100,0.18,0
120,0.18,0
140,0.62,0
160,0.35,0
180,0.35,0
200,0.44,0
220,0.18,0
240,0.44,0
260,0.44,0
280,0.44,0
300,0.18,0
320,0.18,0
340,0.18,0
360,0.18,0
380,0.09,0
400,0.18,0
420,-0.09,0
440,0.09,0
460,0.18,0
480,0.09,0
500,0.09,0
520,0.09,0
540,0.09,0
560,0.00
580,0.18,0
600,0.35,0
620,0.35,0
640,0.26,0
660,0.18,0
680,0.35,0
700,0.09,0
720,0.09,0
740,0.18,0
760,0.26,0
780,0.18,0
800,0.09
820,0.09,0
840,0.09,0
860,0.09,0
880,0.18,0
900,-0.18,0
920,0.09,0
940,0.44
960,0.26,0
980,-0.18,0
1000,0.09,0
1020,-0.18,0
1040,0.09,0
1060,0.18,0
1080,-0.09,0
1100,-0.44,0
1120,0.09,0
1140,0.09,0
1160,-0.09,0
1160,-0.18,0
20,-0.18,0
40,-0.09,0
60,-0.18,0
80,0.09,0
100,0.09,0
120,-0.35,0
140,0.18,0
160,0.18,0
180,0.18,0
200,0.18,0
220,0.09
240,0.00,0
260,0.09,0
280,-0.18,0
300,0.00,0
320,0.09,0
340,0.18,0
360,-0.18,0
380,0.09,0
400,0.00,0
420,0.09,0
440,0.09,0
460,0.09,0
480,0.09,0
500,0.09,0
520,-0.18,0
540,-0.09,0
560,-0.09,0
580,0.09,0
600,0.00,0
620,0.00,0
640,0.09
660,-0.18,0
680,-0.18,0
700,-0.18,0
720,-0.09,0
740,0.09,0
760,0.00,0
780,0.09
800,0.09,0
820,-0.18,0
840,0.09,0
860,0.00,0
880,-0.18,0
900,-0.09,0
920,-0.35,0
940,0.09,0
960,-0.18
980,0.00,0
1000,0.09,0
1020,0.09,0
1040,0.00,0
1060,0.18,0
1080,0.18,0
1100,0.00,0
1120,0.09,0
1140,0.00,0
1160,0.09,0
1180,0.09,0
1200,0.09,0
1220,0.18,0
1240,0.26
1260,0.44,0
1280,0.35,0
1300,0.70,0
1320,0.70,0
1340,0.79,0
1360,1.05,0
1380,0.88,0
1400,0.97,0
1420,1.05,0
1440,1.23,0
1460,1.32,0
1480,1.41,0
1500,1.67,0
1520,1.67,0
1540,1.76,0
1560,1.67,0
1580,1.93,0
1600,2.11
1620,2.29,0
1640,2.29,0
1660,2.11,0
1680,2.37,0
1700,2.37,0
1720,2.55,0
1740,2.55,0
1760,2.90,0
1780,3.16
1800,3.08,0
1820,3.16,0
1840,3.08,0
1860,3.34,0
1880,3.52,0
1900,3.78,0
1920,3.78,0
1940,4.04,0
1960,4.13,0
1980,4.13,0
2000,4.22,0
2020,4.48,0
2040,4.39,0
