time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
250,22.65,30.66,252.00,0
249,110.62,123.65,252.00,0
250,206.29,215.74,252.00,0
251,260.00,263.32,251.00,0
251,270.78,270.17,251.00,0
252,261.04,259.52,251.00,0
251,250.87,250.03,251.00,0
252,246.90,246.81,251.00,0
252,247.97,248.30,251.00,0
252,250.77,251.08,251.00,0
252,252.74,252.89,251.00,0
253,253.24,253.24,251.00,0
252,252.88,252.79,251.00,0
255,252.36,252.36,252.00,0
255,252.88,252.98,252.00,0
252,253.73,253.82,252.00,0
252,253.93,253.87,252.00,0
248,253.25,253.13,252.00,0
251,251.91,251.71,252.00,0
253,250.62,250.53,252.00,0
252,251.74,251.88,252.00,0
254,252.55,252.63,253.00,0
252,253.24,253.32,253.00,0
255,253.72,253.77,253.00,0
252,254.10,254.12,253.00,0
255,253.89,253.81,253.00,0
251,253.24,253.16,252.00,0
252,252.58,252.52,253.00,0
255,252.25,252.26,253.00,0
252,252.64,252.73,253.00,0
254,253.04,253.02,253.00,0
251,252.54,252.45,253.00,0
251,251.90,251.83,253.00,0
251,251.44,251.41,253.00,0
248,251.23,251.18,252.00,0
252,250.68,250.63,252.00,0
252,250.62,250.67,252.00,0
252,251.26,251.37,252.00,0
252,251.99,252.05,252.00,0
252,252.34,252.37,252.00,0
252,252.67,252.72,252.00,0
106256,0.00,0.00,252.00,0,0
106287,0.00,0.00,252.00,0,0
106318,0.00,0.00,252.00,0,0,0
106349,0.00,0.00,252.00,0,0
106380,0.00,0.00,252.00,0,0,0
106411,0.00,0.00,252.00,0,0
106441,0.00,0.00,252.00,0,0
106472,0.00,0.00,252.00,0,0
106503,0.00,0.00,252.00,0,0
106534,0.00,0.00,252.00,0,0
106565,0.00,0.00,252.00,0,0
106596,0.00,0.00,252.00,0,0
106626,0.00,0.00,252.00,0,0
106657,0.00,0.00,252.00,0,0
106688,0.00,0.00,252.00,0,0
106719,0.00,0.00,252.00,0,0
106750,0.00,0.00,252.00,0,0
106781,0.00,0.00,252.00,0,0
106811,0.00,0.00,252.00,0,0
106842,0.00,0.00,252.00,0,0,0
106873,0.00,0.00,252.00,0,0
106904,0.00,0.00,252.00,0,0
106935,0.00,0.00,252.00,0,0
106966,0.00,0.00,252.00,0,0
106997,0.00,0.00,252.00,0,0
107028,0.00,0.00,252.00,0,0
107058,0.00,0.00,252.00,0,0
107089,0.00,0.00,252.00,0,0
107120,0.00,0.00,252.00,0,0
107151,0.00,0.00,252.00,0,0
107182,0.00,0.00,252.00,0,0
107213,0.00,0.00,252.00,0,0
107244,0.00,0.00,252.00,0,0
107275,0.00,0.00,252.00,0,0
107305,0.00,0.00,252.00,0,0,0
107336,0.00,0.00,252.00,0,0
