time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.71,30.74,254.00,0
252,111.29,124.45,254.00,0
255,208.02,217.62,254.00,0
252,263.14,266.65,254.00,0
252,274.93,274.37,254.00,0
255,265.04,263.44,254.00,0
255,254.22,253.33,254.00,0
252,250.26,250.17,254.00,0
255,250.79,251.00,254.00,0
255,252.81,253.05,254.00,0
252,254.31,254.39,254.00,0
252,254.23,254.12,254.00,0
255,253.33,253.27,254.00,0
255,253.33,253.40,254.00,0
252,253.95,254.00,254.00,0
252,254.02,254.00,254.00,0
252,253.69,253.66,254.00,0
254,253.47,253.44,254.00,0
255,253.27,253.25,254.00,0
252,253.39,253.44,254.00,0
255,253.62,253.60,254.00,0
255,253.58,253.60,254.00,0
254,253.93,253.98,254.00,0
254,254.34,254.38,254.00,0
255,254.47,254.45,254.00,0
257,254.31,254.31,254.00,0
256,254.60,254.68,254.00,0
256,255.32,255.41,254.00,0
255,255.82,255.83,254.00,0
255,255.53,255.46,255.00,0
254,255.05,255.00,255.00,0
255,254.69,254.65,255.00,0
252,254.37,254.33,255.00,0
252,253.88,253.80,255.00,0
252,253.23,253.15,254.00,0
254,252.61,252.55,254.00,0
252,252.32,252.33,254.00,0
255,252.67,252.77,254.00,0
255,253.65,253.78,254.00,0
253,254.47,254.51,254.00,0
255,254.33,254.27,254.00,0
255,254.02,254.02,254.00,0
170109,0.00,0.00,254.00,0,2
170140,0.00,0.00,254.00,0,2
170170,0.00,0.00,254.00,0,3
170201,0.00,0.00,254.00,0,2
170232,0.00,0.00,254.00,0,2
170263,0.00,0.00,254.00,0,2
170294,0.00,0.00,254.00,0,3
170325,0.00,0.00,254.00,0,3
170356,0.00,0.00,254.00,0,2
170386,0.00,0.00,254.00,0,3
170417,0.00,0.00,254.00,0,2,0
170448,0.00,0.00,254.00,0,2
170479,0.00,0.00,254.00,0,2
170510,0.00,0.00,254.00,0,2
170541,0.00,0.00,254.00,0,2
170572,0.00,0.00,254.00,0,3
170603,0.00,0.00,254.00,0,2
170633,0.00,0.00,254.00,0,2
170664,0.00,0.00,254.00,0,3
170695,0.00,0.00,254.00,0,2
170726,0.00,0.00,254.00,0,3
170757,0.00,0.00,254.00,0,3
170788,0.00,0.00,254.00,0,3
170819,0.00,0.00,254.00,0,2
170849,0.00,0.00,254.00,0,2
170880,0.00,0.00,254.00,0,2,0
170911,0.00,0.00,254.00,0,2
170942,0.00,0.00,254.00,0,3
170973,0.00,0.00,254.00,0,2
171004,0.00,0.00,254.00,0,2
171035,0.00,0.00,254.00,0,3
171066,0.00,0.00,254.00,0,3
171096,0.00,0.00,254.00,0,2
171127,0.00,0.00,254.00,0,2
171158,0.00,0.00,254.00,0,3
171189,0.00,0.00,254.00,0,2
171220,0.00,0.00,254.00,0,2
171251,0.00,0.00,254.00,0,2
171282,0.00,0.00,254.00,0,2
171312,0.00,0.00,254.00,0,3
171343,0.00,0.00,254.00,0,2,0
171374,0.00,0.00,254.00,0,2
171405,0.00,0.00,254.00,0,2
171436,0.00,0.00,254.00,0,3
171467,0.00,0.00,254.00,0,3
171498,0.00,0.00,254.00,0,3
171529,0.00,0.00,254.00,0,2
171559,0.00,0.00,254.00,0,2
171590,0.00,0.00,254.00,0,2
171621,0.00,0.00,254.00,0,2
171652,0.00,0.00,254.00,0,3
171683,0.00,0.00,254.00,0,2
171714,0.00,0.00,254.00,0,2
171745,0.00,0.00,254.00,0,2
171776,0.00,0.00,254.00,0,3
171806,0.00,0.00,254.00,0,2,0
171837,0.00,0.00,254.00,0,3
171868,0.00,0.00,254.00,0,2,0
171899,0.00,0.00,254.00,0,3
171930,0.00,0.00,254.00,0,2
171961,0.00,0.00,254.00,0,3
171992,0.00,0.00,254.00,0,2
172023,0.00,0.00,254.00,0,2
172053,0.00,0.00,254.00,0,2
172084,0.00,0.00,254.00,0,2
172115,0.00,0.00,254.00,0,2
172146,0.00,0.00,254.00,0,2
172177,0.00,0.00,254.00,0,2
172208,0.00,0.00,254.00,0,3
172239,0.00,0.00,254.00,0,2
172269,0.00,0.00,254.00,0,3,0
172300,0.00,0.00,254.00,0,2
172331,0.00,0.00,254.00,0,3,0
172362,0.00,0.00,254.00,0,3
172393,0.00,0.00,254.00,0,3
172424,0.00,0.00,254.00,0,2
172455,0.00,0.00,254.00,0,2
172486,0.00,0.00,254.00,0,2
172516,0.00,0.00,254.00,0,2
172547,0.00,0.00,254.00,0,2
172578,0.00,0.00,254.00,0,2
172609,0.00,0.00,254.00,0,2
172640,0.00,0.00,254.00,0,3
172671,0.00,0.00,254.00,0,3
172702,0.00,0.00,254.00,0,2
172733,0.00,0.00,254.00,0,2
172763,0.00,0.00,254.00,0,2
172794,0.00,0.00,254.00,0,2,0
172825,0.00,0.00,254.00,0,3
172856,0.00,0.00,254.00,0,2
172887,0.00,0.00,254.00,0,3
172918,0.00,0.00,254.00,0,2
172949,0.00,0.00,254.00,0,2
172980,0.00,0.00,254.00,0,2
173010,0.00,0.00,254.00,0,3
173041,0.00,0.00,254.00,0,3
173072,0.00,0.00,254.00,0,2
173103,0.00,0.00,254.00,0,3
173134,0.00,0.00,254.00,0,3
173165,0.00,0.00,254.00,0,2
173196,0.00,0.00,254.00,0,3
173227,0.00,-0.09,253.00,0,3
173257,0.00,-0.09,253.00,0,2
173288,0.00,-0.09,253.00,0,3
173319,0.00,-0.09,253.00,0,2
173350,0.00,-0.09,253.00,0,3
173381,0.00,-0.09,253.00,0,2
173412,0.00,-0.09,253.00,0,2
173443,0.00,-0.09,253.00,0,3
173474,0.00,-0.09,253.00,0,2
173505,0.00,-0.09,253.00,0,2
173536,0.00,-0.09,253.00,0,2
173567,0.00,-0.09,253.00,0,2
173598,0.00,-0.09,253.00,0,2
173629,0.00,-0.09,253.00,0,2
173660,0.00,-0.09,253.00,0,2
173691,0.00,-0.09,253.00,0,2
173722,0.00,-0.09,253.00,0,2
173753,0.00,-0.09,253.00,0,2
173784,0.00,-0.09,253.00,0,2
173815,0.00,-0.09,253.00,0,3,0
173846,0.00,-0.09,253.00,0,2
173877,0.00,-0.09,253.00,0,2
173908,0.00,-0.09,253.00,0,2
173939,0.00,-0.09,253.00,0,3
173970,0.00,-0.09,253.00,0,2
174001,0.00,-0.09,253.00,0,3
174032,0.00,-0.09,253.00,0,2
174063,0.00,-0.09,253.00,0,2
174094,0.00,-0.09,253.00,0,2
174125,0.00,-0.09,253.00,0,2
174156,0.00,-0.09,253.00,0,3
174186,0.00,-0.09,253.00,0,2
174217,0.00,-0.09,253.00,0,2
174248,0.00,-0.09,253.00,0,3
174279,0.00,-0.09,253.00,0,2
174310,0.00,-0.09,253.00,0,2
174341,0.00,-0.09,253.00,0,3
174372,0.00,-0.09,253.00,0,3
174403,0.00,-0.09,253.00,0,3
174434,0.00,-0.09,253.00,0,3,0
174465,0.00,-0.09,253.00,0,3
174496,0.00,-0.09,253.00,0,2
174527,0.00,-0.09,253.00,0,2
174558,0.00,-0.09,253.00,0,2
174589,0.00,-0.09,253.00,0,3
174620,0.00,-0.09,253.00,0,3
174651,0.00,-0.09,253.00,0,3
174682,0.00,-0.09,253.00,0,2
174713,0.00,-0.09,253.00,0,3,0
175247,2.84,0.09,254.00,394,352
175280,2.84,0.09,254.00,415,369
175315,2.84,0.09,254.00,436,388
175349,2.84,0.09,254.00,457,408
175384,2.84,0.09,254.00,478,429
175418,2.84,0.09,254.00,499,451
175453,2.84,0.09,254.00,520,471
175486,2.84,0.09,254.00,541,496
175522,2.84,0.09,254.00,562,513
175555,2.84,0.18,255.00,576,534
175590,2.84,0.18,255.00,596,559
175624,2.84,0.18,255.00,617,575
175659,2.84,0.18,255.00,637,591
175693,2.84,0.18,255.00,657,611
175728,2.84,0.18,255.00,678,630
175761,2.84,0.18,255.00,698,653
175797,2.84,0.18,255.00,719,668
175830,2.84,0.26,256.00,731,689
175865,2.84,0.26,256.00,751,713
175899,2.84,0.26,256.00,771,726
175934,2.84,0.26,256.00,790,744
175968,2.84,0.26,256.00,810,763
176003,2.84,0.26,256.00,830,783
176036,2.84,0.35,257.00,842,804,0
176072,2.84,0.35,257.00,861,826
176105,2.84,0.35,257.00,880,842
176140,2.84,0.35,257.00,899,853
176174,2.84,0.35,257.00,918,871
176209,2.84,0.35,257.00,937,891
176243,2.84,0.44,258.00,948,910
176278,2.84,0.44,258.00,967,929
176311,2.84,0.44,258.00,985,946
176347,2.84,0.44,258.00,1004,959
176382,2.84,0.44,258.00,1022,977
176418,2.84,0.53,259.00,1033,993
176453,2.84,0.53,259.00,1050,1012
176488,2.84,0.53,259.00,1068,1030
176526,2.84,0.53,259.00,1086,1048
176561,2.84,0.53,259.00,1104,1066
176599,2.84,0.62,260.00,1113,1080
176634,2.84,0.62,260.00,1131,1095
176672,2.84,0.62,260.00,1148,1110
176707,2.84,0.62,260.00,1165,1129
176745,2.84,0.70,261.00,1174,1145
176780,2.84,0.70,261.00,1190,1163,0
176818,2.84,0.70,261.00,1207,1167
176853,2.84,0.79,262.00,1215,1181
176890,2.84,0.79,262.00,1231,1201
176926,2.84,0.79,262.00,1247,1215
176963,2.84,0.88,263.00,1255,1223
176999,2.84,0.88,263.00,1270,1235
177036,2.84,0.88,263.00,1285,1253
177072,2.84,0.88,263.00,1300,1271
