time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
259,22.81,30.92,256.00,0
256,112.48,125.80,257.00,0
257,210.65,220.39,257.00,0
258,266.45,269.98,257.00,0
257,278.46,277.95,257.00,0
259,258.74,257.86,258.00,0
256,254.58,254.44,257.00,0
259,254.66,254.80,257.00,0
259,256.17,256.39,258.00,0
258,257.74,257.87,257.00,0
259,257.70,257.62,258.00,0
259,257.46,257.49,258.00,0
261,257.98,258.07,258.00,0
262,258.78,258.87,258.00,0
260,259.48,259.58,258.00,0
260,260.21,260.27,258.00,0
259,260.42,260.40,259.00,0
259,260.00,259.92,259.00,0
257,259.22,259.11,259.00,0
259,258.39,258.32,259.00,0
258,258.15,258.17,259.00,0
262,258.59,258.72,259.00,0
260,259.79,259.93,259.00,0
260,260.55,260.59,260.00,0
260,260.57,260.54,260.00,0
256,260.24,260.18,260.00,0
260,259.53,259.45,260.00,0
259,259.28,259.30,260.00,0
260,259.50,259.53,259.00,0
260,259.69,259.71,260.00,0
262,259.86,259.88,260.00,0
259,260.09,260.11,260.00,0
260,260.03,259.99,260.00,0
256,259.71,259.68,260.00,0
259,258.98,258.95,260.00,0
259,258.84,258.84,259.00,0
257,258.89,258.90,259.00,0
259,258.80,258.76,259.00,0
260,258.54,258.54,259.00,0
32152,0.00,0.00,259.00,0,0
32183,0.00,0.00,259.00,0,0
32214,0.00,0.00,259.00,0,0
32245,0.00,0.00,259.00,0,0
32275,0.00,0.00,259.00,0,0
32306,0.00,0.00,259.00,0,0
32337,0.00,0.00,259.00,0,0
32368,0.00,0.00,259.00,0,0
32399,0.00,0.00,259.00,0,0
32430,0.00,0.00,259.00,0,0
32461,0.00,0.00,259.00,0,0
32491,0.00,-0.09,258.00,0,0
32522,0.00,-0.09,258.00,0,0,0
32553,0.00,-0.09,258.00,0,0
32584,0.00,-0.09,258.00,0,0
32615,0.00,-0.09,258.00,0,0
32646,0.00,-0.09,258.00,0,0
32677,0.00,-0.09,258.00,0,0
32708,0.00,-0.09,258.00,0,0
32739,0.00,-0.09,258.00,0,0
32770,0.00,-0.09,258.00,0,0
32801,0.00,-0.09,258.00,0,0
32832,0.00,-0.09,258.00,0,0
32863,0.00,-0.09,258.00,0,0
32893,0.00,-0.09,258.00,0,0
32924,0.00,-0.18,257.00,0,0,0
32955,0.00,-0.18,257.00,0,0
32986,0.00,-0.18,257.00,0,0,0
33017,0.00,-0.18,257.00,0,0
33048,0.00,-0.18,257.00,0,0
33079,0.00,-0.18,257.00,0,0
33110,0.00,-0.18,257.00,0,0
33140,0.00,-0.18,257.00,0,0
33171,0.00,-0.18,257.00,0,0
33202,0.00,-0.18,257.00,0,0
33233,0.00,-0.18,257.00,0,0
33264,0.00,-0.18,257.00,0,0
33295,0.00,-0.18,257.00,0,0
33326,0.00,-0.18,257.00,0,0
33357,0.00,-0.18,257.00,0,0
33387,0.00,-0.18,257.00,0,0
33418,0.00,-0.18,257.00,0,0
33449,0.00,-0.18,257.00,0,0,0
33480,0.00,-0.18,257.00,0,0
33511,0.00,-0.18,257.00,0,0
33542,0.00,-0.18,257.00,0,0
33573,0.00,-0.18,257.00,0,0
33603,0.00,-0.18,257.00,0,0
33634,0.00,-0.18,257.00,0,0
33665,0.00,-0.18,257.00,0,0
33696,0.00,-0.18,257.00,0,0
33727,0.00,-0.18,257.00,0,0
33758,0.00,-0.18,257.00,0,0
33789,0.00,-0.18,257.00,0,0
33819,0.00,-0.18,257.00,0,0
33850,0.00,-0.18,257.00,0,0
33881,0.00,-0.18,257.00,0,0
33912,0.00,-0.18,257.00,0,0,0
33943,0.00,-0.18,257.00,0,0
33974,0.00,-0.18,257.00,0,0
34005,0.00,-0.18,257.00,0,0
34035,0.00,-0.18,257.00,0,0
34066,0.00,-0.18,257.00,0,0
34097,0.00,-0.18,257.00,0,0
34128,0.00,-0.18,257.00,0,0
34159,0.00,-0.18,257.00,0,0
34190,0.00,-0.18,257.00,0,0
34221,0.00,-0.18,257.00,0,0
34251,0.00,-0.18,257.00,0,0
34282,0.00,-0.18,257.00,0,0
34313,0.00,-0.18,257.00,0,0
34344,0.00,-0.18,257.00,0,0
34375,0.00,-0.18,257.00,0,0,0
34406,0.00,-0.18,257.00,0,0
34437,0.00,-0.18,257.00,0,0
34467,0.00,-0.18,257.00,0,0
34498,0.00,-0.18,257.00,0,0
34529,0.00,-0.18,257.00,0,0
34560,0.00,-0.18,257.00,0,0
34591,0.00,-0.18,257.00,0,0
34622,0.00,-0.18,257.00,0,0
34653,0.00,-0.18,257.00,0,0
34684,0.00,-0.18,257.00,0,0
34714,0.00,-0.18,257.00,0,0
34745,0.00,-0.18,257.00,0,0
34776,0.00,-0.18,257.00,0,0
34807,0.00,-0.18,257.00,0,0
34838,0.00,-0.18,257.00,0,0,0
34869,0.00,-0.18,257.00,0,0
34900,0.00,-0.18,257.00,0,0,0
34930,0.00,-0.18,257.00,0,0
34961,0.00,-0.18,257.00,0,0
34992,0.00,-0.18,257.00,0,0
35023,0.00,-0.18,257.00,0,0
35054,0.00,-0.09,258.00,0,0
35085,0.00,-0.18,257.00,0,0
35116,0.00,-0.18,257.00,0,0
35147,0.00,-0.18,257.00,0,0
35177,0.00,-0.18,257.00,0,0
35208,0.00,-0.18,257.00,0,0
35239,0.00,-0.18,257.00,0,0
35270,0.00,-0.18,257.00,0,0
35301,0.00,-0.18,257.00,0,0
35332,0.00,-0.18,257.00,0,0
35363,0.00,-0.18,257.00,0,0,0
35393,0.00,-0.18,257.00,0,0
35424,0.00,-0.18,257.00,0,0
35455,0.00,-0.18,257.00,0,0
35486,0.00,-0.18,257.00,0,0
35517,0.00,-0.18,257.00,0,0
35548,0.00,-0.18,257.00,0,0
35579,0.00,-0.18,257.00,0,0
35609,0.00,-0.18,257.00,0,0
35640,0.00,-0.18,257.00,0,0
35671,0.00,-0.18,257.00,0,0
35702,0.00,-0.18,257.00,0,0
35733,0.00,-0.18,257.00,0,0
35764,0.00,-0.18,257.00,0,0
35795,0.00,-0.18,257.00,0,0
35825,0.00,-0.18,257.00,0,0,0
35856,0.00,-0.18,257.00,0,0
35887,0.00,-0.18,257.00,0,0
35918,0.00,-0.18,257.00,0,0
35949,0.00,-0.09,258.00,0,0
35980,0.00,-0.09,258.00,0,0
36011,0.00,-0.09,258.00,0,0
36042,0.00,-0.09,258.00,0,0
36073,0.00,-0.09,258.00,0,0
36104,0.00,-0.09,258.00,0,0
36135,0.00,-0.09,258.00,0,0
36165,0.00,-0.09,258.00,0,0
36196,0.00,-0.09,258.00,0,0
36227,0.00,-0.09,258.00,0,0
36258,0.00,-0.09,258.00,0,0
36289,0.00,-0.09,258.00,0,0,0
36320,0.00,-0.09,258.00,0,0
36351,0.00,-0.09,258.00,0,0
36382,0.00,-0.09,258.00,0,0
36413,0.00,-0.09,258.00,0,0
36444,0.00,-0.09,258.00,0,0
36475,0.00,-0.18,257.00,0,0
36506,0.00,-0.18,257.00,0,0
36537,0.00,-0.18,257.00,0,0
36567,0.00,-0.18,257.00,0,0
36598,0.00,-0.18,257.00,0,0
36629,0.00,-0.09,258.00,0,0
36660,0.00,-0.18,257.00,0,0
36691,0.00,-0.09,258.00,0,0,0
36722,0.00,-0.09,258.00,0,0
36753,0.00,-0.09,258.00,0,0,0
36784,0.00,-0.18,257.00,0,0
36815,0.00,-0.18,257.00,0,0
36845,0.00,-0.09,258.00,0,0
36876,0.00,-0.18,257.00,0,0
36907,0.00,-0.18,257.00,0,0
36938,0.00,-0.18,257.00,0,0
36969,0.00,-0.09,258.00,0,0
37000,0.00,-0.09,258.00,0,0
37031,0.00,-0.09,258.00,0,0
37062,0.00,-0.09,258.00,0,0
37093,0.00,-0.09,258.00,0,0
37123,0.00,-0.09,258.00,0,0
37154,0.00,-0.09,258.00,0,0,0
37185,0.00,-0.09,258.00,0,0
37216,0.00,-0.09,258.00,0,0
37247,0.00,-0.09,258.00,0,0
37278,0.00,-0.09,258.00,0,0
37309,0.00,-0.09,258.00,0,0
37340,0.00,-0.09,258.00,0,0
37371,0.00,-0.09,258.00,0,0
37402,0.00,-0.09,258.00,0,0
37433,0.00,-0.09,258.00,0,0
37464,0.00,-0.09,258.00,0,0
37495,0.00,-0.09,258.00,0,0
37526,0.00,-0.09,258.00,0,0
37557,0.00,-0.09,258.00,0,0
37588,0.00,-0.09,258.00,0,0
37618,0.00,-0.09,258.00,0,0,0
37649,0.00,-0.09,258.00,0,0
37680,0.00,-0.09,258.00,0,0
37711,0.00,-0.09,258.00,0,0
37742,0.00,-0.09,258.00,0,0
37773,0.00,-0.09,258.00,0,0
37804,0.00,-0.09,258.00,0,0
37835,0.00,-0.09,258.00,0,0
37866,0.00,-0.09,258.00,0,0
37897,0.00,-0.09,258.00,0,0
37928,0.00,-0.09,258.00,0,0
37959,0.00,-0.09,258.00,0,0
37990,0.00,-0.09,258.00,0,0
38020,0.00,-0.09,258.00,0,0,0
38051,0.00,-0.09,258.00,0,0
38082,0.00,-0.09,258.00,0,0
38113,0.00,-0.09,258.00,0,0
38144,0.00,-0.09,258.00,0,0
38175,0.00,-0.09,258.00,0,0
38206,0.00,-0.09,258.00,0,0
38237,0.00,-0.09,258.00,0,0
38268,0.00,-0.09,258.00,0,0
38299,0.00,-0.09,258.00,0,0
38330,0.00,-0.09,258.00,0,0
38361,0.00,-0.09,258.00,0,0
38392,0.00,-0.09,258.00,0,0
38423,0.00,-0.09,258.00,0,0
38454,0.00,-0.09,258.00,0,0
38485,0.00,-0.09,258.00,0,0,0
38515,0.00,-0.09,258.00,0,0
38546,0.00,-0.09,258.00,0,0
38577,0.00,-0.09,258.00,0,0
38608,0.00,-0.09,258.00,0,0
38639,0.00,-0.09,258.00,0,0
38670,0.00,-0.09,258.00,0,0
38701,0.00,-0.09,258.00,0,0
38732,0.00,-0.09,258.00,0,0
38763,0.00,-0.09,258.00,0,0
38794,0.00,-0.09,258.00,0,0
38825,0.00,-0.09,258.00,0,0
38856,0.00,-0.09,258.00,0,0
38887,0.00,-0.09,258.00,0,0,0
38918,0.00,-0.09,258.00,0,0
38948,0.00,-0.09,258.00,0,0
38979,0.00,-0.09,258.00,0,0
39010,0.00,-0.09,258.00,0,0
39041,0.00,-0.09,258.00,0,0
39072,0.00,-0.09,258.00,0,0
39103,0.00,-0.09,258.00,0,0
39134,0.00,-0.09,258.00,0,0
39165,0.00,-0.09,258.00,0,0
39196,0.00,-0.09,258.00,0,0
39227,0.00,-0.09,258.00,0,0
39258,0.00,-0.09,258.00,0,0
39289,0.00,-0.09,258.00,0,0
39320,0.00,-0.09,258.00,0,0
39351,0.00,-0.09,258.00,0,0,0
39382,0.00,-0.09,258.00,0,0
39412,0.00,-0.09,258.00,0,0
39443,0.00,-0.09,258.00,0,0
39474,0.00,-0.09,258.00,0,0
39505,0.00,-0.09,258.00,0,0
39536,0.00,-0.09,258.00,0,0
39567,0.00,-0.09,258.00,0,0
39598,0.00,-0.09,258.00,0,0
39629,0.00,-0.09,258.00,0,0
39660,0.00,-0.09,258.00,0,0
39691,0.00,-0.09,258.00,0,0
39722,0.00,-0.09,258.00,0,0
39753,0.00,-0.09,258.00,0,0,0
39784,0.00,-0.09,258.00,0,0
39815,0.00,-0.09,258.00,0,0,0
39845,0.00,-0.09,258.00,0,0
39876,0.00,-0.09,258.00,0,0
39907,0.00,-0.09,258.00,0,0
39938,0.00,-0.09,258.00,0,0
39969,0.00,-0.09,258.00,0,0
40000,0.00,0.00,259.00,0,0
40031,0.00,0.00,259.00,0,0
40062,0.00,0.00,259.00,0,0
40093,0.00,0.00,259.00,0,0
40124,0.00,-0.09,258.00,0,0
40155,0.00,-0.09,258.00,0,0
40186,0.00,-0.09,258.00,0,0
40216,0.00,-0.09,258.00,0,0
40247,0.00,-0.09,258.00,0,1
40278,0.00,0.00,259.00,0,0,0
40309,0.00,0.00,259.00,0,0
40340,0.00,0.00,259.00,0,0
40371,0.00,0.00,259.00,0,0
40402,0.00,0.00,259.00,0,0
40433,0.00,0.00,259.00,0,0
40463,0.00,0.00,259.00,0,0
40494,0.00,0.00,259.00,0,0
40525,0.00,0.00,259.00,0,0
40556,0.00,0.00,259.00,0,0
40587,0.00,0.00,259.00,0,0
40618,0.00,0.00,259.00,0,0
40649,0.00,0.00,259.00,0,0
40679,0.00,-0.09,258.00,0,0,0
40710,0.00,-0.09,258.00,0,0
40741,0.00,-0.09,258.00,0,0
40772,0.00,-0.09,258.00,0,0
40803,0.00,-0.09,258.00,0,0
40834,0.00,-0.09,258.00,0,0
40865,0.00,-0.09,258.00,0,0
40896,0.00,-0.09,258.00,0,0
40927,0.00,-0.09,258.00,0,0
40958,0.00,-0.09,258.00,0,0
40989,0.00,-0.09,258.00,0,0
41020,0.00,-0.09,258.00,0,0
41051,0.00,-0.09,258.00,0,0
41082,0.00,-0.09,258.00,0,0
41113,0.00,-0.09,258.00,0,0
41143,0.00,-0.09,258.00,0,0,0
41174,0.00,-0.09,258.00,0,0
41205,0.00,-0.09,258.00,0,0
41236,0.00,-0.09,258.00,0,0
41267,0.00,-0.09,258.00,0,0
41298,0.00,-0.09,258.00,0,0
41329,0.00,-0.09,258.00,0,0
41360,0.00,-0.09,258.00,0,0
41391,0.00,-0.09,258.00,0,0
41422,0.00,-0.09,258.00,0,0
41453,0.00,-0.09,258.00,0,0
41484,0.00,-0.09,258.00,0,0
41515,0.00,-0.09,258.00,0,0
41545,0.00,-0.09,258.00,0,0,0
41576,0.00,-0.09,258.00,0,0
41607,0.00,-0.09,258.00,0,0
41638,0.00,-0.09,258.00,0,0
41669,0.00,-0.09,258.00,0,0
41700,0.00,-0.09,258.00,0,0
41731,0.00,-0.09,258.00,0,0
41762,0.00,-0.09,258.00,0,0
41793,0.00,-0.09,258.00,0,0
41824,0.00,-0.09,258.00,0,0
41855,0.00,-0.09,258.00,0,0
41886,0.00,-0.09,258.00,0,0
41917,0.00,-0.09,258.00,0,0
41948,0.00,-0.09,258.00,0,0
41979,0.00,-0.09,258.00,0,0
42009,0.00,-0.09,258.00,0,0,0
