time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
252,22.62,30.60,253.00,0
254,110.50,123.52,253.00,0
252,206.49,216.04,253.00,0
252,261.31,264.77,253.00,0
252,273.05,272.55,253.00,0
252,263.98,262.47,252.00,0
248,253.33,252.38,252.00,0
251,248.22,247.96,252.00,0
251,247.85,248.00,252.00,0
251,249.51,249.72,252.00,0
251,250.90,251.01,252.00,0
251,251.38,251.37,252.00,0
251,251.15,251.12,252.00,0
251,250.90,250.89,251.00,0
251,250.84,250.85,251.00,0
250,250.91,250.91,251.00,0
251,250.90,250.89,251.00,0
250,250.82,250.82,251.00,0
252,250.79,250.80,251.00,0
252,251.02,251.07,251.00,0
251,251.46,251.50,251.00,0
251,251.53,251.51,251.00,0
254,251.47,251.53,251.00,0
252,252.16,252.25,251.00,0
251,252.55,252.54,251.00,0
251,252.13,252.05,251.00,0
251,251.43,251.36,251.00,0
251,250.97,250.94,251.00,0
251,250.84,250.84,251.00,0
254,250.89,250.91,252.00,0
255,251.41,251.55,252.00,0
252,252.69,252.82,252.00,0
253,253.21,253.20,252.00,0
252,252.94,252.88,252.00,0
252,252.47,252.41,252.00,0
252,252.09,252.06,252.00,0
252,252.07,252.11,252.00,0
251,252.44,252.47,252.00,0
250,252.33,252.27,252.00,0
251,251.58,251.45,252.00,0
248,250.68,250.59,252.00,0
251,250.10,250.07,252.00,0
100873,0.00,0.00,252.00,0,1
100904,0.00,0.00,252.00,0,1
100935,0.00,0.00,252.00,0,1
100965,0.00,0.00,252.00,0,1
100996,0.00,0.00,252.00,0,1
101027,0.00,0.00,252.00,0,1
101058,0.00,0.00,252.00,0,1
101089,0.00,0.00,252.00,0,1
101120,0.00,0.00,252.00,0,1
101150,0.00,0.00,252.00,0,1
101181,0.00,0.00,252.00,0,1
101212,0.00,0.00,252.00,0,1,0
101243,0.00,0.00,252.00,0,1
101274,0.00,0.00,252.00,0,1
101305,0.00,0.00,252.00,0,1
101335,0.00,0.00,252.00,0,1
101366,0.00,0.00,252.00,0,1
101397,0.00,0.00,252.00,0,1
101428,0.00,0.00,252.00,0,1
101459,0.00,0.00,252.00,0,1
101490,0.00,0.00,252.00,0,1
101520,0.00,0.00,252.00,0,0
101551,0.00,0.00,252.00,0,1
101582,0.00,0.00,252.00,0,1
101613,0.00,0.00,252.00,0,1
101644,0.00,0.00,252.00,0,1
101675,0.00,0.00,252.00,0,1,0
101705,0.00,0.00,252.00,0,1
101736,0.00,0.00,252.00,0,1,0
101767,0.00,0.00,252.00,0,1
101798,0.00,0.00,252.00,0,1
101829,0.00,-0.09,251.00,0,1
101860,0.00,-0.09,251.00,0,1
101891,0.00,-0.09,251.00,0,1
101922,0.00,-0.09,251.00,0,1
101953,0.00,-0.09,251.00,0,1
101984,0.00,-0.09,251.00,0,1
102015,0.00,0.00,252.00,0,1
102046,0.00,0.00,252.00,0,1
102077,0.00,-0.09,251.00,0,1,0
102107,0.00,-0.09,251.00,0,1
102138,0.00,-0.09,251.00,0,1
102169,0.00,-0.09,251.00,0,1
102200,0.00,0.00,252.00,0,1
102231,0.00,0.00,252.00,0,1
102262,0.00,0.00,252.00,0,1
102293,0.00,0.00,252.00,0,1
102324,0.00,0.00,252.00,0,1
102355,0.00,-0.09,251.00,0,1
102386,0.00,-0.09,251.00,0,1
102417,0.00,-0.09,251.00,0,1
102448,0.00,-0.09,251.00,0,1
102479,0.00,-0.09,251.00,0,1,0
102510,0.00,-0.09,251.00,0,1
102541,0.00,-0.09,251.00,0,1
102572,0.00,-0.09,251.00,0,1
102603,0.00,-0.09,251.00,0,1
102633,0.00,-0.09,251.00,0,1
102664,0.00,-0.09,251.00,0,1
102695,0.00,-0.09,251.00,0,1
102726,0.00,-0.09,251.00,0,1
102757,0.00,-0.09,251.00,0,1
102788,0.00,-0.09,251.00,0,1
102819,0.00,-0.09,251.00,0,1
102850,0.00,-0.09,251.00,0,1
102881,0.00,-0.09,251.00,0,1
