time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.39,30.35,252.00,0
252,110.55,123.67,253.00,0
255,207.35,217.01,253.00,0
255,262.93,266.49,254.00,0
255,275.17,274.67,254.00,0
256,266.00,264.50,254.00,0
256,255.78,254.92,254.00,0
256,251.77,251.69,254.00,0
256,252.71,253.00,255.00,0
255,255.08,255.32,255.00,0
255,256.26,256.30,255.00,0
256,256.07,256.01,255.00,0
255,255.43,255.34,255.00,0
255,254.79,254.71,255.00,0
255,254.31,254.28,255.00,0
255,254.14,254.11,255.00,0
255,254.00,254.01,255.00,0
257,254.50,254.64,255.00,0
259,255.88,256.05,255.00,0
260,257.27,257.44,256.00,0
259,258.70,258.63,256.00,0
256,258.16,258.12,256.00,0
259,257.94,257.93,257.00,0
259,257.99,257.99,257.00,0
256,258.01,258.00,257.00,0
259,257.53,257.51,258.00,0
259,257.67,257.73,258.00,0
259,258.22,258.27,258.00,0
260,258.58,258.62,258.00,0
259,259.01,259.06,258.00,0
253,259.35,259.37,258.00,0
258,258.98,258.86,258.00,0
256,257.99,257.87,258.00,0
258,257.09,256.98,258.00,0
256,256.49,256.47,258.00,0
259,256.46,256.47,258.00,0
259,257.16,257.21,258.00,0
259,257.59,257.64,258.00,0
256,257.91,257.92,258.00,0
460409,0.00,0.00,258.00,0,3
460440,0.00,0.00,258.00,0,3,0
460471,0.00,0.00,258.00,0,3
460502,0.00,0.00,258.00,0,3
460532,0.00,0.00,258.00,0,3
460563,0.00,0.00,258.00,0,3
460594,0.00,0.00,258.00,0,3
460625,0.00,0.00,258.00,0,3
460656,0.00,0.00,258.00,0,3
460687,0.00,0.00,258.00,0,3
460718,0.00,0.00,258.00,0,3
460749,0.00,0.00,258.00,0,2
460779,0.00,0.00,258.00,0,3
460810,0.00,0.00,258.00,0,2
460841,0.00,0.09,259.00,0,3
460872,0.00,0.09,259.00,0,2
460903,0.00,0.09,259.00,0,3,0
460934,0.00,0.09,259.00,0,2
460965,0.00,0.09,259.00,0,3
460996,0.00,0.09,259.00,0,2
461027,0.00,0.09,259.00,0,2
461058,0.00,0.18,260.00,0,3
461089,0.00,0.18,260.00,0,2
461119,0.00,0.18,260.00,0,3
461150,0.00,0.18,260.00,0,3
461181,0.00,0.18,260.00,0,3
461212,0.00,0.18,260.00,0,3
461243,0.00,0.18,260.00,0,3
461274,0.00,0.18,260.00,0,3
461305,0.00,0.18,260.00,0,2
461336,0.00,0.26,261.00,0,3
461367,0.00,0.26,261.00,0,3,0
461398,0.00,0.26,261.00,0,3
461429,0.00,0.26,261.00,0,2
461459,0.00,0.26,261.00,0,3
461490,0.00,0.26,261.00,0,3
461521,0.00,0.26,261.00,0,3
461552,0.00,0.26,261.00,0,3
461583,0.00,0.26,261.00,0,3
461614,0.00,0.26,261.00,0,3
461645,0.00,0.26,261.00,0,3
461676,0.00,0.35,262.00,0,2
461707,0.00,0.35,262.00,0,3
461738,0.00,0.35,262.00,0,3
461769,0.00,0.35,262.00,0,3
461799,0.00,0.35,262.00,0,2
461830,0.00,0.35,262.00,0,3,0
461861,0.00,0.35,262.00,0,3
461892,0.00,0.44,263.00,0,3
461923,0.00,0.44,263.00,0,2
461954,0.00,0.44,263.00,0,2
461985,0.00,0.44,263.00,0,3
462016,0.00,0.44,263.00,0,3
462047,0.00,0.44,263.00,0,3
462078,0.00,0.44,263.00,0,3
462109,0.00,0.44,263.00,0,3
462139,0.00,0.44,263.00,0,3
462170,0.00,0.44,263.00,0,3
462201,0.00,0.44,263.00,0,3
462232,0.00,0.44,263.00,0,3,0
462263,0.00,0.44,263.00,0,2
462294,0.00,0.35,262.00,0,2
462325,0.00,0.35,262.00,0,3
462356,0.00,0.35,262.00,0,3
462387,0.00,0.35,262.00,0,3
462418,0.00,0.35,262.00,0,3
462449,0.00,0.35,262.00,0,3
462480,0.00,0.35,262.00,0,3
462510,0.00,0.35,262.00,0,3
462541,0.00,0.35,262.00,0,3
462572,0.00,0.35,262.00,0,3
462603,0.00,0.35,262.00,0,2
462634,0.00,0.35,262.00,0,3
462665,0.00,0.35,262.00,0,2
462696,0.00,0.35,262.00,0,2
462727,0.00,0.35,262.00,0,3
462758,0.00,0.35,262.00,0,3
462789,0.00,0.35,262.00,0,3
462820,0.00,0.35,262.00,0,3
462850,0.00,0.35,262.00,0,3
462881,0.00,0.35,262.00,0,2
462912,0.00,0.35,262.00,0,2
462943,0.00,0.35,262.00,0,3
462974,0.00,0.35,262.00,0,3
463005,0.00,0.35,262.00,0,3
463036,0.00,0.35,262.00,0,3
463067,0.00,0.35,262.00,0,3
463098,0.00,0.35,262.00,0,3
463129,0.00,0.35,262.00,0,2
463160,0.00,0.35,262.00,0,3,0
463190,0.00,0.35,262.00,0,3
463221,0.00,0.26,261.00,0,3
463252,0.00,0.26,261.00,0,3
463283,0.00,0.26,261.00,0,3
463314,0.00,0.26,261.00,0,2
463345,0.00,0.26,261.00,0,3
463376,0.00,0.26,261.00,0,3
463407,0.00,0.26,261.00,0,2
463438,0.00,0.26,261.00,0,3
463469,0.00,0.26,261.00,0,3
463500,0.00,0.26,261.00,0,2
463530,0.00,0.26,261.00,0,3
463561,0.00,0.26,261.00,0,2,0
463592,0.00,0.26,261.00,0,3
463623,0.00,0.26,261.00,0,3,0
463654,0.00,0.26,261.00,0,3
463685,0.00,0.26,261.00,0,3
463716,0.00,0.35,262.00,0,3
463747,0.00,0.35,262.00,0,3
463778,0.00,0.35,262.00,0,3
463809,0.00,0.35,262.00,0,2
463840,0.00,0.35,262.00,0,2
463870,0.00,0.35,262.00,0,3
463901,0.00,0.35,262.00,0,3
463932,0.00,0.35,262.00,0,3
463963,0.00,0.35,262.00,0,3
463994,0.00,0.35,262.00,0,3
