time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.49,30.48,253.00,0
256,110.93,124.11,254.00,0
254,208.33,218.05,255.00,0
255,263.97,267.45,254.00,0
253,275.62,275.09,254.00,0
255,266.03,264.42,254.00,0
252,254.79,253.81,254.00,0
255,249.90,249.71,254.00,0
253,250.30,250.55,254.00,0
255,252.57,252.85,254.00,0
255,254.43,254.59,254.00,0
255,255.27,255.29,254.00,0
255,255.13,255.09,254.00,0
252,254.85,254.82,254.00,0
252,254.42,254.31,254.00,0
252,253.37,253.22,254.00,0
255,252.38,252.30,254.00,0
255,252.33,252.42,254.00,0
255,254.22,254.31,254.00,0
255,254.78,254.82,254.00,0
255,255.03,255.04,254.00,0
252,254.90,254.83,254.00,0
255,254.16,254.06,254.00,0
255,253.78,253.82,254.00,0
255,254.12,254.15,254.00,0
255,254.29,254.29,254.00,0
255,254.35,254.38,254.00,0
255,254.53,254.53,254.00,0
255,254.51,254.52,254.00,0
255,254.63,254.65,254.00,0
257,254.83,254.86,254.00,0
255,255.16,255.22,255.00,0
257,255.43,255.41,255.00,0
257,255.32,255.33,255.00,0
254,255.65,255.71,255.00,0
256,255.86,255.85,255.00,0
256,255.78,255.77,255.00,0
259,255.81,255.84,255.00,0
256,256.41,256.51,256.00,0
255,256.76,256.71,256.00,0
451643,0.00,0.00,256.00,0,1
451673,0.00,0.00,256.00,0,1
451704,0.00,0.00,256.00,0,2
451735,0.00,0.00,256.00,0,1
451766,0.00,0.00,256.00,0,1
451797,0.00,0.00,256.00,0,2,0
451828,0.00,0.00,256.00,0,2
451859,0.00,0.00,256.00,0,1
451890,0.00,0.00,256.00,0,1
451920,0.00,0.09,257.00,0,2
451951,0.00,0.09,257.00,0,1
451982,0.00,0.09,257.00,0,1
452013,0.00,0.09,257.00,0,1
452044,0.00,0.09,257.00,0,1
452075,0.00,0.09,257.00,0,2
452106,0.00,0.09,257.00,0,2
452137,0.00,0.09,257.00,0,1
452167,0.00,0.09,257.00,0,2
452198,0.00,0.09,257.00,0,1
452229,0.00,0.09,257.00,0,1
452260,0.00,0.18,258.00,0,1,0
452291,0.00,0.18,258.00,0,1
452322,0.00,0.18,258.00,0,1
452353,0.00,0.18,258.00,0,1
452383,0.00,0.18,258.00,0,2,0
452414,0.00,0.18,258.00,0,1
452445,0.00,0.18,258.00,0,2
452476,0.00,0.18,258.00,0,1
452507,0.00,0.18,258.00,0,2
452538,0.00,0.18,258.00,0,1
452569,0.00,0.18,258.00,0,2
452600,0.00,0.18,258.00,0,1
452630,0.00,0.18,258.00,0,1
452661,0.00,0.18,258.00,0,1
452692,0.00,0.18,258.00,0,2
452723,0.00,0.18,258.00,0,1,0
452754,0.00,0.18,258.00,0,1
452785,0.00,0.26,259.00,0,1
452816,0.00,0.26,259.00,0,1
452847,0.00,0.26,259.00,0,2
452877,0.00,0.26,259.00,0,1
452908,0.00,0.26,259.00,0,1
452939,0.00,0.26,259.00,0,1
452970,0.00,0.26,259.00,0,1
453001,0.00,0.26,259.00,0,1
453032,0.00,0.26,259.00,0,1
453063,0.00,0.26,259.00,0,1
453094,0.00,0.26,259.00,0,1
453124,0.00,0.26,259.00,0,1
453155,0.00,0.26,259.00,0,1
453186,0.00,0.26,259.00,0,1,0
453217,0.00,0.26,259.00,0,2
453248,0.00,0.26,259.00,0,1,0
453279,0.00,0.26,259.00,0,1
453310,0.00,0.26,259.00,0,1
453340,0.00,0.26,259.00,0,1
453371,0.00,0.26,259.00,0,1
453402,0.00,0.26,259.00,0,1
453433,0.00,0.26,259.00,0,1
453464,0.00,0.26,259.00,0,1
453495,0.00,0.26,259.00,0,1
453526,0.00,0.26,259.00,0,1
453557,0.00,0.26,259.00,0,1
453587,0.00,0.26,259.00,0,1
453618,0.00,0.26,259.00,0,1
453649,0.00,0.26,259.00,0,1,0
453680,0.00,0.26,259.00,0,1
453711,0.00,0.26,259.00,0,1,0
453742,0.00,0.26,259.00,0,2
453773,0.00,0.26,259.00,0,1
453804,0.00,0.26,259.00,0,1
453834,0.00,0.26,259.00,0,1
453865,0.00,0.26,259.00,0,1
453896,0.00,0.26,259.00,0,1
453927,0.00,0.26,259.00,0,2
453958,0.00,0.26,259.00,0,1
453989,0.00,0.26,259.00,0,2
454020,0.00,0.26,259.00,0,1
454050,0.00,0.26,259.00,0,1
454081,0.00,0.26,259.00,0,1
454112,0.00,0.26,259.00,0,1
454143,0.00,0.26,259.00,0,2
454174,0.00,0.26,259.00,0,1,0
454205,0.00,0.26,259.00,0,1
454236,0.00,0.26,259.00,0,1
454267,0.00,0.35,260.00,0,1
454297,0.00,0.35,260.00,0,1
454328,0.00,0.35,260.00,0,1
454359,0.00,0.35,260.00,0,2
454390,0.00,0.35,260.00,0,1
454421,0.00,0.35,260.00,0,1
454452,0.00,0.35,260.00,0,1
454483,0.00,0.35,260.00,0,1
454513,0.00,0.35,260.00,0,1
454544,0.00,0.35,260.00,0,2
454575,0.00,0.35,260.00,0,1
454606,0.00,0.35,260.00,0,2
454637,0.00,0.35,260.00,0,1,0
454668,0.00,0.35,260.00,0,1
454699,0.00,0.35,260.00,0,2
454730,0.00,0.35,260.00,0,1
454760,0.00,0.35,260.00,0,1
454791,0.00,0.35,260.00,0,1
454822,0.00,0.35,260.00,0,1
454853,0.00,0.35,260.00,0,2
454884,0.00,0.35,260.00,0,1
454915,0.00,0.35,260.00,0,1
454946,0.00,0.35,260.00,0,1
454976,0.00,0.35,260.00,0,1
455007,0.00,0.35,260.00,0,2
455038,0.00,0.35,260.00,0,1
455069,0.00,0.35,260.00,0,2
455100,0.00,0.44,261.00,0,1,0
455131,0.00,0.44,261.00,0,1
455162,0.00,0.44,261.00,0,1
455193,0.00,0.44,261.00,0,1
455223,0.00,0.44,261.00,0,1
455254,0.00,0.44,261.00,0,1
455285,0.00,0.44,261.00,0,1
455316,0.00,0.44,261.00,0,2
455347,0.00,0.44,261.00,0,1
455378,0.00,0.44,261.00,0,2
455409,0.00,0.44,261.00,0,1
455439,0.00,0.44,261.00,0,1
455470,0.00,0.44,261.00,0,1
455501,0.00,0.44,261.00,0,2
455532,0.00,0.44,261.00,0,1
455563,0.00,0.44,261.00,0,1,0
455594,0.00,0.44,261.00,0,1
455625,0.00,0.44,261.00,0,1
455656,0.00,0.44,261.00,0,1
455686,0.00,0.35,260.00,0,1
455717,0.00,0.35,260.00,0,2
455748,0.00,0.44,261.00,0,1
455779,0.00,0.44,261.00,0,1
455810,0.00,0.44,261.00,0,1
455841,0.00,0.35,260.00,0,1
455872,0.00,0.35,260.00,0,1
455902,0.00,0.35,260.00,0,1
455933,0.00,0.35,260.00,0,1
455964,0.00,0.35,260.00,0,1
455995,0.00,0.35,260.00,0,1
456026,0.00,0.35,260.00,0,1,0
456057,0.00,0.35,260.00,0,1
456088,0.00,0.35,260.00,0,1,0
456119,0.00,0.35,260.00,0,1
456149,0.00,0.35,260.00,0,1
456180,0.00,0.35,260.00,0,2
456211,0.00,0.35,260.00,0,1
456242,0.00,0.35,260.00,0,1
456273,0.00,0.35,260.00,0,1
456304,0.00,0.35,260.00,0,2
456335,0.00,0.35,260.00,0,1
456365,0.00,0.35,260.00,0,1
456396,0.00,0.35,260.00,0,1
456427,0.00,0.35,260.00,0,1
456458,0.00,0.35,260.00,0,1
456489,0.00,0.35,260.00,0,1
456520,0.00,0.35,260.00,0,2
456551,0.00,0.35,260.00,0,1,0
456582,0.00,0.35,260.00,0,1
456612,0.00,0.35,260.00,0,1
456643,0.00,0.35,260.00,0,2
456674,0.00,0.35,260.00,0,1
456705,0.00,0.35,260.00,0,1
456736,0.00,0.35,260.00,0,1
456767,0.00,0.35,260.00,0,1
456798,0.00,0.35,260.00,0,1
456828,0.00,0.35,260.00,0,2
456859,0.00,0.35,260.00,0,1
456890,0.00,0.35,260.00,0,1
456921,0.00,0.35,260.00,0,1
456952,0.00,0.44,261.00,0,1
456983,0.00,0.44,261.00,0,1
457014,0.00,0.44,261.00,0,2,0
457045,0.00,0.44,261.00,0,2
457075,0.00,0.44,261.00,0,1
457106,0.00,0.44,261.00,0,1
457137,0.00,0.44,261.00,0,1
