time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.63,30.65,254.00,0
256,208.41,218.10,255.00,0
256,264.14,267.70,255.00,0
256,276.38,275.88,255.00,0
256,267.15,265.63,255.00,0
255,256.41,255.44,255.00,0
256,252.20,252.47,255.00,0
255,254.57,254.83,255.00,0
258,255.99,256.08,255.00,0
256,256.46,256.48,255.00,0
256,256.50,256.49,256.00,0
258,256.42,256.42,256.00,0
256,256.63,256.66,256.00,0
256,256.74,256.72,256.00,0
256,256.49,256.44,256.00,0
256,256.16,256.13,256.00,0
256,255.95,255.93,256.00,0
255,255.90,255.90,256.00,0
255,255.69,255.65,256.00,0
256,255.34,255.31,256.00,0
258,255.33,255.36,256.00,0
256,255.81,255.88,256.00,0
256,256.23,256.26,256.00,0
257,256.43,256.46,256.00,0
256,256.65,256.67,256.00,0
258,256.58,256.55,256.00,0
256,256.48,256.49,256.00,0
255,256.42,256.39,256.00,0
255,256.09,256.05,256.00,0
255,255.69,255.60,256.00,0
255,254.76,254.73,256.00,0
258,254.81,254.88,256.00,0
256,255.80,255.95,256.00,0
256,256.78,256.85,256.00,0
256,257.00,256.99,256.00,0
258,256.75,256.76,256.00,0
256,256.88,256.89,256.00,0
253,256.72,256.63,256.00,0
163290,0.00,0.00,256.00,0,1
163321,0.00,0.00,256.00,0,1
163352,0.00,0.00,256.00,0,1
163383,0.00,0.00,256.00,0,1
163414,0.00,0.00,256.00,0,1
163444,0.00,0.00,256.00,0,2
163475,0.00,0.00,256.00,0,1
163506,0.00,0.00,256.00,0,1
163537,0.00,0.00,256.00,0,1
163568,0.00,0.00,256.00,0,1
163599,0.00,0.00,256.00,0,1,0
163629,0.00,0.00,256.00,0,1
163660,0.00,0.00,256.00,0,1,0
163691,0.00,0.00,256.00,0,1
163722,0.00,0.00,256.00,0,1
163753,0.00,0.00,256.00,0,1
163784,0.00,0.00,256.00,0,1
163814,0.00,0.00,256.00,0,1
163845,0.00,0.00,256.00,0,1
163876,0.00,0.00,256.00,0,1
163907,0.00,0.00,256.00,0,1
163938,0.00,0.00,256.00,0,1
163969,0.00,0.00,256.00,0,1
164000,0.00,0.00,256.00,0,1
164030,0.00,0.00,256.00,0,1
164061,0.00,0.00,256.00,0,1
164092,0.00,0.00,256.00,0,1
164123,0.00,0.00,256.00,0,1,0
164154,0.00,0.00,256.00,0,1
164185,0.00,0.00,256.00,0,1
164215,0.00,0.00,256.00,0,1
164246,0.00,0.00,256.00,0,1
164277,0.00,0.00,256.00,0,1
164308,0.00,0.00,256.00,0,1
164339,0.00,0.00,256.00,0,1
164370,0.00,0.00,256.00,0,1
164400,0.00,0.00,256.00,0,1
164431,0.00,0.00,256.00,0,1
164462,0.00,0.00,256.00,0,1
164493,0.00,0.00,256.00,0,1
164524,0.00,0.00,256.00,0,1
164555,0.00,0.00,256.00,0,1
164585,0.00,0.00,256.00,0,1,0
164616,0.00,0.00,256.00,0,1
164647,0.00,-0.09,255.00,0,1
164678,0.00,-0.09,255.00,0,1
164709,0.00,-0.09,255.00,0,1
164740,0.00,-0.09,255.00,0,1
164771,0.00,-0.09,255.00,0,1
164801,0.00,-0.09,255.00,0,1
164832,0.00,-0.09,255.00,0,1
164863,0.00,-0.09,255.00,0,1
164894,0.00,-0.09,255.00,0,1
164925,0.00,-0.09,255.00,0,1,0
164956,0.00,-0.09,255.00,0,1
164987,0.00,-0.09,255.00,0,1
165018,0.00,-0.09,255.00,0,1
165049,0.00,-0.09,255.00,0,1
165079,0.00,-0.09,255.00,0,1
165110,0.00,-0.09,255.00,0,1
165141,0.00,-0.09,255.00,0,1
165172,0.00,-0.09,255.00,0,1
165203,0.00,-0.09,255.00,0,1,0
165234,0.00,-0.09,255.00,0,1
165265,0.00,-0.09,255.00,0,1
165296,0.00,-0.09,255.00,0,1
165327,0.00,-0.09,255.00,0,1
165358,0.00,-0.09,255.00,0,1
165389,0.00,-0.09,255.00,0,1
165420,0.00,-0.09,255.00,0,1
165451,0.00,-0.09,255.00,0,1
165482,0.00,-0.09,255.00,0,1
165513,0.00,-0.09,255.00,0,1
165544,0.00,-0.09,255.00,0,1
165574,0.00,-0.09,255.00,0,1
165605,0.00,-0.09,255.00,0,1
165636,0.00,-0.09,255.00,0,1
165667,0.00,-0.09,255.00,0,1
165698,0.00,-0.09,255.00,0,1
165729,0.00,-0.09,255.00,0,1
165760,0.00,-0.09,255.00,0,1
165791,0.00,-0.09,255.00,0,1
165822,0.00,-0.09,255.00,0,1,0
165853,0.00,-0.09,255.00,0,1
165884,0.00,-0.09,255.00,0,1
165915,0.00,-0.09,255.00,0,1
165946,0.00,-0.09,255.00,0,1
165977,0.00,-0.09,255.00,0,1
166008,0.00,-0.09,255.00,0,1
166039,0.00,-0.09,255.00,0,1
166069,0.00,-0.09,255.00,0,1
166100,0.00,-0.09,255.00,0,1,0
166132,0.00,0.00,256.00,0,1
166163,0.00,0.00,256.00,0,1,0
166193,0.00,0.00,256.00,0,1
166224,0.00,0.00,256.00,0,1,0
166255,0.00,0.00,256.00,0,1
166286,0.00,0.00,256.00,0,1,0
166317,0.00,0.00,256.00,0,1
166348,0.00,0.00,256.00,0,1
166379,0.00,0.00,256.00,0,1
166410,0.00,0.00,256.00,0,1
166440,0.00,0.00,256.00,0,1
166471,0.00,0.00,256.00,0,1
166502,0.00,0.00,256.00,0,1
166533,0.00,0.00,256.00,0,1
166564,0.00,0.00,256.00,0,1
166595,0.00,-0.09,255.00,0,1,0
166626,0.00,-0.09,255.00,0,1
166657,0.00,-0.09,255.00,0,1
166688,0.00,-0.09,255.00,0,1
166719,0.00,-0.09,255.00,0,1
166750,0.00,-0.09,255.00,0,1
166781,0.00,-0.09,255.00,0,1
166812,0.00,-0.09,255.00,0,1
166843,0.00,-0.09,255.00,0,2
166874,0.00,-0.09,255.00,0,1,0
166904,0.00,-0.09,255.00,0,1
166935,0.00,-0.09,255.00,0,1
166966,0.00,-0.09,255.00,0,1
166997,0.00,-0.09,255.00,0,1
167028,0.00,-0.09,255.00,0,1
167059,0.00,-0.09,255.00,0,1
167090,0.00,-0.09,255.00,0,1
167121,0.00,-0.09,255.00,0,1
167152,0.00,-0.09,255.00,0,1
167183,0.00,-0.09,255.00,0,1
167214,0.00,-0.09,255.00,0,1
167245,0.00,-0.09,255.00,0,1
167276,0.00,-0.09,255.00,0,1
167307,0.00,-0.09,255.00,0,1
167338,0.00,-0.09,255.00,0,1
167369,0.00,-0.09,255.00,0,1
167400,0.00,-0.09,255.00,0,1
167431,0.00,-0.09,255.00,0,1
167462,0.00,-0.09,255.00,0,1
167493,0.00,-0.09,255.00,0,1,0
167524,0.00,-0.09,255.00,0,1
167555,0.00,-0.09,255.00,0,1
167586,0.00,-0.18,254.00,0,1
167617,0.00,-0.18,254.00,0,1
167648,0.00,-0.18,254.00,0,1
167679,0.00,-0.18,254.00,0,1
167710,0.00,-0.18,254.00,0,1
167741,0.00,-0.18,254.00,0,1
167772,0.00,-0.18,254.00,0,1,0
167803,0.00,-0.18,254.00,0,1
167834,0.00,-0.18,254.00,0,1
167865,0.00,-0.18,254.00,0,1
167896,0.00,-0.18,254.00,0,1
167928,0.00,-0.18,254.00,0,1
167959,0.00,-0.18,254.00,0,1
167990,0.00,-0.18,254.00,0,1
168021,0.00,-0.18,254.00,0,1
168053,0.00,-0.18,254.00,0,1
168084,0.00,-0.18,254.00,0,2
168115,0.00,-0.18,254.00,0,1
168146,0.00,-0.18,254.00,0,1
168178,0.00,-0.09,255.00,0,1
168209,0.00,-0.09,255.00,0,1
168240,0.00,-0.09,255.00,0,1
168271,0.00,-0.09,255.00,0,1
168303,0.00,-0.09,255.00,0,1
168334,0.00,-0.09,255.00,0,1
168365,0.00,-0.18,254.00,0,1
168396,0.00,-0.18,254.00,0,1,0
168428,0.00,-0.18,254.00,0,1
168459,0.00,-0.18,254.00,0,1
168490,0.00,-0.18,254.00,0,1
168521,0.00,-0.18,254.00,0,2
168553,0.00,-0.18,254.00,0,1
168584,0.00,-0.18,254.00,0,1
168615,0.00,-0.18,254.00,0,1
168646,0.00,-0.18,254.00,0,1
168678,0.00,-0.18,254.00,0,1
168709,0.00,-0.18,254.00,0,1
168740,0.00,-0.09,255.00,0,1
168771,0.00,-0.09,255.00,0,1
168803,0.00,-0.18,254.00,0,1
