time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
253,22.51,30.50,252.00,0
255,110.70,123.82,253.00,0
255,207.62,217.30,254.00,0
255,263.28,266.83,254.00,0
255,275.57,275.12,254.00,0
254,266.45,264.86,254.00,0
257,255.22,254.24,254.00,0
256,250.85,250.79,254.00,0
255,252.04,252.31,254.00,0
255,254.05,254.25,254.00,0
254,255.19,255.26,254.00,0
253,255.26,255.21,254.00,0
255,254.72,254.65,255.00,0
255,254.39,254.39,255.00,0
255,254.51,254.55,255.00,0
254,254.79,254.80,255.00,0
255,254.55,254.48,255.00,0
255,254.10,254.08,255.00,0
256,254.21,254.26,255.00,0
256,254.76,254.84,255.00,0
255,255.40,255.45,255.00,0
253,255.57,255.55,255.00,0
252,255.05,254.91,254.00,0
255,253.89,253.78,255.00,0
255,253.53,253.56,255.00,0
255,253.92,253.96,255.00,0
255,254.26,254.31,255.00,0
255,254.64,254.68,255.00,0
252,254.87,254.86,255.00,0
252,254.52,254.45,254.00,0
252,253.85,253.77,254.00,0
255,253.35,253.33,254.00,0
255,253.53,253.60,254.00,0
255,254.24,254.33,254.00,0
254,254.86,254.90,254.00,0
254,254.88,254.83,254.00,0
253,254.30,254.20,254.00,0
255,253.58,253.52,254.00,0
252,253.47,253.51,254.00,0
255,253.65,253.63,254.00,0
255,253.62,253.64,254.00,0
255,254.03,254.10,254.00,0
562439,0.00,0.00,254.00,0,1
562470,0.00,0.00,254.00,0,1
562501,0.00,0.00,254.00,0,1
562532,0.00,0.00,254.00,0,1
562563,0.00,0.00,254.00,0,1
562594,0.00,0.00,254.00,0,1
562625,0.00,0.00,254.00,0,1
562655,0.00,0.00,254.00,0,1
562686,0.00,0.00,254.00,0,1
562717,0.00,0.00,254.00,0,1
562748,0.00,0.00,254.00,0,1
562779,0.00,0.00,254.00,0,1,0
562810,0.00,0.00,254.00,0,1
562841,0.00,0.00,254.00,0,0,0
562872,0.00,0.00,254.00,0,0
562903,0.00,0.00,254.00,0,1
562934,0.00,0.00,254.00,0,1
562965,0.00,0.00,254.00,0,1
562995,0.00,0.00,254.00,0,1
563026,0.00,0.00,254.00,0,1
563057,0.00,0.00,254.00,0,1
563088,0.00,0.00,254.00,0,1
563119,0.00,0.00,254.00,0,1
563150,0.00,0.00,254.00,0,1
563181,0.00,0.00,254.00,0,1
563212,0.00,0.00,254.00,0,1
563243,0.00,0.00,254.00,0,1,0
563274,0.00,0.00,254.00,0,1
563305,0.00,0.00,254.00,0,0
563335,0.00,0.00,254.00,0,0
563366,0.00,0.00,254.00,0,1
563397,0.00,0.00,254.00,0,1
563428,0.00,0.00,254.00,0,1
563459,0.00,0.00,254.00,0,1
563490,0.00,0.00,254.00,0,1
563521,0.00,0.00,254.00,0,1
563552,0.00,0.00,254.00,0,1
563583,0.00,0.00,254.00,0,1
563614,0.00,0.00,254.00,0,0
563645,0.00,0.00,254.00,0,0
563675,0.00,0.00,254.00,0,1
563706,0.00,0.00,254.00,0,0,0
563737,0.00,0.00,254.00,0,1
563768,0.00,0.00,254.00,0,1
563799,0.00,0.00,254.00,0,1
563830,0.00,0.00,254.00,0,1
563861,0.00,0.00,254.00,0,1
563892,0.00,0.00,254.00,0,1
563923,0.00,0.00,254.00,0,1
563954,0.00,0.00,254.00,0,1
563985,0.00,0.00,254.00,0,1
564015,0.00,0.00,254.00,0,1
564046,0.00,0.00,254.00,0,1
564077,0.00,0.00,254.00,0,1
564108,0.00,0.00,254.00,0,1
564139,0.00,0.00,254.00,0,0
564170,0.00,0.00,254.00,0,1,0
564201,0.00,0.00,254.00,0,1
564232,0.00,0.00,254.00,0,1
564263,0.00,0.00,254.00,0,1
564294,0.00,0.00,254.00,0,1
564325,0.00,0.00,254.00,0,1
564355,0.00,0.00,254.00,0,1
564386,0.00,0.00,254.00,0,1
564417,0.00,0.00,254.00,0,1
564448,0.00,0.00,254.00,0,1
564479,0.00,0.00,254.00,0,1
564510,0.00,0.00,254.00,0,1
564541,0.00,0.00,254.00,0,1
564572,0.00,0.00,254.00,0,1,0
564603,0.00,0.00,254.00,0,1
564634,0.00,0.00,254.00,0,1,0
564665,0.00,0.00,254.00,0,1
564695,0.00,0.00,254.00,0,1
564726,0.00,0.00,254.00,0,1
564757,0.00,0.00,254.00,0,1
564788,0.00,0.09,255.00,0,1
564819,0.00,0.09,255.00,0,1
564850,0.00,0.09,255.00,0,1
564881,0.00,0.09,255.00,0,1
564912,0.00,0.09,255.00,0,1
564943,0.00,0.09,255.00,0,1
564974,0.00,0.09,255.00,0,1
565005,0.00,0.09,255.00,0,1
565035,0.00,0.09,255.00,0,1,0
565066,0.00,0.09,255.00,0,1
565097,0.00,0.09,255.00,0,1
565128,0.00,0.09,255.00,0,1
565159,0.00,0.09,255.00,0,1
565190,0.00,0.09,255.00,0,1
565221,0.00,0.09,255.00,0,1
565252,0.00,0.09,255.00,0,1
565283,0.00,0.09,255.00,0,1
565314,0.00,0.09,255.00,0,1
565345,0.00,0.09,255.00,0,1
565375,0.00,0.09,255.00,0,1
565406,0.00,0.09,255.00,0,1
565437,0.00,0.09,255.00,0,0
565468,0.00,0.09,255.00,0,1
565499,0.00,0.09,255.00,0,1,0
565530,0.00,0.09,255.00,0,1
565561,0.00,0.09,255.00,0,1
565592,0.00,0.09,255.00,0,1
565623,0.00,0.09,255.00,0,0
565654,0.00,0.09,255.00,0,1
565684,0.00,0.09,255.00,0,1
565715,0.00,0.09,255.00,0,0
565746,0.00,0.09,255.00,0,1
565777,0.00,0.09,255.00,0,1
565808,0.00,0.09,255.00,0,1
565839,0.00,0.09,255.00,0,1
565870,0.00,0.09,255.00,0,1
565901,0.00,0.09,255.00,0,1
565932,0.00,0.09,255.00,0,1
565963,0.00,0.09,255.00,0,1,0
565994,0.00,0.09,255.00,0,1
566024,0.00,0.09,255.00,0,1
566055,0.00,0.09,255.00,0,1
566086,0.00,0.09,255.00,0,1
566117,0.00,0.09,255.00,0,1
