trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong,r
1,2.88,4.27,4.27,2.88,1,1,0,1,1,0,1
2,3.63,4.27,4.27,3.63,1,1,0,1,2,0,1
3,4.57,4.27,4.57,4.27,1,1,0,3,3,0,0
4,4.57,4.27,4.57,4.27,1,3,0,1,3,1,0
5,5.75,4.27,4.27,5.75,3,3,0,3,4,1,1
6,5.75,4.27,4.27,5.75,3,3,1,3,5,1,1
7,4.57,4.27,4.57,4.27,1,3,1,1,5,2,0
8,5.13,4.27,5.13,4.27,1,1,1,3,6,2,0
9,5.13,4.27,5.13,4.27,1,3,1,1,6,3,0
10,5.76,4.27,4.27,5.76,3,3,1,3,7,3,1
11,5.76,4.27,5.76,4.27,1,1,2,3,8,3,0
12,5.13,4.27,5.13,4.27,1,1,2,3,9,3,0
13,5.13,4.27,4.27,5.13,3,3,2,3,10,3,1
