20,-0.18
40,0.26,0
60,0.09,0
80,0.09,0
100,0.18,0
120,0.09,0
140,0.09,0
160,0.00,0
180,0.09
200,0.09,0
220,0.09,0
240,0.26,0
260,0.35,0
280,0.09,0
300,0.26,0
320,0.09,0
340,0.26,0
360,-0.09,0
380,0.00,0
400,-0.18,0
420,-0.26,0
440,-0.26,0
460,-0.26,0
480,-0.09,0
500,0.09,0
520,0.09,0
540,0.18,0
560,0.35,0
580,0.09,0
600,0.09
620,0.09,0
640,0.00,0
660,0.18,0
680,0.09,0
700,-0.09,0
720,0.00,0
740,0.00
760,0.00,0
780,-0.09,0
800,-0.26,0
820,0.00,0
840,0.00,0
860,-0.26,0
880,0.09,0
900,0.00,0
920,0.00,0
940,-0.26,0
960,0.00,0
980,0.00,0
1000,0.00,0
1020,0.09,0
1040,0.35,0
1060,-0.09,0
1080,0.18,0
1100,0.09,0
1120,-0.09,0
1140,0.09,0
1160,0.35,0
1180,0.44,0
1200,0.18,0
1220,0.62,0
1240,0.70,0
1260,0.44,0
1280,0.62,0
1300,0.79,0
1320,0.97,0
1340,0.97,0
1360,1.05,0
1380,1.23,0
1400,1.23,0
1420,1.23,0
1440,1.32,0
1460,1.58
1480,1.67,0
1500,1.67,0
1520,1.32,0
1540,1.67,0
1560,1.76,0
1580,1.85,0
1600,2.02,0
1620,1.76,0
1640,1.93,0
1660,2.02,0
1680,2.20,0
1700,1.93,0
1720,2.20,0
1740,2.20,0
1760,2.46,0
1780,2.11,0
1800,2.29,0
1820,2.46,0
1840,2.55,0
1860,2.72,0
1880,2.46,0
1900,2.46,0
1920,2.81,0
1940,2.90,0
1960,2.55,0
1980,2.90,0
2000,2.55,0
2020,2.90,0
2040,2.90,0
2060,3.08,0
2080,3.16,0
2100,3.52,0
2120,3.43,0
2140,3.52,0
2160,3.16
2180,3.52,0
2200,3.52,0
2220,3.78,0
2240,3.78,0
2260,3.87,0
2280,4.13
2300,4.13,0
2320,4.31,0
2340,4.13,0
20,0.62,0
40,0.44,0
60,0.53,0
80,0.44,0
100,0.44,0
120,0.62,0
140,0.44,0
160,0.35,0
180,0.62,0
200,0.35,0
220,0.44,0
240,0.44,0
260,0.62,0
280,0.18,0
300,0.44,0
320,0.44
340,0.44,0
360,0.44,0
380,0.35,0
400,0.26,0
420,0.35,0
440,0.09,0
460,0.44
480,0.35,0
500,0.62,0
520,0.44,0
540,0.35,0
560,0.53,0
580,0.35,0
600,0.09,0
620,0.00,0
640,0.00,0
660,0.09,0
680,0.18,0
700,0.00,0
720,0.09,0
740,0.44,0
760,0.18,0
780,0.26,0
800,0.44,0
820,0.35,0
840,0.35,0
860,0.44,0
880,0.44
900,0.35,0
920,0.35,0
940,0.44,0
960,0.53,0
980,0.18,0
1000,0.18,0
1020,0.35,0
1040,0.09,0
1060,0.35,0
